年份,农村传染病(不含呼吸道结核)粗死亡率,农村呼吸道结核粗死亡率,农村寄生虫病粗死亡率,农村恶性肿瘤粗死亡率,"农村血液,造血器官及免疫疾病粗死亡率","农村内分泌,营养和代谢疾病粗死亡率",农村精神障碍粗死亡率,农村神经系统疾病粗死亡率,农村心脏病粗死亡率,农村脑血管病粗死亡率,农村呼吸系统疾病粗死亡率,农村消化系统疾病粗死亡率,农村肌肉骨骼和结缔组织疾病粗死亡率,农村泌尿生殖系统疾病粗死亡率,"农村妊娠,分娩产褥期并发症粗死亡率",农村围生期疾病粗死亡率,"农村先天畸形,变形和染色体异常粗死亡率",农村诊断不明粗死亡率,农村其他疾病粗死亡率,农村损伤和中毒外部原因粗死亡率,农村男性传染病(不含呼吸道结核)粗死亡率,农村男性呼吸道结核粗死亡率,农村男性寄生虫病粗死亡率,农村男性恶性肿瘤粗死亡率,"农村男性血液,造血器官及免疫疾病粗死亡率","农村男性内分泌,营养和代谢疾病粗死亡率",农村男性精神障碍粗死亡率,农村男性神经系统疾病粗死亡率,农村男性心脏病粗死亡率,农村男性脑血管病粗死亡率,农村男性呼吸系统疾病粗死亡率,农村男性消化系统疾病粗死亡率,农村男性肌肉骨骼和结缔组织疾病粗死亡率,农村男性泌尿生殖系统疾病粗死亡率,农村男性围生期疾病粗死亡率,"农村男性先天畸形,变形和染色体异常粗死亡率",农村男性诊断不明粗死亡率,农村男性其他疾病粗死亡率,农村男性损伤和中毒外部原因粗死亡率,农村女性传染病(不含呼吸道结核)粗死亡率,农村女性呼吸道结核粗死亡率,农村女性寄生虫病粗死亡率,农村女性恶性肿瘤粗死亡率,"农村女性血液,造血器官及免疫疾病粗死亡率","农村女性内分泌,营养和代谢疾病粗死亡率",农村女性精神障碍粗死亡率,农村女性神经系统疾病粗死亡率,农村女性心脏病粗死亡率,农村女性脑血管病粗死亡率,农村女性呼吸系统疾病粗死亡率,农村女性消化系统疾病粗死亡率,农村女性肌肉骨骼和结缔组织疾病粗死亡率,农村女性泌尿生殖系统疾病粗死亡率,"农村女性妊娠,分娩产褥期并发症粗死亡率",农村女性围生期疾病粗死亡率,"农村女性先天畸形,变形和染色体异常粗死亡率",农村女性诊断不明粗死亡率,农村女性其他疾病粗死亡率,农村女性损伤和中毒外部原因粗死亡率
2009,4.98459900515334,2.2685589790499,0.110454182500557,159.147484032149,1.01957706923591,11.2549979809542,3.07572415886166,5.08089239502562,112.892670991146,152.092577144741,98.1626144992129,14.5544626633426,1.29712860475013,7.21633992336972,0.189754621218906,2.47530655142274,2.20058717443417,2.79817262334744,7.66665312894891,54.1112207911703,6.74025033669169,3.44824065238035,0.161810645500049,207.5918988217,1.11593548620723,9.7979135688995,2.70614355405254,5.46808388241544,118.272422505674,164.405195505481,105.411266027135,18.518949393609,1.12151516363827,8.40299421114046,2.99628678046642,2.43273935993177,3.01860549019056,6.08742807726045,72.1619682155907,3.17486336440616,1.05253622406943,,109.210698484319,0.92025025055251,12.7569690982842,3.45669000363786,4.68177314968589,107.34719172695,139.400658266507,90.6906621919498,10.4678466000348,1.47815196494997,5.99312975672322,0.385354792418863,1.93827709022622,1.96128334649004,2.57094913748107,9.29452753058035,35.504404979129
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
