年份,农村传染病(不含呼吸道结核)粗死亡率位次,农村呼吸道结核粗死亡率位次,农村寄生虫病粗死亡率位次,农村恶性肿瘤粗死亡率位次,"农村血液,造血器官及免疫疾病粗死亡率位次","农村内分泌,营养和代谢疾病粗死亡率位次",农村精神障碍粗死亡率位次,农村神经系统疾病粗死亡率位次,农村心脏病粗死亡率位次,农村脑血管病粗死亡率位次,农村呼吸系统疾病粗死亡率位次,农村消化系统疾病粗死亡率位次,农村肌肉骨骼和结缔组织疾病粗死亡率位次,农村泌尿生殖系统疾病粗死亡率位次,"农村妊娠,分娩产褥期并发症粗死亡率位次",农村围生期疾病粗死亡率位次,"农村先天畸形,变形和染色体异常粗死亡率位次",农村诊断不明粗死亡率位次,农村其他疾病粗死亡率位次,农村损伤和中毒外部原因粗死亡率位次,农村男性传染病(不含呼吸道结核)粗死亡率位次,农村男性呼吸道结核粗死亡率位次,农村男性寄生虫病粗死亡率位次,农村男性恶性肿瘤粗死亡率位次,"农村男性血液,造血器官及免疫疾病粗死亡率位次","农村男性内分泌,营养和代谢疾病粗死亡率位次",农村男性精神障碍粗死亡率位次,农村男性神经系统疾病粗死亡率位次,农村男性心脏病粗死亡率位次,农村男性脑血管病粗死亡率位次,农村男性呼吸系统疾病粗死亡率位次,农村男性消化系统疾病粗死亡率位次,农村男性肌肉骨骼和结缔组织疾病粗死亡率位次,农村男性泌尿生殖系统疾病粗死亡率位次,农村男性围生期疾病粗死亡率位次,"农村男性先天畸形,变形和染色体异常粗死亡率位次",农村男性诊断不明粗死亡率位次,农村男性其他疾病粗死亡率位次,农村男性损伤和中毒外部原因粗死亡率位次,农村女性传染病(不含呼吸道结核)粗死亡率位次,农村女性呼吸道结核粗死亡率位次,农村女性寄生虫病粗死亡率位次,农村女性恶性肿瘤粗死亡率位次,"农村女性血液,造血器官及免疫疾病粗死亡率位次","农村女性内分泌,营养和代谢疾病粗死亡率位次",农村女性精神障碍粗死亡率位次,农村女性神经系统疾病粗死亡率位次,农村女性心脏病粗死亡率位次,农村女性脑血管病粗死亡率位次,农村女性呼吸系统疾病粗死亡率位次,农村女性消化系统疾病粗死亡率位次,农村女性肌肉骨骼和结缔组织疾病粗死亡率位次,农村女性泌尿生殖系统疾病粗死亡率位次,"农村女性妊娠,分娩产褥期并发症粗死亡率位次",农村女性围生期疾病粗死亡率位次,"农村女性先天畸形,变形和染色体异常粗死亡率位次",农村女性诊断不明粗死亡率位次,农村女性其他疾病粗死亡率位次,农村女性损伤和中毒外部原因粗死亡率位次
2019,,,17,2,15,6,11,8,1,3,4,7,12,9,16,14,13,,,5,,,16,1,15,7,11,9,3,2,4,6,12,10,13,14,,,5,,,17,3,13,6,11,8,1,2,4,7,12,9,16,15,14,,,5
2018,10.0,,16,3,15,6,11,8,1,2,4,7,12,9,17,13,14,,,5,8.0,,16,1,15,7,11,10,3,2,4,6,13,9,12,14,,,5,10.0,,17,3,15,6,11,8,1,2,4,7,12,9,16,14,13,,,5
2017,10.0,,17,2,15,6,11,8,3,1,4,7,13,9,16,12,14,,,5,8.0,,16,1,15,7,11,10,3,2,4,6,14,9,12,13,,,5,10.0,,17,3,15,6,11,8,1,2,4,7,12,9,16,13,14,,,5
2016,,,17,2,15,6,11,9,3,1,4,7,14,10,16,12,13,,,5,,,16,1,15,7,11,10,3,2,4,6,14,9,12,13,,,5,,,17,3,15,6,11,8,1,2,4,7,12,9,16,13,14,,,5
2015,8.0,,17,1,15,6,11,10,3,2,4,7,14,9,16,12,13,,,5,8.0,,16,1,15,7,11,10,3,2,4,6,14,9,12,13,,,5,10.0,,17,3,15,6,11,8,1,2,4,7,12,9,16,13,14,,,5
2014,8.0,,19,1,17,7,11,10,3,2,4,6,16,9,18,14,15,,,5,8.0,,16,1,15,7,12,10,3,2,4,6,14,9,11,13,,,5,10.0,,17,3,15,6,11,8,1,2,4,7,13,9,16,12,14,,,5
2013,8.0,,17,2,15,7,11,10,3,1,4,6,14,9,16,12,13,,,5,7.0,,16,1,15,8,12,10,3,2,4,6,14,9,11,13,,,5,10.0,,17,3,15,6,11,8,1,2,4,7,14,9,16,12,13,,,5
2012,11.0,16.0,20,1,18,8,12,10,3,2,4,7,17,9,19,13,14,15.0,6.0,5,9.0,14.0,19,1,18,8,13,11,3,2,4,7,17,10,12,15,16.0,6.0,5,11.0,17.0,20,3,18,8,12,9,2,1,4,7,16,10,19,13,14,15.0,6.0,5
2011,11.0,15.0,20,1,18,7,12,10,3,2,4,6,17,9,19,13,16,14.0,8.0,5,10.0,12.0,19,1,18,7,13,11,3,2,4,6,17,8,14,16,15.0,9.0,5,12.0,17.0,20,3,18,6,11,10,2,1,4,8,16,9,19,14,15,13.0,7.0,5
2010,11.0,16.0,20,2,17,8,13,12,3,1,4,6,18,9,19,14,15,10.0,7.0,5,10.0,13.0,18,1,16,8,14,12,3,2,4,6,17,9,13,15,11.0,7.0,5,13.0,16.0,20,3,18,7,12,11,2,1,4,8,17,9,19,14,15,10.0,6.0,5
