年份,铁路运输业就业人员数,公路运输业就业人员数,城市公共交通业就业人员数,水上运输业就业人员数,航空运输业就业人员数,管道运输业就业人员数,装卸搬运和其他运输服务业就业人员数,邮政业就业人员数,电信和其他信息传输服务业就业人员数
2019,1915824,3647405,,319477,623543,26514,,834260,
2018,1833800,3642970,,357698,645957,33883,,929159,
2017,1848032,3846122,,441227,624318,36965,428096.0,910924,
2016,1874131,3855896,,460259,595301,36444,432424.0,930745,
2015,1874448,3879657,,466509,553358,38536,431191.0,974473,
2014,1902500,3881462,,491124,507789,37632,436132.0,1029294,
2013,1796382,3806122,,483428,494397,37704,442510.0,1076595,
2012,1793267,2778125,,447050,376100,39762,288400.0,678609,
2011,1761542,1689831,1169084.0,460513,335260,32458,311846.0,618264,1416417.0
2010,1756385,1616625,1119633.0,444930,272023,27341,285980.0,533887,1210936.0
2009,1850147,1609972,1087973.0,449479,252779,21842,269764.0,552687,1189463.0
2008,1732909,1528087,947342.0,435417,252953,19773,250135.0,435959,985309.0
2007,1741029,1495349,925750.0,456608,231127,17661,261236.0,477638,980431.0
2006,1652720,1512393,919627.0,478841,221193,17537,282037.0,468798,955771.0
2005,1665588,1549025,896132.0,498182,209868,17900,252303.0,454434,896292.0
2004,1698667,1595449,882213.0,525120,205023,18653,277790.0,447091,858992.0
2003,1727735,1624952,888518.0,570463,178820,21439,277122.0,441626,812511.0
2002,1758421,1015618,,281451,120515,50902,,,
2001,1789271,1090348,,326206,121499,17918,,,
2000,1871000,1200000,,388000,117000,22000,,,
