年份,教育文化和娱乐类城市居民消费价格指数(上年=100),教育类城市居民消费价格指数(上年=100),教育用品类城市居民消费价格指数(上年=100),教育服务类城市居民消费价格指数(上年=100),文化娱乐类城市居民消费价格指数(上年=100),文娱耐用消费品类城市居民消费价格指数(上年=100),其他文娱用品类城市居民消费价格指数(上年=100),文化娱乐服务类城市居民消费价格指数(上年=100),旅游类城市居民消费价格指数(上年=100)
2019,102.3,103.3,103.1,103.4,101.1,98.6,102,101.1,101.9
2018,102.3,102.9,102.6,103.0,101.5,98.1,101.9,100.9,103.2
2017,102.4,103.1,101.9,103.2,101.6,98.8,101,100.8,103.6
2016,101.5,102.4,101.1,102.5,100.5,97.3,100.8,101.0,101.9
2015,,,,,,,,,
2014,,,,,,,,,
2013,,,,,,,,,
2012,,,,,,,,,
2011,,,,,,,,,
2010,,,,,,,,,
2009,,,,,,,,,
2008,,,,,,,,,
2007,,,,,,,,,
2006,,,,,,,,,
2005,,,,,,,,,
2004,,,,,,,,,
2003,,,,,,,,,
2002,,,,,,,,,
2001,,,,,,,,,
2000,,,,,,,,,
