年份,食品烟酒类城市居民消费价格指数(上年=100),食品类城市居民消费价格指数(上年=100),粮食类城市居民消费价格指数(上年=100),薯类类城市居民消费价格指数(上年=100),豆类类城市居民消费价格指数(上年=100),食用油类城市居民消费价格指数(上年=100),菜类城市居民消费价格指数(上年=100),鲜菜类城市居民消费价格指数(上年=100),畜肉类类城市居民消费价格指数(上年=100),禽肉类类城市居民消费价格指数(上年=100),水产品类城市居民消费价格指数(上年=100),蛋类类城市居民消费价格指数(上年=100),奶类类城市居民消费价格指数(上年=100),干鲜瓜果类类城市居民消费价格指数(上年=100),鲜瓜果类城市居民消费价格指数(上年=100),糖果糕点类类城市居民消费价格指数(上年=100),调味品类城市居民消费价格指数(上年=100),其他食品类类城市居民消费价格指数(上年=100),茶及饮料类城市居民消费价格指数(上年=100),烟酒类城市居民消费价格指数(上年=100),在外餐饮类城市居民消费价格指数(上年=100)
2019,106.7,108.8,100.6,102.5,101.8,100.9,103.9,104.1,127.9,110,100.1,105,101.6,109.5,112,100.7,101.1,101.4,101.5,101.3,103.3
2018,102.1,102.1,100.8,107.8,101.1,99.6,106.9,107.5,96.8,105.3,102.2,111.7,101.6,104.0,105.5,102.2,102.0,101.4,101.8,101.4,102.4
2017,99.8,98.8,101.4,95.7,100.7,100.2,92.6,91.7,95.7,99.8,104.6,96.3,100.2,102.7,103.8,102.2,103.0,100.1,101.2,100.9,102.2
2016,103.7,104.5,100.6,111.3,100.9,101.2,110.9,111.7,110.5,101.6,104.9,96.8,99.8,98.2,97.5,101.0,102.4,101.7,100.5,101.5,102.6
2015,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,
