年份,交通和通信类城市居民消费价格指数(上年=100),交通类城市居民消费价格指数(上年=100),交通工具类城市居民消费价格指数(上年=100),交通工具用燃料类城市居民消费价格指数(上年=100),交通工具使用和维修类城市居民消费价格指数(上年=100),交通费类城市居民消费价格指数(上年=100),通信类城市居民消费价格指数(上年=100)
2019,98.2,98,98.3,93.9,102.5,100.3,98.7
2018,101.6,103.2,98.3,112.6,103.1,101.3,98.7
2017,101.0,102.1,98.3,109.8,101.7,101.2,99.2
2016,98.6,98.5,97.9,96.0,101.4,101.1,98.9
2015,,,,,,,
2014,,,,,,,
2013,,,,,,,
2012,,,,,,,
2011,,,,,,,
2010,,,,,,,
2009,,,,,,,
2008,,,,,,,
2007,,,,,,,
2006,,,,,,,
2005,,,,,,,
2004,,,,,,,
2003,,,,,,,
2002,,,,,,,
2001,,,,,,,
2000,,,,,,,
