年份,生活用品及服务类城市居民消费价格指数(上年=100),家具及室内装饰品类城市居民消费价格指数(上年=100),家用器具类城市居民消费价格指数(上年=100),家用纺织品类城市居民消费价格指数(上年=100),家庭日用杂品类城市居民消费价格指数(上年=100),个人护理用品类城市居民消费价格指数(上年=100),家庭服务类城市居民消费价格指数(上年=100)
2019,100.9,101,99.1,100.4,100.8,101.2,104.9
2018,101.6,102.2,100.3,100.6,101.4,101.0,105.7
2017,101.0,101.9,100.2,100.2,100.4,101.1,104.2
2016,100.5,100.7,98.7,100.3,100.5,101.1,104.5
2015,,,,,,,
2014,,,,,,,
2013,,,,,,,
2012,,,,,,,
2011,,,,,,,
2010,,,,,,,
2009,,,,,,,
2008,,,,,,,
2007,,,,,,,
2006,,,,,,,
2005,,,,,,,
2004,,,,,,,
2003,,,,,,,
2002,,,,,,,
2001,,,,,,,
2000,,,,,,,
