省份编码,省份,年份,原保险保费收入(亿元),财产险保费收入(亿元),人身险保费收入(亿元),原保险赔付支出(亿元),财产险支出(亿元),人身险支出(亿元)
110000,北京市,2019,2076.454252,454.828546,1621.625707,718.953477,269.305226,449.648251
110000,北京市,2018,1793.2040556527,422.6788457395,1370.5252099132,629.390352452,245.9071868102,383.4831656418
110000,北京市,2017,1972.961334,405.636741,1567.324593,577.72196,212.47054,365.25142
110000,北京市,2016,1834.2474129999998,369.25102200000003,1464.99639,596.6647839999999,229.30922400000003,367.35556
110000,北京市,2015,1403.89,344.66,1059.23,506.62,206.63,299.98
110000,北京市,2014,1207.24,314.76,892.49,407.25,182.67,224.57
110000,北京市,2013,994.44,288.03,706.41,318.17,165.28,152.89
110000,北京市,2012,923.087131,267.022795,656.064336,286.169827,152.285416,133.884411
110000,北京市,2011,820.91,232.56,588.35,232.8,119.04,113.76
110000,北京市,2010,966.46,212.3,754.15,199.65,93.71,105.94
110000,北京市,2009,697.5952110000001,164.419729,533.175482,196.011724,85.364396,110.647328
110000,北京市,2008,585.961142,134.139644,451.821497,188.927633,67.877716,121.049917
110000,北京市,2007,498.050011,111.740498,386.30951400000004,135.381375,49.669158,85.712217
110000,北京市,2006,,,,,,
110000,北京市,2005,,,,,,
110000,北京市,2004,,,,,,
110000,北京市,2003,,,,,,
110000,北京市,2002,,,,,,
110000,北京市,2001,,,,,,
110000,北京市,2000,,,,,,
120000,天津市,2019,617.894097,152.188399,465.705698,158.165901,79.293968,78.871933
120000,天津市,2018,559.9853543211,144.4428297393,415.5425245818,164.1368604718,80.3905549731,83.7463054987
120000,天津市,2017,564.961076,141.572073,423.389003,154.904043,74.095508,80.808534
120000,天津市,2016,527.992438,127.55954399999999,400.432894,177.70285900000002,94.40192900000001,83.30093000000001
120000,天津市,2015,398.34,120.28,278.06,139.53,66.46,73.07
120000,天津市,2014,317.75,108.87,208.88,104.39,59.91,44.47
120000,天津市,2013,276.8,102.28,174.52,102.0,58.98,43.03
120000,天津市,2012,238.15715,90.785948,147.371202,81.017967,44.7392,36.278767
120000,天津市,2011,211.74,75.1,136.64,66.17,35.51,30.66
120000,天津市,2010,214.01,65.13,148.87,54.19,31.93,22.26
120000,天津市,2009,151.28727,45.795919,105.491351,59.922595,29.494367,30.428228000000004
120000,天津市,2008,175.621187,41.819518,133.801669,51.025169,20.991706,30.033464
120000,天津市,2007,150.909224,35.423439,115.485785,41.341712,17.122057,24.219656
120000,天津市,2006,,,,,,
120000,天津市,2005,,,,,,
120000,天津市,2004,,,,,,
120000,天津市,2003,,,,,,
120000,天津市,2002,,,,,,
120000,天津市,2001,,,,,,
120000,天津市,2000,,,,,,
130000,河北省,2019,1989.157767,572.672025,1416.485743,549.840191,282.22629,267.613902
130000,河北省,2018,1789.2929225481,529.7832820932,1259.5096404549,541.2328722709,248.9650617127,292.2678105582
130000,河北省,2017,1713.887837,487.35601,1226.531827,547.544076,225.382671,322.161405
130000,河北省,2016,1491.485174,442.13119800000004,1049.353976,548.235667,215.520171,332.715496
130000,河北省,2015,1163.1,399.5,763.61,461.92,201.32,260.6
130000,河北省,2014,931.94,356.72,575.22,395.03,172.3,222.72
130000,河北省,2013,837.59,309.77,527.81,315.66,160.21,155.46
130000,河北省,2012,766.158299,258.65425,507.504048,223.892029,133.577311,90.314719
130000,河北省,2011,732.89,222.92,509.97,183.47,103.06,80.42
130000,河北省,2010,746.4,192.91,553.5,147.64,84.1,63.54
130000,河北省,2009,601.086364,128.674163,472.412201,142.975714,69.159891,73.815823
130000,河北省,2008,480.608976,103.142395,377.466581,147.68267,60.377114,87.305555
130000,河北省,2007,332.251299,84.196448,248.054851,102.401352,44.419838,57.981514
130000,河北省,2006,,,,,,
130000,河北省,2005,,,,,,
130000,河北省,2004,,,,,,
130000,河北省,2003,,,,,,
130000,河北省,2002,,,,,,
130000,河北省,2001,,,,,,
130000,河北省,2000,,,,,,
140000,山西省,2019,883.337209,227.359724,655.977485,278.596667,119.151702,159.444965
140000,山西省,2018,824.5831191291,212.940123396,611.6429957331,267.3313157443,102.4112419015,164.9200738428
140000,山西省,2017,823.210562,194.099499,629.111062,259.876893,96.726776,163.150116
140000,山西省,2016,698.20327,174.14865,524.05462,239.04174700000002,92.480824,146.560923
140000,山西省,2015,586.73,159.55,427.18,200.22,89.37,110.85
140000,山西省,2014,465.37,156.03,309.35,182.47,83.56,98.91
140000,山西省,2013,412.38,144.55,267.84,169.32,83.16,86.16
140000,山西省,2012,384.649109,127.786841,256.862268,119.325077,65.370877,53.9542
