省份编码,省份,年份,住宿业企业资产总计(亿元),住宿业企业流动资产合计(亿元),住宿业企业固定资产合计(亿元),住宿业企业负债合计(亿元),住宿业企业所有者权益合计(亿元)
110000,北京市,2019,1564.8006,682.518,,1143.8468,420.9538
110000,北京市,2018,1566.1,655.5,512.1,1153.1,413.0
110000,北京市,2017,1412.562,513.7638,519.1472,1026.6656,385.8963
110000,北京市,2016,1375.0189,489.8952,518.4904,1028.7933,346.2256
110000,北京市,2015,1345.7707,476.3144,503.3045,1017.4554,328.3153
110000,北京市,2014,1240.168,423.508,485.4118,940.7954,299.3726
110000,北京市,2013,1228.4824,414.9954,497.0281,905.2668,323.2156
110000,北京市,2012,1136.4,361.0,456.2,827.5,308.9
110000,北京市,2011,1052.8,321.4,465.5,742.3,310.6
110000,北京市,2010,948.9,268.5,503.8,677.2,271.7
110000,北京市,2009,951.6,256.3,523.9,692.1,259.5
110000,北京市,2008,915.4,235.5,695.3,642.6,272.7
110000,北京市,2007,,,,,
110000,北京市,2006,,,,,
110000,北京市,2005,,,,,
110000,北京市,2004,,,,,
110000,北京市,2003,,,,,
110000,北京市,2002,,,,,
110000,北京市,2001,,,,,
110000,北京市,2000,,,,,
120000,天津市,2019,209.5324,90.3024,,201.8728,8.3296
120000,天津市,2018,214.0,104.5,70.4,198.1,16.2
120000,天津市,2017,180.9516,83.696,59.6428,155.8356,25.1159
120000,天津市,2016,151.875,60.6242,59.0973,129.5525,22.3225
120000,天津市,2015,134.4399,42.3261,57.2283,119.905,14.5349
120000,天津市,2014,125.1209,43.2911,50.5442,111.7049,13.416
120000,天津市,2013,147.2621,44.1548,68.3428,120.2505,27.0116
120000,天津市,2012,127.3,50.3,51.4,95.7,31.7
120000,天津市,2011,107.9,33.2,48.9,82.9,25.0
120000,天津市,2010,124.7,42.6,55.1,85.2,39.5
120000,天津市,2009,93.4,29.3,46.4,70.5,23.1
120000,天津市,2008,106.2,31.0,71.9,71.5,34.7
120000,天津市,2007,,,,,
120000,天津市,2006,,,,,
120000,天津市,2005,,,,,
120000,天津市,2004,,,,,
120000,天津市,2003,,,,,
120000,天津市,2002,,,,,
120000,天津市,2001,,,,,
120000,天津市,2000,,,,,
130000,河北省,2019,388.7604,152.3649,,356.8374,31.8568
130000,河北省,2018,359.0,139.8,129.5,309.3,49.7
130000,河北省,2017,325.6782,138.186,131.5935,278.4884,47.1898
130000,河北省,2016,296.4751,122.7572,123.4821,240.2152,56.2599
130000,河北省,2015,295.1352,122.4101,128.1806,237.7877,57.3475
130000,河北省,2014,292.5925,124.9234,123.0357,230.3272,62.2653
130000,河北省,2013,284.995,100.9854,131.5391,221.0054,63.9896
130000,河北省,2012,252.2,81.2,130.3,188.2,64.0
130000,河北省,2011,236.7,77.3,130.0,170.0,66.8
130000,河北省,2010,208.3,56.2,124.0,144.8,63.5
130000,河北省,2009,167.6,37.0,106.5,112.1,55.5
130000,河北省,2008,178.0,34.4,130.4,113.8,64.2
130000,河北省,2007,,,,,
130000,河北省,2006,,,,,
130000,河北省,2005,,,,,
130000,河北省,2004,,,,,
130000,河北省,2003,,,,,
130000,河北省,2002,,,,,
130000,河北省,2001,,,,,
130000,河北省,2000,,,,,
140000,山西省,2019,163.9708,53.8147,,152.1911,12.8625
140000,山西省,2018,139.8,47.4,68.5,127.7,12.2
140000,山西省,2017,127.4833,45.1331,60.5778,116.1433,11.3399
140000,山西省,2016,130.3273,41.133,60.696,113.8136,16.5136
140000,山西省,2015,132.0083,44.8641,56.4853,109.2713,22.7369
140000,山西省,2014,134.8036,46.723,58.498,102.3695,32.4341
140000,山西省,2013,133.6317,44.7737,62.9107,93.5112,40.1206
