省份编码,省份,年份,限额以上住宿和餐饮业企业主营业务收入(亿元),限额以上住宿和餐饮业企业主营业务成本(亿元)
210000,辽宁省,2000,,
220000,吉林省,2019,,
220000,吉林省,2018,,
220000,吉林省,2017,,
220000,吉林省,2016,,
220000,吉林省,2015,,
220000,吉林省,2014,,
220000,吉林省,2013,,
220000,吉林省,2012,,
220000,吉林省,2011,,
220000,吉林省,2010,,
220000,吉林省,2009,,
220000,吉林省,2008,40.2129,18.0615
220000,吉林省,2007,,
220000,吉林省,2006,,
220000,吉林省,2005,,
220000,吉林省,2004,,
220000,吉林省,2003,,
220000,吉林省,2002,,
220000,吉林省,2001,,
220000,吉林省,2000,,
230000,黑龙江省,2019,,
230000,黑龙江省,2018,,
230000,黑龙江省,2017,,
230000,黑龙江省,2016,,
230000,黑龙江省,2015,,
230000,黑龙江省,2014,,
230000,黑龙江省,2013,,
230000,黑龙江省,2012,,
230000,黑龙江省,2011,,
230000,黑龙江省,2010,,
230000,黑龙江省,2009,,
230000,黑龙江省,2008,40.0332,17.7104
230000,黑龙江省,2007,,
230000,黑龙江省,2006,,
230000,黑龙江省,2005,,
230000,黑龙江省,2004,,
230000,黑龙江省,2003,,
230000,黑龙江省,2002,,
230000,黑龙江省,2001,,
230000,黑龙江省,2000,,
310000,上海市,2019,,
310000,上海市,2018,,
310000,上海市,2017,,
310000,上海市,2016,,
310000,上海市,2015,,
310000,上海市,2014,,
310000,上海市,2013,,
310000,上海市,2012,,
310000,上海市,2011,,
310000,上海市,2010,,
310000,上海市,2009,,
310000,上海市,2008,453.8993,173.0468
310000,上海市,2007,,
310000,上海市,2006,,
310000,上海市,2005,,
310000,上海市,2004,,
310000,上海市,2003,,
310000,上海市,2002,,
310000,上海市,2001,,
310000,上海市,2000,,
320000,江苏省,2019,,
320000,江苏省,2018,,
320000,江苏省,2017,,
320000,江苏省,2016,,
320000,江苏省,2015,,
320000,江苏省,2014,,
320000,江苏省,2013,,
320000,江苏省,2012,,
320000,江苏省,2011,,
320000,江苏省,2010,,
320000,江苏省,2009,,
320000,江苏省,2008,388.6911,177.8198
320000,江苏省,2007,,
320000,江苏省,2006,,
320000,江苏省,2005,,
320000,江苏省,2004,,
320000,江苏省,2003,,
320000,江苏省,2002,,
320000,江苏省,2001,,
320000,江苏省,2000,,
330000,浙江省,2019,,
330000,浙江省,2018,,
330000,浙江省,2017,,
330000,浙江省,2016,,
330000,浙江省,2015,,
330000,浙江省,2014,,
330000,浙江省,2013,,
330000,浙江省,2012,,
330000,浙江省,2011,,
330000,浙江省,2010,,
330000,浙江省,2009,,
330000,浙江省,2008,389.2421,173.3576
330000,浙江省,2007,,
330000,浙江省,2006,,
330000,浙江省,2005,,
330000,浙江省,2004,,
330000,浙江省,2003,,
330000,浙江省,2002,,
330000,浙江省,2001,,
330000,浙江省,2000,,
340000,安徽省,2019,,
340000,安徽省,2018,,
340000,安徽省,2017,,
340000,安徽省,2016,,
340000,安徽省,2015,,
340000,安徽省,2014,,
340000,安徽省,2013,,
340000,安徽省,2012,,
340000,安徽省,2011,,
340000,安徽省,2010,,
340000,安徽省,2009,,
340000,安徽省,2008,77.5325,36.6592
340000,安徽省,2007,,
340000,安徽省,2006,,
340000,安徽省,2005,,
340000,安徽省,2004,,
340000,安徽省,2003,,
340000,安徽省,2002,,
340000,安徽省,2001,,
340000,安徽省,2000,,
350000,福建省,2019,,
350000,福建省,2018,,
350000,福建省,2017,,
350000,福建省,2016,,
350000,福建省,2015,,
350000,福建省,2014,,
350000,福建省,2013,,
350000,福建省,2012,,
350000,福建省,2011,,
350000,福建省,2010,,
350000,福建省,2009,,
350000,福建省,2008,141.0192,60.3508
350000,福建省,2007,,
350000,福建省,2006,,
350000,福建省,2005,,
350000,福建省,2004,,
350000,福建省,2003,,
350000,福建省,2002,,
350000,福建省,2001,,
350000,福建省,2000,,
360000,江西省,2019,,
360000,江西省,2018,,
360000,江西省,2017,,
360000,江西省,2016,,
360000,江西省,2015,,
360000,江西省,2014,,
360000,江西省,2013,,
360000,江西省,2012,,
360000,江西省,2011,,
360000,江西省,2010,,
360000,江西省,2009,,
360000,江西省,2008,61.1839,28.6209
360000,江西省,2007,,
360000,江西省,2006,,
360000,江西省,2005,,
360000,江西省,2004,,
360000,江西省,2003,,
360000,江西省,2002,,
360000,江西省,2001,,
360000,江西省,2000,,
370000,山东省,2019,,
370000,山东省,2018,,
370000,山东省,2017,,
370000,山东省,2016,,
370000,山东省,2015,,
370000,山东省,2014,,
370000,山东省,2013,,
370000,山东省,2012,,
370000,山东省,2011,,
370000,山东省,2010,,
370000,山东省,2009,,
370000,山东省,2008,381.812,182.8356
370000,山东省,2007,,
370000,山东省,2006,,
370000,山东省,2005,,
370000,山东省,2004,,
370000,山东省,2003,,
370000,山东省,2002,,
370000,山东省,2001,,
370000,山东省,2000,,
410000,河南省,2019,,
410000,河南省,2018,,
410000,河南省,2017,,
410000,河南省,2016,,
410000,河南省,2015,,
410000,河南省,2014,,
410000,河南省,2013,,
410000,河南省,2012,,
410000,河南省,2011,,
410000,河南省,2010,,
410000,河南省,2009,,
410000,河南省,2008,175.3193,96.5555
410000,河南省,2007,,
410000,河南省,2006,,
410000,河南省,2005,,
410000,河南省,2004,,
410000,河南省,2003,,
410000,河南省,2002,,
410000,河南省,2001,,
410000,河南省,2000,,
420000,湖北省,2019,,
420000,湖北省,2018,,
420000,湖北省,2017,,
420000,湖北省,2016,,
420000,湖北省,2015,,
420000,湖北省,2014,,
420000,湖北省,2013,,
420000,湖北省,2012,,
420000,湖北省,2011,,
420000,湖北省,2010,,
420000,湖北省,2009,,
420000,湖北省,2008,120.4014,55.1238
420000,湖北省,2007,,
420000,湖北省,2006,,
420000,湖北省,2005,,
420000,湖北省,2004,,
420000,湖北省,2003,,
420000,湖北省,2002,,
420000,湖北省,2001,,
420000,湖北省,2000,,
430000,湖南省,2019,,
430000,湖南省,2018,,
430000,湖南省,2017,,
430000,湖南省,2016,,
430000,湖南省,2015,,
430000,湖南省,2014,,
430000,湖南省,2013,,
430000,湖南省,2012,,
430000,湖南省,2011,,
430000,湖南省,2010,,
430000,湖南省,2009,,
430000,湖南省,2008,148.0621,76.6394
430000,湖南省,2007,,
430000,湖南省,2006,,
430000,湖南省,2005,,
430000,湖南省,2004,,
430000,湖南省,2003,,
430000,湖南省,2002,,
430000,湖南省,2001,,
430000,湖南省,2000,,
440000,广东省,2019,,
440000,广东省,2018,,
440000,广东省,2017,,
440000,广东省,2016,,
440000,广东省,2015,,
440000,广东省,2014,,
440000,广东省,2013,,
440000,广东省,2012,,
440000,广东省,2011,,
440000,广东省,2010,,
440000,广东省,2009,,
440000,广东省,2008,722.0825,290.7353
440000,广东省,2007,,
440000,广东省,2006,,
440000,广东省,2005,,
440000,广东省,2004,,
440000,广东省,2003,,
440000,广东省,2002,,
440000,广东省,2001,,
440000,广东省,2000,,
450000,广西壮族自治区,2019,,
450000,广西壮族自治区,2018,,
450000,广西壮族自治区,2017,,
450000,广西壮族自治区,2016,,
450000,广西壮族自治区,2015,,
450000,广西壮族自治区,2014,,
450000,广西壮族自治区,2013,,
450000,广西壮族自治区,2012,,
450000,广西壮族自治区,2011,,
450000,广西壮族自治区,2010,,
450000,广西壮族自治区,2009,,
450000,广西壮族自治区,2008,52.3463,19.4437
450000,广西壮族自治区,2007,,
450000,广西壮族自治区,2006,,
450000,广西壮族自治区,2005,,
450000,广西壮族自治区,2004,,
450000,广西壮族自治区,2003,,
450000,广西壮族自治区,2002,,
450000,广西壮族自治区,2001,,
450000,广西壮族自治区,2000,,
460000,海南省,2019,,
460000,海南省,2018,,
460000,海南省,2017,,
460000,海南省,2016,,
460000,海南省,2015,,
460000,海南省,2014,,
460000,海南省,2013,,
460000,海南省,2012,,
460000,海南省,2011,,
460000,海南省,2010,,
460000,海南省,2009,,
460000,海南省,2008,54.7838,14.0611
460000,海南省,2007,,
460000,海南省,2006,,
460000,海南省,2005,,
460000,海南省,2004,,
460000,海南省,2003,,
460000,海南省,2002,,
460000,海南省,2001,,
460000,海南省,2000,,
500000,重庆市,2019,,
500000,重庆市,2018,,
500000,重庆市,2017,,
500000,重庆市,2016,,
500000,重庆市,2015,,
500000,重庆市,2014,,
500000,重庆市,2013,,
500000,重庆市,2012,,
500000,重庆市,2011,,
500000,重庆市,2010,,
500000,重庆市,2009,,
500000,重庆市,2008,96.414,46.8841
500000,重庆市,2007,,
500000,重庆市,2006,,
500000,重庆市,2005,,
500000,重庆市,2004,,
500000,重庆市,2003,,
500000,重庆市,2002,,
500000,重庆市,2001,,
500000,重庆市,2000,,
510000,四川省,2019,,
510000,四川省,2018,,
510000,四川省,2017,,
510000,四川省,2016,,
510000,四川省,2015,,
510000,四川省,2014,,
510000,四川省,2013,,
510000,四川省,2012,,
510000,四川省,2011,,
510000,四川省,2010,,
510000,四川省,2009,,
510000,四川省,2008,142.5291,56.9942
510000,四川省,2007,,
510000,四川省,2006,,
510000,四川省,2005,,
510000,四川省,2004,,
510000,四川省,2003,,
510000,四川省,2002,,
510000,四川省,2001,,
510000,四川省,2000,,
520000,贵州省,2019,,
520000,贵州省,2018,,
520000,贵州省,2017,,
520000,贵州省,2016,,
520000,贵州省,2015,,
520000,贵州省,2014,,
520000,贵州省,2013,,
520000,贵州省,2012,,
520000,贵州省,2011,,
520000,贵州省,2010,,
520000,贵州省,2009,,
520000,贵州省,2008,24.5007,9.7306
520000,贵州省,2007,,
520000,贵州省,2006,,
520000,贵州省,2005,,
520000,贵州省,2004,,
520000,贵州省,2003,,
520000,贵州省,2002,,
520000,贵州省,2001,,
520000,贵州省,2000,,
530000,云南省,2019,,
530000,云南省,2018,,
530000,云南省,2017,,
530000,云南省,2016,,
530000,云南省,2015,,
530000,云南省,2014,,
530000,云南省,2013,,
530000,云南省,2012,,
530000,云南省,2011,,
530000,云南省,2010,,
530000,云南省,2009,,
530000,云南省,2008,51.4127,20.1183
530000,云南省,2007,,
530000,云南省,2006,,
530000,云南省,2005,,
530000,云南省,2004,,
530000,云南省,2003,,
530000,云南省,2002,,
530000,云南省,2001,,
530000,云南省,2000,,
540000,西藏自治区,2019,,
540000,西藏自治区,2018,,
540000,西藏自治区,2017,,
540000,西藏自治区,2016,,
540000,西藏自治区,2015,,
540000,西藏自治区,2014,,
540000,西藏自治区,2013,,
540000,西藏自治区,2012,,
540000,西藏自治区,2011,,
540000,西藏自治区,2010,,
540000,西藏自治区,2009,,
540000,西藏自治区,2008,2.8811,1.125
540000,西藏自治区,2007,,
540000,西藏自治区,2006,,
540000,西藏自治区,2005,,
540000,西藏自治区,2004,,
540000,西藏自治区,2003,,
540000,西藏自治区,2002,,
540000,西藏自治区,2001,,
540000,西藏自治区,2000,,
610000,陕西省,2019,,
610000,陕西省,2018,,
610000,陕西省,2017,,
610000,陕西省,2016,,
610000,陕西省,2015,,
610000,陕西省,2014,,
610000,陕西省,2013,,
610000,陕西省,2012,,
610000,陕西省,2011,,
610000,陕西省,2010,,
610000,陕西省,2009,,
610000,陕西省,2008,109.61,49.2822
610000,陕西省,2007,,
610000,陕西省,2006,,
610000,陕西省,2005,,
610000,陕西省,2004,,
610000,陕西省,2003,,
610000,陕西省,2002,,
610000,陕西省,2001,,
610000,陕西省,2000,,
620000,甘肃省,2019,,
620000,甘肃省,2018,,
620000,甘肃省,2017,,
620000,甘肃省,2016,,
620000,甘肃省,2015,,
620000,甘肃省,2014,,
620000,甘肃省,2013,,
620000,甘肃省,2012,,
620000,甘肃省,2011,,
620000,甘肃省,2010,,
620000,甘肃省,2009,,
620000,甘肃省,2008,23.8415,11.2475
620000,甘肃省,2007,,
620000,甘肃省,2006,,
620000,甘肃省,2005,,
620000,甘肃省,2004,,
620000,甘肃省,2003,,
620000,甘肃省,2002,,
620000,甘肃省,2001,,
620000,甘肃省,2000,,
630000,青海省,2019,,
630000,青海省,2018,,
630000,青海省,2017,,
630000,青海省,2016,,
630000,青海省,2015,,
630000,青海省,2014,,
630000,青海省,2013,,
630000,青海省,2012,,
630000,青海省,2011,,
630000,青海省,2010,,
630000,青海省,2009,,
630000,青海省,2008,7.3613,2.9091
630000,青海省,2007,,
630000,青海省,2006,,
630000,青海省,2005,,
630000,青海省,2004,,
630000,青海省,2003,,
630000,青海省,2002,,
630000,青海省,2001,,
630000,青海省,2000,,
640000,宁夏回族自治区,2019,,
640000,宁夏回族自治区,2018,,
640000,宁夏回族自治区,2017,,
640000,宁夏回族自治区,2016,,
640000,宁夏回族自治区,2015,,
640000,宁夏回族自治区,2014,,
640000,宁夏回族自治区,2013,,
640000,宁夏回族自治区,2012,,
640000,宁夏回族自治区,2011,,
640000,宁夏回族自治区,2010,,
640000,宁夏回族自治区,2009,,
640000,宁夏回族自治区,2008,12.3984,5.3938
640000,宁夏回族自治区,2007,,
640000,宁夏回族自治区,2006,,
640000,宁夏回族自治区,2005,,
640000,宁夏回族自治区,2004,,
640000,宁夏回族自治区,2003,,
640000,宁夏回族自治区,2002,,
640000,宁夏回族自治区,2001,,
640000,宁夏回族自治区,2000,,
650000,新疆维吾尔自治区,2019,,
650000,新疆维吾尔自治区,2018,,
650000,新疆维吾尔自治区,2017,,
650000,新疆维吾尔自治区,2016,,
650000,新疆维吾尔自治区,2015,,
650000,新疆维吾尔自治区,2014,,
650000,新疆维吾尔自治区,2013,,
650000,新疆维吾尔自治区,2012,,
650000,新疆维吾尔自治区,2011,,
650000,新疆维吾尔自治区,2010,,
650000,新疆维吾尔自治区,2009,,
650000,新疆维吾尔自治区,2008,31.6237,14.7516
650000,新疆维吾尔自治区,2007,,
650000,新疆维吾尔自治区,2006,,
650000,新疆维吾尔自治区,2005,,
650000,新疆维吾尔自治区,2004,,
650000,新疆维吾尔自治区,2003,,
650000,新疆维吾尔自治区,2002,,
650000,新疆维吾尔自治区,2001,,
650000,新疆维吾尔自治区,2000,,
