省份编码,省份,年份,餐饮业企业主营业务收入(亿元),餐饮业企业主营业务成本(亿元),餐饮业企业主营业务税金及附加(亿元),餐饮业企业主营业务利润(亿元)
110000,北京市,2019,,,,
110000,北京市,2018,671.5,280.7,1.3,389.4
110000,北京市,2017,611.708,251.9208,1.3629,358.4243
110000,北京市,2016,556.6018,225.3072,10.8407,320.4539
110000,北京市,2015,539.4774,222.2225,28.6353,288.6196
110000,北京市,2014,528.6163,222.0538,28.0945,278.4
110000,北京市,2013,520.6467,222.6902,27.9417,270.0148
110000,北京市,2012,543.6,237.9,29.8,275.9
110000,北京市,2011,478.5338,216.3081,25.9831,236.2426
110000,北京市,2010,396.31603,174.00332,20.8,201.5
110000,北京市,2009,344.23139,152.4268,17.91681,173.88778
110000,北京市,2008,319.9611,145.8858,15.9524,158.123
110000,北京市,2007,239.12124,109.70369,11.91916,117.49839
110000,北京市,2006,171.871,79.8891,8.75419,83.2278
110000,北京市,2005,154.00006,153.26161,7.9738,73.75805
110000,北京市,2004,152.06437,74.52978,,17.06743
110000,北京市,2003,64.13502,28.01161,2.15193,10.24632
110000,北京市,2002,62.15091,27.34579,3.1368,8.7352
110000,北京市,2001,47.4885,21.6755,2.3516,6.3318
110000,北京市,2000,44.2251,21.0791,2.1523,5.6681
120000,天津市,2019,,,,
120000,天津市,2018,102.9,51.5,0.3,51.1
120000,天津市,2017,91.9088,43.4285,0.3308,48.1495
120000,天津市,2016,95.1505,46.2295,2.0136,46.9074
120000,天津市,2015,95.5723,46.5418,4.9972,44.0333
120000,天津市,2014,94.2883,46.3293,4.9997,42.9593
120000,天津市,2013,103.343,51.4436,5.485,46.4144
120000,天津市,2012,99.8,49.6,5.4,44.8
120000,天津市,2011,91.9282,46.0545,5.0292,40.8445
120000,天津市,2010,75.72713,34.55521,4.0,37.2
120000,天津市,2009,62.59361,29.15468,3.41212,30.04487
120000,天津市,2008,62.7833,29.4715,3.4023,29.9095
120000,天津市,2007,45.37757,21.86791,2.31159,15.8946
120000,天津市,2006,33.8288,16.118,1.77518,10.914
120000,天津市,2005,29.5264,29.50224,1.53268,8.24935
120000,天津市,2004,29.46064,15.16875,,3.11197
120000,天津市,2003,17.99368,9.04846,0.79123,2.18544
120000,天津市,2002,16.79275,8.40415,0.8877,1.9791
120000,天津市,2001,16.1671,8.3335,0.8052,1.804
120000,天津市,2000,10.0132,5.036,0.5167,1.1865
130000,河北省,2019,,,,
130000,河北省,2018,43.6,21.4,0.4,21.8
130000,河北省,2017,39.6886,20.119,0.5643,19.0053
130000,河北省,2016,36.1088,19.6474,1.0024,15.459
130000,河北省,2015,35.0216,17.7736,1.7864,15.4616
130000,河北省,2014,38.9608,20.5,2.0313,16.5
130000,河北省,2013,44.2927,23.9459,2.3204,18.0264
130000,河北省,2012,53.3,28.7,2.9,21.7
130000,河北省,2011,45.055,24.7892,2.4457,17.8201
130000,河北省,2010,36.3298,20.28828,2.0,13.9
130000,河北省,2009,26.436,14.61226,1.51036,10.19543
130000,河北省,2008,28.2152,15.909,1.6636,10.3253
130000,河北省,2007,18.07465,10.72482,1.03536,5.19706
130000,河北省,2006,15.1571,8.4762,0.76963,4.3547
130000,河北省,2005,11.91666,11.89376,0.64912,3.31841
130000,河北省,2004,10.05542,6.08717,,3.0768
