省份编码,省份,年份,住宿业企业主营业务收入(亿元),住宿业企业主营业务成本(亿元),住宿业企业主营业务税金及附加(亿元),住宿业企业主营业务利润(亿元)
110000,北京市,2019,,,,
110000,北京市,2018,397.3,104.5,10.2,282.6
110000,北京市,2017,367.5242,101.4153,9.1565,256.9524
110000,北京市,2016,350.4008,96.3559,9.5527,244.4922
110000,北京市,2015,343.6774,91.5402,19.0663,233.0709
110000,北京市,2014,340.5588,90.0286,19.023,231.5072
110000,北京市,2013,354.3814,93.4335,19.4724,241.4755
110000,北京市,2012,376.6,100.8,20.8,255.0
110000,北京市,2011,349.5528,94.365,18.986,236.2018
110000,北京市,2010,305.7242,83.57095,16.2,205.9
110000,北京市,2009,263.74326,73.52111,13.9793,176.24285
110000,北京市,2008,287.0819,66.0928,14.8183,206.1708
110000,北京市,2007,,,,
110000,北京市,2006,,,,
110000,北京市,2005,,,,
110000,北京市,2004,,,,
110000,北京市,2003,,,,
110000,北京市,2002,,,,
110000,北京市,2001,,,,
110000,北京市,2000,,,,
120000,天津市,2019,,,,
120000,天津市,2018,35.5,12.9,0.8,21.9
120000,天津市,2017,39.3455,14.765,0.3979,24.1826
120000,天津市,2016,38.4636,14.4774,0.8239,23.1623
120000,天津市,2015,37.6427,14.9062,1.9417,20.7948
120000,天津市,2014,38.8138,15.1955,1.9633,21.655
120000,天津市,2013,39.3089,14.393,2.0885,22.8274
120000,天津市,2012,41.4,14.3,2.2,24.9
120000,天津市,2011,37.6775,13.5769,2.0621,22.0385
120000,天津市,2010,32.38223,11.18885,1.8,19.2
120000,天津市,2009,27.72504,9.14426,1.49866,16.02239
120000,天津市,2008,31.6924,8.0701,1.6827,21.9409
120000,天津市,2007,,,,
120000,天津市,2006,,,,
120000,天津市,2005,,,,
120000,天津市,2004,,,,
120000,天津市,2003,,,,
120000,天津市,2002,,,,
120000,天津市,2001,,,,
120000,天津市,2000,,,,
130000,河北省,2019,,,,
130000,河北省,2018,70.5,27.1,1.1,42.3
130000,河北省,2017,67.4022,27.0244,1.2587,39.1191
130000,河北省,2016,64.3658,26.5749,1.658,36.1329
130000,河北省,2015,64.5377,27.6326,3.6655,33.2396
130000,河北省,2014,64.4381,27.4865,3.6816,33.27
130000,河北省,2013,72.9543,33.0102,4.0503,35.8938
130000,河北省,2012,82.8,35.2,4.6,43.0
130000,河北省,2011,79.8741,33.8564,4.4563,41.5614
130000,河北省,2010,64.60499,26.9284,3.6,33.1
130000,河北省,2009,52.40369,21.58836,2.94703,27.75894
130000,河北省,2008,49.6211,21.0407,2.6818,25.1758
130000,河北省,2007,,,,
130000,河北省,2006,,,,
130000,河北省,2005,,,,
130000,河北省,2004,,,,
130000,河北省,2003,,,,
130000,河北省,2002,,,,
130000,河北省,2001,,,,
130000,河北省,2000,,,,
140000,山西省,2019,,,,
140000,山西省,2018,37.4,14.1,0.8,22.5
140000,山西省,2017,32.8373,12.296,0.5903,19.951
140000,山西省,2016,31.065,11.9569,0.8221,18.286
140000,山西省,2015,32.6041,12.6824,1.9058,18.0159
140000,山西省,2014,39.1901,15.8105,2.2105,21.1691
140000,山西省,2013,45.7192,21.106,2.5833,22.0299
140000,山西省,2012,53.7,21.4,3.0,29.3
140000,山西省,2011,60.9593,28.3355,3.2492,29.3746
140000,山西省,2010,52.75348,23.59811,3.9,24.2
140000,山西省,2009,41.38296,18.07846,2.26376,19.82066
140000,山西省,2008,35.7562,15.0993,1.8224,18.3388
140000,山西省,2007,,,,
140000,山西省,2006,,,,
140000,山西省,2005,,,,
140000,山西省,2004,,,,
140000,山西省,2003,,,,
140000,山西省,2002,,,,
140000,山西省,2001,,,,
140000,山西省,2000,,,,
150000,内蒙古自治区,2019,,,,
150000,内蒙古自治区,2018,30.2,11.3,0.6,18.2
150000,内蒙古自治区,2017,34.9449,13.5216,0.5927,20.8306
150000,内蒙古自治区,2016,35.1452,15.5241,0.9202,18.7009
150000,内蒙古自治区,2015,36.0906,15.6132,1.9488,18.5286
150000,内蒙古自治区,2014,37.0,16.0,1.8821,19.2
150000,内蒙古自治区,2013,40.4451,19.4234,2.0551,18.9666
150000,内蒙古自治区,2012,43.3,17.4,2.2,23.7
150000,内蒙古自治区,2011,46.5692,20.2942,2.2775,23.9975
150000,内蒙古自治区,2010,41.57737,19.68716,2.0,19.4
150000,内蒙古自治区,2009,31.74066,14.14958,1.53594,15.82864
150000,内蒙古自治区,2008,28.96,12.7989,1.3738,14.5105
150000,内蒙古自治区,2007,,,,
150000,内蒙古自治区,2006,,,,
150000,内蒙古自治区,2005,,,,
150000,内蒙古自治区,2004,,,,
150000,内蒙古自治区,2003,,,,
150000,内蒙古自治区,2002,,,,
150000,内蒙古自治区,2001,,,,
150000,内蒙古自治区,2000,,,,
210000,辽宁省,2019,,,,
210000,辽宁省,2018,68.2,22.6,1.3,44.3
210000,辽宁省,2017,66.1448,22.177,1.2419,42.7259
210000,辽宁省,2016,74.3941,28.0566,1.8083,44.5292
210000,辽宁省,2015,97.2504,45.1814,4.4145,47.6545
210000,辽宁省,2014,103.8795,49.0812,5.0858,49.7125
210000,辽宁省,2013,105.8528,49.7783,5.4459,50.6286
210000,辽宁省,2012,104.4,41.2,5.4,57.8
210000,辽宁省,2011,103.7735,41.614,5.4545,56.705
210000,辽宁省,2010,84.80797,34.05864,4.3,38.6
210000,辽宁省,2009,71.53725,25.97098,3.61708,41.84544
210000,辽宁省,2008,78.034,25.916,4.2095,47.5101
210000,辽宁省,2007,,,,
210000,辽宁省,2006,,,,
210000,辽宁省,2005,,,,
210000,辽宁省,2004,,,,
210000,辽宁省,2003,,,,
210000,辽宁省,2002,,,,
210000,辽宁省,2001,,,,
210000,辽宁省,2000,,,,
220000,吉林省,2019,,,,
220000,吉林省,2018,26.9,10.3,0.5,16.1
220000,吉林省,2017,27.9554,12.0942,0.5362,15.325
220000,吉林省,2016,31.5983,14.7553,0.8212,16.0218
220000,吉林省,2015,30.8264,13.6297,1.4954,15.7013
220000,吉林省,2014,28.402,12.7826,1.4113,14.2081
220000,吉林省,2013,33.9433,16.8464,1.7533,15.3436
220000,吉林省,2012,35.7,15.7,1.8,18.2
220000,吉林省,2011,29.6407,12.6191,1.66,15.3616
220000,吉林省,2010,26.88063,11.46839,1.4,13.6
220000,吉林省,2009,23.7769,9.43471,1.24305,12.58179
220000,吉林省,2008,23.2986,8.7098,1.2976,13.0833
220000,吉林省,2007,,,,
220000,吉林省,2006,,,,
220000,吉林省,2005,,,,
220000,吉林省,2004,,,,
220000,吉林省,2003,,,,
220000,吉林省,2002,,,,
220000,吉林省,2001,,,,
220000,吉林省,2000,,,,
230000,黑龙江省,2019,,,,
230000,黑龙江省,2018,25.7,8.0,0.6,17.1
230000,黑龙江省,2017,29.7713,11.6536,0.6091,17.5086
230000,黑龙江省,2016,33.2326,13.5571,0.919,18.7565
230000,黑龙江省,2015,35.4011,14.5596,1.7496,19.0919
230000,黑龙江省,2014,32.565,12.4736,2.2059,17.8855
230000,黑龙江省,2013,33.8373,13.2664,1.8511,18.7198
230000,黑龙江省,2012,33.9,11.3,1.9,20.7
230000,黑龙江省,2011,32.0882,10.8207,1.8349,19.4326
230000,黑龙江省,2010,28.36374,8.80209,1.6,17.2
230000,黑龙江省,2009,22.42341,7.43461,1.25694,13.31045
230000,黑龙江省,2008,19.3603,6.4205,1.0813,11.8369
230000,黑龙江省,2007,,,,
230000,黑龙江省,2006,,,,
230000,黑龙江省,2005,,,,
230000,黑龙江省,2004,,,,
230000,黑龙江省,2003,,,,
230000,黑龙江省,2002,,,,
230000,黑龙江省,2001,,,,
230000,黑龙江省,2000,,,,
310000,上海市,2019,,,,
310000,上海市,2018,287.3,88.1,4.3,194.8
310000,上海市,2017,275.2448,85.9037,4.4234,184.9177
310000,上海市,2016,273.9567,86.149,7.1115,180.6962
310000,上海市,2015,260.8264,79.4465,13.8176,167.5623
310000,上海市,2014,258.2856,80.3033,15.8351,162.1472
310000,上海市,2013,226.1029,67.328,13.0833,145.6916
310000,上海市,2012,203.8,56.4,10.8,136.6
310000,上海市,2011,192.8104,49.7334,10.519,132.558
310000,上海市,2010,218.1774,52.20684,11.6,154.4
310000,上海市,2009,157.00768,42.61355,8.45628,106.00063
310000,上海市,2008,168.9198,41.5185,8.8297,110.9273
310000,上海市,2007,,,,
310000,上海市,2006,,,,
310000,上海市,2005,,,,
310000,上海市,2004,,,,
310000,上海市,2003,,,,
310000,上海市,2002,,,,
310000,上海市,2001,,,,
310000,上海市,2000,,,,
320000,江苏省,2019,,,,
320000,江苏省,2018,236.7,81.8,4.1,150.7
320000,江苏省,2017,230.313,90.5631,3.6812,136.0687
320000,江苏省,2016,219.6148,87.5142,5.2137,126.8869
320000,江苏省,2015,214.6797,84.278,10.9939,119.4078
320000,江苏省,2014,203.3137,78.6254,10.4976,114.1907
320000,江苏省,2013,206.1507,81.2581,10.7302,114.1624
320000,江苏省,2012,218.9,80.7,11.5,126.7
320000,江苏省,2011,213.6009,81.8754,11.1726,120.5529
320000,江苏省,2010,184.45553,70.4808,9.4,101.8
320000,江苏省,2009,155.63253,58.94457,8.2133,83.2215
320000,江苏省,2008,166.2169,65.6901,8.5588,89.1961
320000,江苏省,2007,,,,
320000,江苏省,2006,,,,
320000,江苏省,2005,,,,
320000,江苏省,2004,,,,
320000,江苏省,2003,,,,
320000,江苏省,2002,,,,
320000,江苏省,2001,,,,
320000,江苏省,2000,,,,
330000,浙江省,2019,,,,
