省份编码,省份,年份,住宿业法人企业数(个),住宿业企业从业人数(人),住宿业企业营业额(亿元),住宿业企业客房收入(亿元),住宿业企业餐费收入(亿元)
120000,天津市,2005,92,17647,16.8,9.0,4.9
120000,天津市,2004,85,16024,14.27153,7.1022,4.28987
120000,天津市,2003,,,,,
120000,天津市,2002,,,,,
120000,天津市,2001,,,,,
120000,天津市,2000,,,,,
130000,河北省,2019,514,48366,87.8942,39.7094,37.7058
130000,河北省,2018,453,46907,74.5,32.6,32.8
130000,河北省,2017,456,50017,70.5204,30.4559,31.9574
130000,河北省,2016,460,49827,65.7522,27.3747,31.4245
130000,河北省,2015,476,53900,65.6663,27.0501,31.5025
130000,河北省,2014,494,58972,64.7153,27.3688,30.7619
130000,河北省,2013,495,64475,74.93892,29.79698,36.59133
130000,河北省,2012,486,68013,84.1,32.0,43.1
130000,河北省,2011,489,72119,81.5,32.8,40.7
130000,河北省,2010,475,68679,64.9,25.7,32.7
130000,河北省,2009,427,63449,52.9,20.8,26.6
130000,河北省,2008,430,63232,50.5,20.7,24.6
130000,河北省,2007,347,57067,39.3,16.4,19.1
130000,河北省,2006,302,48445,30.8,13.0,14.4
130000,河北省,2005,252,48861,25.6,10.4,12.6
130000,河北省,2004,260,40206,25.07405,10.16697,12.4301
130000,河北省,2003,,,,,
130000,河北省,2002,,,,,
130000,河北省,2001,,,,,
130000,河北省,2000,,,,,
140000,山西省,2019,377,33009,43.6357,22.4809,16.6998
140000,山西省,2018,360,31382,39.4,19.9,15.6
140000,山西省,2017,329,31472,34.9609,16.6532,14.4237
140000,山西省,2016,354,32025,31.9409,15.0298,13.481
140000,山西省,2015,372,35678,33.105,15.695,13.8271
140000,山西省,2014,402,40941,39.3018,18.326,17.1336
140000,山西省,2013,408,46477,46.23097,20.4917,20.72686
140000,山西省,2012,397,53625,56.9,22.9,27.5
140000,山西省,2011,400,58708,64.3,29.0,28.7
140000,山西省,2010,388,58686,52.8,22.4,24.3
140000,山西省,2009,327,53930,41.5,17.3,20.0
140000,山西省,2008,302,46499,35.9,16.2,16.3
140000,山西省,2007,246,40909,28.9,13.0,13.2
140000,山西省,2006,233,37220,26.0,11.9,11.9
140000,山西省,2005,234,35679,21.9,10.0,9.7
140000,山西省,2004,246,35607,19.20447,8.71416,8.56793
140000,山西省,2003,,,,,
140000,山西省,2002,,,,,
140000,山西省,2001,,,,,
140000,山西省,2000,,,,,
150000,内蒙古自治区,2019,305,21593,34.5607,18.8375,13.4093
150000,内蒙古自治区,2018,276,21251,31.5,17.0,12.5
150000,内蒙古自治区,2017,294,25396,35.3589,17.4606,15.3988
150000,内蒙古自治区,2016,314,26444,36.2708,17.2574,16.3676
150000,内蒙古自治区,2015,314,28649,36.312,16.7116,17.0386
150000,内蒙古自治区,2014,306,29429,36.9284,16.6036,17.4212
150000,内蒙古自治区,2013,314,32062,40.70254,18.44102,19.58036
150000,内蒙古自治区,2012,307,33839,45.1,19.6,22.0
150000,内蒙古自治区,2011,332,35671,47.3,22.1,21.2
150000,内蒙古自治区,2010,333,38118,40.9,19.1,18.6
150000,内蒙古自治区,2009,311,33951,32.1,14.3,15.3
150000,内蒙古自治区,2008,306,32745,28.9,13.5,13.8
150000,内蒙古自治区,2007,206,27382,19.8,9.0,9.8
150000,内蒙古自治区,2006,195,25796,17.4,8.1,8.1
150000,内蒙古自治区,2005,166,21390,13.2,6.0,6.5
150000,内蒙古自治区,2004,147,19014,11.72926,5.28651,5.37381
150000,内蒙古自治区,2003,,,,,
150000,内蒙古自治区,2002,,,,,
150000,内蒙古自治区,2001,,,,,
150000,内蒙古自治区,2000,,,,,
210000,辽宁省,2019,482,35408,70.3258,35.8654,22.337
210000,辽宁省,2018,425,37078,70.7,35.0,23.5
210000,辽宁省,2017,451,38837,68.2763,33.9846,24.7004
210000,辽宁省,2016,472,42983,75.7255,37.2789,29.295
210000,辽宁省,2015,528,47769,97.7617,44.4725,42.7519
210000,辽宁省,2014,579,51982,103.9368,48.0576,45.071
210000,辽宁省,2013,593,56719,106.87364,47.67551,49.11266
210000,辽宁省,2012,557,60584,108.0,48.6,48.2
210000,辽宁省,2011,558,58972,104.4,51.7,41.6
210000,辽宁省,2010,523,58637,85.4,40.2,36.7
210000,辽宁省,2009,475,55568,72.5,34.6,30.7
210000,辽宁省,2008,509,59911,75.9,36.5,31.3
210000,辽宁省,2007,389,56393,61.2,29.9,24.1
210000,辽宁省,2006,369,51455,53.1,26.1,20.6
210000,辽宁省,2005,354,51193,47.6,23.8,17.3
210000,辽宁省,2004,370,47942,41.03343,20.31415,15.80049
210000,辽宁省,2003,,,,,
210000,辽宁省,2002,,,,,
210000,辽宁省,2001,,,,,
210000,辽宁省,2000,,,,,
220000,吉林省,2019,210,17539,28.6585,15.196,10.063
220000,吉林省,2018,211,17996,27.8,14.6,10.4
220000,吉林省,2017,201,17402,29.7094,15.5545,11.3594
220000,吉林省,2016,204,17354,31.9575,15.7281,13.3703
220000,吉林省,2015,182,17478,31.5207,14.4879,13.6392
220000,吉林省,2014,185,19132,28.9707,13.1796,12.996
220000,吉林省,2013,183,20261,34.87966,15.18203,16.40274
220000,吉林省,2012,198,22392,36.6,15.8,17.4
220000,吉林省,2011,200,22726,30.1,13.8,13.5
220000,吉林省,2010,229,23350,27.1,11.7,12.9
220000,吉林省,2009,223,22993,23.9,10.5,11.1
220000,吉林省,2008,236,23470,23.4,10.0,11.2
220000,吉林省,2007,180,23309,18.8,8.3,8.4
220000,吉林省,2006,169,23377,17.3,7.6,7.6
220000,吉林省,2005,168,23287,15.1,6.8,6.5
220000,吉林省,2004,167,22038,14.63131,6.68645,6.28302
220000,吉林省,2003,,,,,
220000,吉林省,2002,,,,,
220000,吉林省,2001,,,,,
220000,吉林省,2000,,,,,
230000,黑龙江省,2019,197,15241,23.4721,13.2017,6.7955
230000,黑龙江省,2018,191,16145,25.8,14.1,8.0
230000,黑龙江省,2017,209,17543,31.2949,17.5919,9.941
230000,黑龙江省,2016,224,18221,33.9143,18.5723,11.3492
230000,黑龙江省,2015,227,19428,35.4613,19.4152,12.1451
230000,黑龙江省,2014,227,20011,32.9372,18.1187,11.2057
230000,黑龙江省,2013,236,22072,34.07251,18.80796,11.8887
230000,黑龙江省,2012,242,24901,35.1,19.1,12.9
230000,黑龙江省,2011,247,25926,32.3,18.5,11.3
230000,黑龙江省,2010,242,26098,28.4,15.2,10.9
230000,黑龙江省,2009,206,24582,24.8,12.3,10.5
230000,黑龙江省,2008,202,22637,19.5,11.0,6.9
230000,黑龙江省,2007,187,21656,15.5,8.6,5.6
230000,黑龙江省,2006,185,21601,14.4,7.7,5.2
230000,黑龙江省,2005,177,21064,13.0,7.3,4.0
230000,黑龙江省,2004,200,22783,13.98956,7.71964,4.82811
230000,黑龙江省,2003,,,,,
230000,黑龙江省,2002,,,,,
230000,黑龙江省,2001,,,,,
230000,黑龙江省,2000,,,,,
310000,上海市,2019,1017,78190,337.0711,198.7179,77.0807
310000,上海市,2018,762,72581,301.5,170.7,71.9
310000,上海市,2017,721,73135,289.9291,163.1149,71.3736
310000,上海市,2016,730,75790,283.8439,152.9345,70.7501
310000,上海市,2015,739,76934,263.8633,141.0174,70.3706
310000,上海市,2014,747,80363,254.9952,132.0963,70.2201
310000,上海市,2013,669,81402,251.36178,145.69141,68.95613
310000,上海市,2012,610,82482,210.3,105.7,70.1
310000,上海市,2011,648,85520,195.3,99.9,67.1
310000,上海市,2010,577,87962,220.4,126.5,65.6
310000,上海市,2009,565,87111,158.1,80.9,53.0
310000,上海市,2008,633,91409,168.9,93.9,51.6
310000,上海市,2007,266,71802,158.5,87.2,45.9
310000,上海市,2006,273,71150,145.7,80.2,45.4
310000,上海市,2005,300,78888,152.7,85.5,43.6
310000,上海市,2004,318,67883,109.52219,62.21928,30.68015
310000,上海市,2003,,,,,
310000,上海市,2002,,,,,
310000,上海市,2001,,,,,
310000,上海市,2000,,,,,
320000,江苏省,2019,1208,100463,241.6878,118.2508,100.5034
320000,江苏省,2018,1075,101285,249.1,115.1,105.4
320000,江苏省,2017,1047,102728,245.3657,111.1697,106.618
320000,江苏省,2016,1061,106801,228.1634,100.9111,103.1375
320000,江苏省,2015,1057,109120,218.6699,96.5442,99.4089
320000,江苏省,2014,1026,110425,208.5656,89.8294,95.8902
320000,江苏省,2013,1042,118483,211.58968,87.04328,98.69662
320000,江苏省,2012,935,128454,223.3,86.2,110.1
320000,江苏省,2011,940,157563,213.8,83.3,105.0
320000,江苏省,2010,906,123186,186.2,76.4,90.3
320000,江苏省,2009,916,120352,156.3,65.3,73.2
320000,江苏省,2008,1026,126825,167.4,76.6,72.6
320000,江苏省,2007,794,119441,146.5,61.8,67.1
320000,江苏省,2006,628,92170,104.9,48.9,44.1
320000,江苏省,2005,512,81768,86.1,41.4,33.9
320000,江苏省,2004,464,70999,71.2915,33.71061,29.52625
320000,江苏省,2003,,,,,
320000,江苏省,2002,,,,,
320000,江苏省,2001,,,,,
320000,江苏省,2000,,,,,
330000,浙江省,2019,1651,140846,363.3453,179.3406,145.4554
330000,浙江省,2018,1394,133318,335.7,161.8,139.6
330000,浙江省,2017,1320,130660,325.0476,168.4887,128.1662
330000,浙江省,2016,1278,131827,292.9557,134.8542,131.5433
330000,浙江省,2015,1277,134407,284.8427,127.9113,124.0812
330000,浙江省,2014,1273,138360,280.0271,124.3548,127.212
330000,浙江省,2013,1288,145708,275.93917,119.45327,128.09875
330000,浙江省,2012,1216,155799,301.6,121.5,150.9
330000,浙江省,2011,1222,161204,291.9,120.5,143.9
330000,浙江省,2010,1158,165091,258.6,107.6,126.6
330000,浙江省,2009,1123,156138,207.7,88.7,101.5
330000,浙江省,2008,1158,156414,206.3,89.7,100.8
330000,浙江省,2007,902,139175,175.9,73.2,83.9
330000,浙江省,2006,897,137114,154.5,65.8,72.7
330000,浙江省,2005,829,120702,128.6,57.7,57.5
330000,浙江省,2004,818,61601,130.91256,52.88896,51.15951
330000,浙江省,2003,,,,,
330000,浙江省,2002,,,,,
330000,浙江省,2001,,,,,
330000,浙江省,2000,,,,,
340000,安徽省,2019,680,50778,97.9862,45.2277,40.238
340000,安徽省,2018,562,41534,75.1,38.3,30.5
340000,安徽省,2017,548,42406,71.5038,34.7359,30.4435
340000,安徽省,2016,577,46386,74.9458,36.013,33.1585
340000,安徽省,2015,597,49562,72.5529,34.0917,32.9793
340000,安徽省,2014,579,51334,70.7502,32.7708,32.2251
340000,安徽省,2013,542,51127,68.24712,30.42516,31.03456
340000,安徽省,2012,487,54394,72.0,31.1,33.3
340000,安徽省,2011,459,53408,67.2,29.6,31.2
340000,安徽省,2010,428,50842,54.7,23.7,25.0
340000,安徽省,2009,373,46419,43.7,18.7,20.2
340000,安徽省,2008,383,46570,40.6,17.7,18.5
340000,安徽省,2007,307,35781,28.0,13.3,11.8
340000,安徽省,2006,311,34453,24.6,11.8,10.0
340000,安徽省,2005,295,33018,21.7,10.4,8.5
340000,安徽省,2004,307,32749,21.02884,10.17474,8.32061
340000,安徽省,2003,,,,,
340000,安徽省,2002,,,,,
340000,安徽省,2001,,,,,
340000,安徽省,2000,,,,,
350000,福建省,2019,1152,95477,281.6174,119.5404,139.5947
350000,福建省,2018,967,87983,240.7,101.2,118.7
350000,福建省,2017,885,84864,203.0524,85.1073,88.9379
350000,福建省,2016,876,85592,176.2513,75.0264,77.4599
350000,福建省,2015,849,87463,168.1925,71.4288,76.1851
350000,福建省,2014,809,88728,153.1695,67.2494,67.733
350000,福建省,2013,741,87469,147.2776,61.7381,65.11937
350000,福建省,2012,682,88566,141.8,58.6,66.4
350000,福建省,2011,606,81573,120.3,50.5,55.9
350000,福建省,2010,521,76651,94.2,38.9,44.4
350000,福建省,2009,467,73264,78.3,32.3,37.1
350000,福建省,2008,456,70115,74.1,31.3,35.5
350000,福建省,2007,379,58685,59.7,25.2,28.8
350000,福建省,2006,380,56131,50.5,21.8,23.9
350000,福建省,2005,360,53422,43.1,18.7,19.8
350000,福建省,2004,368,48251,38.72203,16.95606,16.81139
350000,福建省,2003,,,,,
350000,福建省,2002,,,,,
350000,福建省,2001,,,,,
350000,福建省,2000,,,,,
360000,江西省,2019,684,42503,84.5635,45.6232,32.0873
360000,江西省,2018,597,41024,78.1,41.5,30.5
360000,江西省,2017,524,41356,69.7811,35.9448,28.2735
360000,江西省,2016,474,41469,64.6583,32.8813,26.5969
360000,江西省,2015,438,41345,59.7444,30.2371,24.3988
360000,江西省,2014,399,40963,52.6594,27.2228,20.7414
360000,江西省,2013,378,41114,49.36419,25.72906,19.09973
360000,江西省,2012,373,43499,53.8,26.5,22.1
360000,江西省,2011,372,42644,48.8,25.4,18.7
360000,江西省,2010,380,41874,42.3,22.4,15.9
360000,江西省,2009,288,34596,29.1,15.5,10.6
360000,江西省,2008,298,35302,31.6,15.3,12.8
360000,江西省,2007,276,33494,21.1,11.1,7.7
360000,江西省,2006,239,27241,17.4,9.3,6.0
360000,江西省,2005,219,26740,14.7,8.1,4.9
360000,江西省,2004,238,24762,14.15853,7.66963,4.85847
360000,江西省,2003,,,,,
360000,江西省,2002,,,,,
360000,江西省,2001,,,,,
360000,江西省,2000,,,,,
370000,山东省,2019,1089,91292,170.9746,85.257,67.6836
370000,山东省,2018,1099,91517,170.9,85.3,67.5
370000,山东省,2017,1119,102384,213.2053,102.8601,91.7744
370000,山东省,2016,1081,100924,227.8061,101.7482,105.9385
370000,山东省,2015,1089,103207,219.0546,96.8478,102.9261
370000,山东省,2014,1086,104981,211.4358,91.6591,100.4249
370000,山东省,2013,1108,117079,217.70306,91.71085,105.01034
370000,山东省,2012,1021,121082,211.3,82.4,107.8
370000,山东省,2011,962,117969,188.2,83.1,84.8
370000,山东省,2010,997,121488,164.9,65.7,80.9
370000,山东省,2009,888,109290,126.1,48.1,64.1
370000,山东省,2008,864,105580,122.8,47.1,60.7
370000,山东省,2007,558,92061,94.1,37.4,44.6
370000,山东省,2006,493,85909,84.1,34.8,38.7
370000,山东省,2005,446,76407,66.7,28.4,29.6
370000,山东省,2004,384,62508,54.12546,23.12743,24.14178
370000,山东省,2003,,,,,
370000,山东省,2002,,,,,
370000,山东省,2001,,,,,
370000,山东省,2000,,,,,
410000,河南省,2019,1432,87749,138.8308,74.1396,51.2816
410000,河南省,2018,1294,86347,125.1,64.6,48.2
410000,河南省,2017,1414,96593,174.3492,91.5582,68.225
410000,河南省,2016,1454,98416,177.4149,90.255,71.0321
410000,河南省,2015,1293,96603,165.1844,82.626,65.9128
410000,河南省,2014,1153,93692,150.7076,74.3979,61.6665
410000,河南省,2013,1067,96485,141.86708,67.45981,59.22608
410000,河南省,2012,994,98294,141.7,64.4,61.3
410000,河南省,2011,953,93113,122.3,60.9,47.0
410000,河南省,2010,922,94364,98.7,44.7,42.4
410000,河南省,2009,900,92910,85.8,38.9,36.5
410000,河南省,2008,901,90821,77.6,35.1,32.7
410000,河南省,2007,456,76220,54.4,23.5,23.3
410000,河南省,2006,406,69212,45.8,20.1,19.1
410000,河南省,2005,349,58434,37.2,16.7,15.2
410000,河南省,2004,360,53262,34.05542,14.65901,14.70491
410000,河南省,2003,,,,,
410000,河南省,2002,,,,,
410000,河南省,2001,,,,,
410000,河南省,2000,,,,,
420000,湖北省,2019,919,55138,135.2207,77.3782,46.3694
420000,湖北省,2018,865,56547,133.2,72.9,46.6
420000,湖北省,2017,721,55531,117.8122,62.8681,43.6217
420000,湖北省,2016,793,58923,118.2083,60.5333,45.3458
420000,湖北省,2015,812,63914,119.301,60.4834,45.7604
420000,湖北省,2014,844,66286,120.6005,60.0096,48.2244
420000,湖北省,2013,847,70619,123.63456,61.80615,49.50698
420000,湖北省,2012,678,64494,108.9,51.8,45.6
420000,湖北省,2011,567,60436,86.4,45.1,32.1
420000,湖北省,2010,527,60022,63.7,33.0,24.2
420000,湖北省,2009,476,59089,47.8,24.7,18.5
420000,湖北省,2008,457,55578,48.1,24.0,19.5
420000,湖北省,2007,410,48390,38.1,20.0,14.2
420000,湖北省,2006,392,48884,35.1,18.4,12.7
420000,湖北省,2005,378,50427,31.4,16.0,11.8
420000,湖北省,2004,372,47060,27.87724,13.16296,11.0123
420000,湖北省,2003,,,,,
420000,湖北省,2002,,,,,
420000,湖北省,2001,,,,,
420000,湖北省,2000,,,,,
430000,湖南省,2019,1017,73219,171.1965,91.3298,63.9966
430000,湖南省,2018,891,75915,165.6,87.5,62.4
430000,湖南省,2017,794,78188,165.1051,81.1544,67.2738
430000,湖南省,2016,762,80424,155.1994,73.8781,64.5339
430000,湖南省,2015,731,81160,151.2519,72.0772,63.3405
430000,湖南省,2014,714,84240,144.8544,69.0279,60.2256
430000,湖南省,2013,747,92775,149.23129,67.4229,66.2488
430000,湖南省,2012,663,32164,144.8,63.5,66.9
430000,湖南省,2011,653,90788,127.5,59.2,55.9
430000,湖南省,2010,671,87989,104.9,49.6,45.7
430000,湖南省,2009,614,83829,86.3,42.6,35.9
430000,湖南省,2008,662,85189,81.4,39.7,33.4
430000,湖南省,2007,463,77259,54.4,25.5,22.7
430000,湖南省,2006,416,63990,44.6,21.5,18.5
430000,湖南省,2005,397,61082,40.5,19.5,16.0
430000,湖南省,2004,363,48930,36.53947,18.48802,13.78427
430000,湖南省,2003,,,,,
430000,湖南省,2002,,,,,
430000,湖南省,2001,,,,,
430000,湖南省,2000,,,,,
440000,广东省,2019,2815,237909,577.491,322.4832,171.6791
440000,广东省,2018,2366,238480,575.1,300.6,177.7
440000,广东省,2017,2259,245588,561.4948,285.9508,180.5074
440000,广东省,2016,2161,256797,535.9331,271.9885,172.2822
440000,广东省,2015,2088,263851,511.5052,257.3344,167.9594
440000,广东省,2014,2063,272625,501.362,254.9444,166.1845
440000,广东省,2013,2005,296719,480.49804,238.25436,172.06547
440000,广东省,2012,1861,306915,471.1,217.6,187.1
440000,广东省,2011,1731,306866,452.0,207.1,180.1
440000,广东省,2010,1618,302021,398.0,179.9,163.1
440000,广东省,2009,1512,298969,332.3,145.6,135.4
440000,广东省,2008,1487,303514,333.6,150.7,133.1
440000,广东省,2007,1170,262030,273.9,119.1,113.3
440000,广东省,2006,1126,247231,236.3,102.3,97.1
440000,广东省,2005,1042,217658,201.9,90.2,81.4
440000,广东省,2004,912,175808,169.66391,70.89819,69.24407
440000,广东省,2003,,,,,
440000,广东省,2002,,,,,
440000,广东省,2001,,,,,
440000,广东省,2000,,,,,
450000,广西壮族自治区,2019,751,51556,95.6184,58.3767,28.1716
450000,广西壮族自治区,2018,635,49421,85.3,50.3,26.5
450000,广西壮族自治区,2017,560,46720,78.2077,45.972,24.4532
450000,广西壮族自治区,2016,521,45965,69.4084,39.4245,22.2823
450000,广西壮族自治区,2015,510,47146,64.831,36.2106,21.4225
450000,广西壮族自治区,2014,513,49529,61.5265,33.2869,21.2731
450000,广西壮族自治区,2013,499,51005,60.60416,31.32109,21.92939
450000,广西壮族自治区,2012,460,52606,63.2,30.7,25.3
450000,广西壮族自治区,2011,425,50931,57.0,27.4,23.3
450000,广西壮族自治区,2010,389,49576,47.2,23.0,18.8
450000,广西壮族自治区,2009,349,44831,38.8,18.8,15.5
450000,广西壮族自治区,2008,347,42450,35.9,17.8,14.5
450000,广西壮族自治区,2007,309,42285,32.3,16.2,13.1
450000,广西壮族自治区,2006,292,44520,30.3,14.8,12.7
450000,广西壮族自治区,2005,272,42052,25.6,12.9,10.3
450000,广西壮族自治区,2004,254,36658,21.62992,10.65957,9.0202
450000,广西壮族自治区,2003,,,,,
450000,广西壮族自治区,2002,,,,,
450000,广西壮族自治区,2001,,,,,
450000,广西壮族自治区,2000,,,,,
460000,海南省,2019,327,53840,130.1059,80.3813,36.4751
460000,海南省,2018,256,52166,122.2,77.0,34.9
460000,海南省,2017,253,50264,112.1536,71.1833,32.821
460000,海南省,2016,255,52344,101.9892,63.2699,30.7437
460000,海南省,2015,252,54146,101.4627,62.8959,30.3001
460000,海南省,2014,259,54889,97.3348,60.3762,29.0217
460000,海南省,2013,264,56643,94.00323,58.88569,27.39577
460000,海南省,2012,265,56910,91.2,56.6,27.8
460000,海南省,2011,286,63183,95.5,59.7,27.9
460000,海南省,2010,311,56088,76.7,47.7,22.9
460000,海南省,2009,266,46955,55.6,34.5,16.1
460000,海南省,2008,224,40570,47.0,29.2,13.8
460000,海南省,2007,281,42871,43.4,26.5,12.4
460000,海南省,2006,254,37597,32.1,18.9,9.8
460000,海南省,2005,254,33233,22.4,13.9,6.7
460000,海南省,2004,260,28964,20.40245,12.96979,5.92614
460000,海南省,2003,,,,,
460000,海南省,2002,,,,,
460000,海南省,2001,,,,,
460000,海南省,2000,,,,,
500000,重庆市,2019,494,35815,94.8512,51.5927,34.6235
500000,重庆市,2018,461,36863,89.1,47.8,32.6
500000,重庆市,2017,457,38045,92.4958,46.8066,35.694
500000,重庆市,2016,459,38752,99.7204,48.306,40.4888
500000,重庆市,2015,402,39356,87.7101,41.9143,36.1488
500000,重庆市,2014,377,40173,77.6991,37.9157,30.5034
500000,重庆市,2013,347,40877,69.69807,32.39,28.65862
500000,重庆市,2012,304,41758,66.3,28.9,29.7
500000,重庆市,2011,298,39786,60.9,27.1,25.7
500000,重庆市,2010,279,39871,51.3,21.4,23.2
500000,重庆市,2009,256,36586,38.7,15.9,18.3
500000,重庆市,2008,257,35393,35.0,14.3,16.0
500000,重庆市,2007,177,33095,27.0,12.1,10.9
500000,重庆市,2006,177,32289,23.1,10.3,9.2
500000,重庆市,2005,150,38089,20.2,9.3,8.1
500000,重庆市,2004,140,23761,17.31785,7.86921,7.45476
500000,重庆市,2003,,,,,
500000,重庆市,2002,,,,,
500000,重庆市,2001,,,,,
500000,重庆市,2000,,,,,
510000,四川省,2019,1344,84410,192.8871,101.4259,72.1076
510000,四川省,2018,1141,80112,171.4,88.5,66.9
510000,四川省,2017,1050,77966,150.9138,77.8093,56.8342
510000,四川省,2016,1008,80209,162.5381,81.8562,63.6521
510000,四川省,2015,954,80131,150.5102,76.0724,57.5911
510000,四川省,2014,964,87439,147.4281,76.0889,54.3778
510000,四川省,2013,948,88799,138.77831,70.6647,52.12498
510000,四川省,2012,899,90268,144.7,76.7,52.2
510000,四川省,2011,840,68898,127.2,66.5,45.2
510000,四川省,2010,654,79094,93.6,47.8,34.6
510000,四川省,2009,555,71180,76.6,38.8,28.1
510000,四川省,2008,561,73289,66.0,32.6,24.4
510000,四川省,2007,387,58861,51.5,26.3,18.1
510000,四川省,2006,351,53867,40.7,21.0,14.2
510000,四川省,2005,333,54606,35.0,18.1,11.9
510000,四川省,2004,322,47479,31.33319,16.62787,10.29256
510000,四川省,2003,,,,,
510000,四川省,2002,,,,,
510000,四川省,2001,,,,,
510000,四川省,2000,,,,,
520000,贵州省,2019,776,41868,79.7097,52.3553,20.0802
520000,贵州省,2018,704,39965,73.4,48.0,19.7
520000,贵州省,2017,635,39227,68.7036,42.7451,20.3891
520000,贵州省,2016,573,34744,60.5919,37.0259,18.1792
520000,贵州省,2015,494,32722,50.8337,30.9655,15.0151
520000,贵州省,2014,464,34125,46.7047,28.5698,14.0101
520000,贵州省,2013,395,32580,41.99182,25.24698,13.121
520000,贵州省,2012,324,31814,35.9,20.3,12.3
520000,贵州省,2011,264,27069,27.5,15.8,9.6
520000,贵州省,2010,234,23289,20.5,11.7,7.4
520000,贵州省,2009,181,20064,16.9,9.6,6.0
520000,贵州省,2008,180,20367,15.7,9.3,5.2
520000,贵州省,2007,164,17179,11.8,6.9,3.8
520000,贵州省,2006,152,16398,10.6,6.3,3.4
520000,贵州省,2005,145,16578,9.0,5.2,3.0
520000,贵州省,2004,116,13036,6.43154,3.65623,2.14915
520000,贵州省,2003,,,,,
520000,贵州省,2002,,,,,
520000,贵州省,2001,,,,,
520000,贵州省,2000,,,,,
530000,云南省,2019,717,54498,98.2868,62.4611,25.1412
530000,云南省,2018,659,55320,97.4,58.8,27.7
530000,云南省,2017,611,55814,96.0156,55.5444,28.2544
530000,云南省,2016,593,57067,88.7329,51.0642,26.0756
530000,云南省,2015,537,56844,80.662,45.0548,23.2026
530000,云南省,2014,553,56998,74.9004,42.2171,21.7583
530000,云南省,2013,566,62517,84.06503,46.2813,23.34935
530000,云南省,2012,513,59150,78.2,42.8,23.6
530000,云南省,2011,478,54223,63.7,35.0,20.3
530000,云南省,2010,423,52233,50.6,27.2,15.4
530000,云南省,2009,373,46830,39.9,21.7,13.1
530000,云南省,2008,359,45050,36.2,19.6,11.8
530000,云南省,2007,518,48171,33.9,19.3,10.7
530000,云南省,2006,534,47234,29.6,16.7,9.3
530000,云南省,2005,501,46414,27.1,15.0,8.5
530000,云南省,2004,513,41646,23.61867,12.98658,7.35779
530000,云南省,2003,,,,,
530000,云南省,2002,,,,,
530000,云南省,2001,,,,,
530000,云南省,2000,,,,,
540000,西藏自治区,2019,79,5077,8.9421,5.6716,2.1133
540000,西藏自治区,2018,71,5158,9.0,5.6,2.1
540000,西藏自治区,2017,68,5235,8.8122,5.6594,1.8895
540000,西藏自治区,2016,66,5303,7.8206,4.8714,1.8847
540000,西藏自治区,2015,59,5013,6.8291,4.2416,1.6652
540000,西藏自治区,2014,58,5096,6.4236,3.9839,1.5166
540000,西藏自治区,2013,60,5080,5.95878,3.73484,1.38162
540000,西藏自治区,2012,55,5332,6.1,3.6,1.6
540000,西藏自治区,2011,42,4714,4.8,2.8,1.3
540000,西藏自治区,2010,40,4202,3.9,2.3,1.0
540000,西藏自治区,2009,43,4557,3.3,1.9,1.0
540000,西藏自治区,2008,48,4254,2.6,1.3,0.8
540000,西藏自治区,2007,68,4565,3.6,2.0,1.3
540000,西藏自治区,2006,65,4403,2.4,1.5,0.7
540000,西藏自治区,2005,61,4072,3.0,1.6,0.9
540000,西藏自治区,2004,59,4341,2.94795,1.56208,0.8822
540000,西藏自治区,2003,,,,,
