省份编码,省份,年份,餐饮业企业资产总计(亿元),餐饮业企业流动资产合计(亿元),餐饮业企业固定资产合计(亿元),餐饮业企业负债合计(亿元),餐饮业企业所有者权益合计(亿元)
110000,北京市,2019,552.9307,358.8032,,424.8586,128.0722
110000,北京市,2018,420.8,275.0,42.8,300.3,120.5
110000,北京市,2017,389.6754,246.2826,44.6342,286.7943,102.8811
110000,北京市,2016,398.8686,246.6385,48.7077,321.5668,77.3018
110000,北京市,2015,395.3281,231.5364,57.591,331.6488,63.6794
110000,北京市,2014,426.1019,231.098,60.2484,354.0778,72.024
110000,北京市,2013,422.8501,234.3902,62.0155,353.0995,69.7506
110000,北京市,2012,407.9,222.0,64.2,318.0,89.9
110000,北京市,2011,346.3,190.7,61.1,266.9,79.3
110000,北京市,2010,285.0,158.2,57.0,215.0,69.9
110000,北京市,2009,242.8,126.2,56.2,181.9,60.9
110000,北京市,2008,213.8,101.9,83.6,167.6,46.1
110000,北京市,2007,162.6,78.2,65.7,126.2,36.4
110000,北京市,2006,122.7798,54.9994,55.3935,95.2833,27.4965
110000,北京市,2005,106.0,44.3,31.1,81.5,24.5
110000,北京市,2004,109.07894,43.52004,31.70195,79.87362,29.20532
110000,北京市,2003,62.4,21.9,22.7,42.2,20.3
110000,北京市,2002,58.7217,20.0985,21.6256,40.0771,18.6446
110000,北京市,2001,48.3036,17.7139,15.9247,31.4292,
110000,北京市,2000,50.3933,17.5678,21.1878,31.2625,
120000,天津市,2019,112.1778,51.4209,,82.3396,29.834
120000,天津市,2018,89.3,44.8,23.9,66.4,22.9
120000,天津市,2017,90.0707,47.3098,23.3068,74.7352,15.3052
120000,天津市,2016,105.458,56.3919,25.9826,87.8472,17.6283
120000,天津市,2015,88.8512,43.4715,23.1295,71.0113,17.8398
120000,天津市,2014,90.7109,46.0627,21.4922,70.1651,20.5459
120000,天津市,2013,95.4561,44.7834,27.3876,67.3898,28.0663
120000,天津市,2012,81.9,35.3,23.4,62.7,19.1
120000,天津市,2011,79.6,38.5,20.7,55.5,24.1
120000,天津市,2010,64.3,32.3,15.8,45.0,19.3
120000,天津市,2009,54.0,24.4,13.8,33.8,20.2
120000,天津市,2008,61.3,26.8,29.5,41.7,19.7
120000,天津市,2007,39.6,17.5,17.7,26.5,13.1
120000,天津市,2006,28.9707,13.5071,14.8438,19.6291,9.3416
120000,天津市,2005,30.3,10.7,12.4,19.8,10.5
120000,天津市,2004,32.70941,10.23817,12.76135,21.98499,10.72442
120000,天津市,2003,20.2,6.0,8.2,14.1,6.1
120000,天津市,2002,20.27,5.943,8.019,14.1128,6.1572
120000,天津市,2001,21.6836,6.1965,9.1506,14.2923,
120000,天津市,2000,12.8618,3.3663,6.1448,7.8268,
130000,河北省,2019,111.8377,56.4173,,91.243,20.4303
130000,河北省,2018,89.0,38.1,27.3,74.9,14.1
130000,河北省,2017,79.6504,36.0474,26.6502,65.5399,14.1105
130000,河北省,2016,73.2394,29.5878,20.981,65.822,7.4174
130000,河北省,2015,64.266,28.4725,22.0727,50.9075,13.3586
130000,河北省,2014,61.6683,27.5082,20.745,47.362,14.3063
130000,河北省,2013,67.6647,28.0654,21.1905,49.5021,18.1626
130000,河北省,2012,64.1,28.4,24.4,43.7,20.5
130000,河北省,2011,55.8,23.3,22.8,39.0,16.8
130000,河北省,2010,37.7,15.2,16.4,27.8,9.9
130000,河北省,2009,25.4,9.9,11.8,18.5,6.9
130000,河北省,2008,24.1,10.1,13.6,17.1,7.0
130000,河北省,2007,19.4,7.6,11.0,14.8,4.6
130000,河北省,2006,19.133,6.3219,11.8053,14.5721,4.5609
130000,河北省,2005,15.3,4.4,7.8,10.9,4.4
130000,河北省,2004,11.80002,3.16197,6.73725,8.50419,3.29583
130000,河北省,2003,24.2,5.4,16.4,17.6,6.6
130000,河北省,2002,17.3823,3.4368,11.6932,12.2769,5.1054
