省份编码,省份,年份,餐饮业法人企业数(个),餐饮业企业从业人数(人),餐饮业企业营业额(亿元),餐饮业企业餐费收入(亿元)
110000,北京市,2019,2076,286228,884.1723,819.5625
110000,北京市,2018,1259,261022,722.8,678.5
110000,北京市,2017,1299,253600,651.6567,623.9501
110000,北京市,2016,1324,230226,581.3826,554.891
110000,北京市,2015,1408,228016,540.5914,517.4593
110000,北京市,2014,1873,233974,530.8182,504.8761
110000,北京市,2013,1822,233518,520.72139,499.06067
110000,北京市,2012,1963,248833,543.5,519.3
110000,北京市,2011,2091,224433,480.5,458.6
110000,北京市,2010,2137,217658,394.7,378.0
110000,北京市,2009,2264,210386,341.7,326.1
110000,北京市,2008,2171,201171,319.3,303.1
110000,北京市,2007,1647,178181,229.7,214.9
110000,北京市,2006,1261,144679,168.9,158.6
110000,北京市,2005,1255,144128,149.2,139.0
110000,北京市,2004,1414,156867,151.68997,141.2647
110000,北京市,2003,362,54387,,
110000,北京市,2002,409,56937,,
110000,北京市,2001,323,42060,,
110000,北京市,2000,392,47896,,
120000,天津市,2019,483,62480,128.8369,114.707
120000,天津市,2018,345,49368,107.3,96.5
120000,天津市,2017,351,39400,97.0088,86.8822
120000,天津市,2016,388,42276,97.8933,88.2434
120000,天津市,2015,378,42866,96.6984,88.9502
120000,天津市,2014,400,53130,96.8062,89.6825
120000,天津市,2013,423,57577,103.62103,96.20589
120000,天津市,2012,398,59281,100.0,94.1
120000,天津市,2011,414,58772,91.8,86.2
120000,天津市,2010,391,55836,76.2,71.7
120000,天津市,2009,361,45384,62.6,59.9
120000,天津市,2008,393,47028,63.0,60.2
120000,天津市,2007,263,34482,48.0,44.1
120000,天津市,2006,180,25963,34.7,31.7
120000,天津市,2005,178,24956,29.6,26.8
120000,天津市,2004,204,29170,30.62726,27.3932
120000,天津市,2003,107,18576,,
120000,天津市,2002,108,17014,,
120000,天津市,2001,129,16567,,
120000,天津市,2000,76,9152,,
130000,河北省,2019,468,30697,52.2638,39.6237
130000,河北省,2018,442,29781,45.8,33.7
130000,河北省,2017,429,32554,42.2069,33.1219
130000,河北省,2016,423,29894,37.286,28.6691
130000,河北省,2015,440,31005,35.8115,28.1595
130000,河北省,2014,467,35216,40.2254,31.9478
130000,河北省,2013,467,40007,45.20877,37.31378
130000,河北省,2012,451,45845,54.4,45.4
130000,河北省,2011,411,43624,45.9,38.6
130000,河北省,2010,358,38532,36.4,31.1
130000,河北省,2009,265,31000,26.5,22.9
130000,河北省,2008,251,31259,28.5,24.8
130000,河北省,2007,165,27283,23.2,20.0
130000,河北省,2006,163,23361,19.2,16.7
130000,河北省,2005,133,18836,13.7,12.3
130000,河北省,2004,116,20726,10.03073,8.74158
130000,河北省,2003,97,17160,,
130000,河北省,2002,83,12834,,
130000,河北省,2001,76,11756,,
130000,河北省,2000,55,9930,,
140000,山西省,2019,471,40078,59.6851,48.6689
140000,山西省,2018,442,38834,55.7,44.6
140000,山西省,2017,397,39508,50.2147,38.9008
140000,山西省,2016,450,42122,48.6705,37.5578
140000,山西省,2015,469,46488,47.7896,36.9321
140000,山西省,2014,506,54955,56.6306,43.1473
140000,山西省,2013,568,67599,75.00465,56.97414
140000,山西省,2012,582,78526,99.7,79.1
140000,山西省,2011,498,65247,81.0,65.2
140000,山西省,2010,490,63391,68.3,54.8
140000,山西省,2009,311,45919,44.9,37.2
140000,山西省,2008,317,47460,45.1,37.4
140000,山西省,2007,211,34027,30.5,26.4
140000,山西省,2006,172,28751,23.7,20.2
140000,山西省,2005,156,27665,19.2,15.9
140000,山西省,2004,159,27338,17.8404,15.95501
140000,山西省,2003,108,21777,,
140000,山西省,2002,93,21763,,
140000,山西省,2001,68,16174,,
140000,山西省,2000,47,8190,,
150000,内蒙古自治区,2019,239,23038,54.3414,45.3587
150000,内蒙古自治区,2018,281,25772,51.2,41.7
150000,内蒙古自治区,2017,326,26404,48.8025,38.9707
150000,内蒙古自治区,2016,369,28336,56.5647,44.8025
150000,内蒙古自治区,2015,377,29301,53.1136,41.9006
150000,内蒙古自治区,2014,387,30310,51.8437,42.3616
150000,内蒙古自治区,2013,427,36128,65.54386,55.31337
150000,内蒙古自治区,2012,436,39729,55.8,44.4
150000,内蒙古自治区,2011,430,38204,52.7,42.8
150000,内蒙古自治区,2010,454,38966,46.5,39.4
150000,内蒙古自治区,2009,404,36874,41.1,34.9
150000,内蒙古自治区,2008,419,34869,32.8,26.1
150000,内蒙古自治区,2007,291,33338,23.7,19.5
150000,内蒙古自治区,2006,268,24023,17.4,15.0
150000,内蒙古自治区,2005,209,18324,11.8,10.2
150000,内蒙古自治区,2004,179,15838,7.42373,6.46561
150000,内蒙古自治区,2003,141,13787,,
150000,内蒙古自治区,2002,104,13537,,
150000,内蒙古自治区,2001,49,5147,,
150000,内蒙古自治区,2000,35,4144,,
210000,辽宁省,2019,340,33869,112.4848,104.9707
210000,辽宁省,2018,304,28156,103.7,96.5
