省份编码,省份,年份,连锁餐饮企业总店数(个),连锁餐饮企业门店总数(个),连锁餐饮企业年末从业人数(万人),连锁餐饮企业年末餐饮营业面积(万平方米),连锁餐饮企业餐位数(万个),连锁餐饮企业营业额(亿元),连锁餐饮企业商品购进总额(亿元),连锁餐饮企业统一配送商品购进额(亿元)
150000,内蒙古自治区,2014,7,213,0.4427,10.9657,3.3166,13.7322,8.609,0.9854
150000,内蒙古自治区,2013,7,320,0.6254,16.458,3.943,16.2561,7.8196,0.8851
150000,内蒙古自治区,2012,7,314,0.6023,16.0282,2.239,15.0932,7.0494,0.9028
150000,内蒙古自治区,2011,5,714,4.948,39.5151,13.7354,11.0659,10.4403,9.7865
150000,内蒙古自治区,2010,,1153,7.94,62.23,19.45,49.16,55.84,35.51
150000,内蒙古自治区,2009,,1067,7.865,58.8744,17.2799,119.9948,49.9317,35.4997
150000,内蒙古自治区,2008,,1239,9.1745,66.0188,11.5112,116.61616,40.00475,26.38927
150000,内蒙古自治区,2007,,1052,8.8363,57.6601,61.1635,,39.6536,14.7203
150000,内蒙古自治区,2006,,178,10.8791,65.266,109.4205,,53.1466,22.5621
150000,内蒙古自治区,2005,,,,,,,,
150000,内蒙古自治区,2004,,,,,,,,
150000,内蒙古自治区,2003,,,,,,,,
150000,内蒙古自治区,2002,,,,,,,,
150000,内蒙古自治区,2001,,,,,,,,
150000,内蒙古自治区,2000,,,,,,,,
210000,辽宁省,2019,13,996,1.6097,35.5648,12.7657,65.808,58.1396,52.8466
210000,辽宁省,2018,13,952,1.1787,32.1552,10.1736,61.2337,55.1973,49.6195
210000,辽宁省,2017,11,730,1.0171,27.5851,8.6129,57.7117,49.6804,45.1353
210000,辽宁省,2016,12,715,1.0016,26.0234,8.1559,57.1423,52.5037,45.9
210000,辽宁省,2015,12,706,1.0239,26.6499,8.0633,58.4583,48.7002,42.3544
210000,辽宁省,2014,13,706,1.0558,26.9763,7.9372,59.7254,42.1758,36.2713
210000,辽宁省,2013,11,643,1.0437,26.9643,7.9947,56.6958,43.321,35.106
210000,辽宁省,2012,12,459,1.2741,17.7153,7.1781,60.9692,30.394,23.7125
210000,辽宁省,2011,8,402,2.9011,12.3649,6.2128,51.2202,27.1269,21.5049
210000,辽宁省,2010,,394,1.55,15.83,7.99,38.48,32.49,28.67
210000,辽宁省,2009,,362,0.7768,16.56,8.0388,34.1921,14.5003,14.5002
210000,辽宁省,2008,,338,2.37,16.2905,4.9379,29.45441,10.05965,10.03026
210000,辽宁省,2007,,282,1.4172,6.3526,2.3206,,9.934,7.934
210000,辽宁省,2006,,256,0.51,4.0226,1.8013,,3.8517,3.8517
210000,辽宁省,2005,,,,,,,,
210000,辽宁省,2004,,,,,,,,
210000,辽宁省,2003,,,,,,,,
210000,辽宁省,2002,,,,,,,,
210000,辽宁省,2001,,,,,,,,
210000,辽宁省,2000,,,,,,,,
220000,吉林省,2019,,,,,,,,
220000,吉林省,2018,1,16,0.018,0.7914,0.2552,0.5418,0.1638,0.1531
220000,吉林省,2017,1,19,0.045,0.9004,0.2452,0.5931,0.182,0.1456
220000,吉林省,2016,1,18,0.0626,0.9595,0.3393,0.6964,0.2545,0.2036
220000,吉林省,2015,1,23,0.08,1.2946,0.3998,0.8612,0.3875,0.3875
220000,吉林省,2014,1,23,0.0822,1.2946,0.3998,0.9335,0.4201,0.4201
220000,吉林省,2013,1,23,0.095,1.3071,0.4323,0.9685,0.4253,0.4253
220000,吉林省,2012,1,19,0.0671,1.1678,0.3588,0.889,0.3904,0.3904
220000,吉林省,2011,1,14,0.0603,0.774,0.2461,0.6363,0.45,
220000,吉林省,2010,,14,0.04,0.63,0.2,0.44,0.36,0.36
220000,吉林省,2009,,2,0.0025,0.15,0.012,0.0206,0.0155,
220000,吉林省,2008,,2,,0.018,,0.02935,0.01938,
220000,吉林省,2007,,11,0.07,1.85,0.208,,0.2233,0.2233
220000,吉林省,2006,,57,,,,,,
220000,吉林省,2005,,,,,,,,
220000,吉林省,2004,,,,,,,,
220000,吉林省,2003,,,,,,,,
220000,吉林省,2002,,,,,,,,
220000,吉林省,2001,,,,,,,,
220000,吉林省,2000,,,,,,,,
230000,黑龙江省,2019,4,79,0.2111,2.8708,0.88,3.92,1.3592,1.1979
230000,黑龙江省,2018,4,71,0.1818,2.7158,0.8107,3.3887,1.3021,1.2091
230000,黑龙江省,2017,5,65,0.157,2.7563,0.8271,3.638,0.9162,0.8184
230000,黑龙江省,2016,7,66,0.1905,3.1152,1.0597,3.33,0.9131,0.828
230000,黑龙江省,2015,7,67,0.2104,3.1862,1.1338,3.7155,1.6498,1.5764
230000,黑龙江省,2014,7,68,0.3064,3.5154,1.2457,3.6638,1.5892,1.5279
230000,黑龙江省,2013,7,75,0.2561,4.0516,1.5989,3.775,1.6119,1.5301
230000,黑龙江省,2012,8,74,0.2641,4.1115,1.519,3.6246,1.4633,1.3538
230000,黑龙江省,2011,8,69,0.281,3.8674,1.3073,3.5365,1.6395,1.4745
230000,黑龙江省,2010,,69,0.31,5.18,1.6,3.61,1.41,1.12
230000,黑龙江省,2009,,54,0.2306,4.9694,1.3431,2.7968,1.1151,0.8951
230000,黑龙江省,2008,,53,0.2198,4.7692,1.3138,2.78728,1.18588,1.05588
230000,黑龙江省,2007,,24,0.1478,1.19,0.6199,,0.562,0.5146
230000,黑龙江省,2006,,84,0.1502,0.7839,0.4074,,0.2648,0.2648
230000,黑龙江省,2005,,,,,,,,
230000,黑龙江省,2004,,,,,,,,
230000,黑龙江省,2003,,,,,,,,
230000,黑龙江省,2002,,,,,,,,
230000,黑龙江省,2001,,,,,,,,
230000,黑龙江省,2000,,,,,,,,
310000,上海市,2019,63,7008,15.9237,174.8282,48.8852,399.2483,107.0441,62.6911
310000,上海市,2018,56,6202,14.5082,147.636,43.5035,333.4798,84.9514,52.0593
310000,上海市,2017,38,3888,7.7042,126.5239,36.9317,245.523,78.8239,60.7674
310000,上海市,2016,38,3603,7.4869,103.4608,33.383,222.5223,71.5648,58.4442
310000,上海市,2015,28,3127,6.7539,89.6805,30.0187,191.2711,61.2837,49.1824
310000,上海市,2014,28,2685,6.589,75.1192,22.4008,165.0447,51.1558,43.6689
310000,上海市,2013,17,2037,6.3231,59.6769,18.4799,139.342,41.8219,36.5698
310000,上海市,2012,18,1787,5.8639,54.754,15.1566,126.8234,41.249,36.4099
310000,上海市,2011,22,1616,5.99,49.1721,14.4047,112.7778,36.3805,32.2884
310000,上海市,2010,,1773,6.79,42.24,19.68,104.18,32.96,19.65
310000,上海市,2009,,1312,5.219,38.4392,17.5154,70.821,27.9162,23.6942
310000,上海市,2008,,1167,5.3341,31.5927,12.2934,68.41828,13.83559,13.83045
310000,上海市,2007,,732,4.3892,26.6407,10.3507,,14.2424,13.4585
310000,上海市,2006,,757,3.5332,26.2176,5.8942,,5.1113,5.0901
310000,上海市,2005,,,,,,,,
310000,上海市,2004,,,,,,,,
310000,上海市,2003,,,,,,,,
310000,上海市,2002,,,,,,,,
310000,上海市,2001,,,,,,,,
310000,上海市,2000,,,,,,,,
320000,江苏省,2019,18,1798,5.5587,52.2059,16.8225,122.3009,59.4309,23.5591
320000,江苏省,2018,20,1707,5.6026,51.5744,16.7479,109.0492,49.3842,24.2766
320000,江苏省,2017,21,1598,4.7556,50.2824,16.3396,101.5687,33.0123,30.3276
320000,江苏省,2016,21,1527,4.5889,49.1181,15.9964,93.6687,38.1991,36.0673
320000,江苏省,2015,22,1491,4.5415,49.7092,16.0836,91.3405,34.1517,31.639
320000,江苏省,2014,22,1460,7.2127,48.5393,16.1056,96.6662,34.3364,32.0735
320000,江苏省,2013,21,1428,6.5318,47.5927,15.6986,89.5843,35.2131,33.5229
320000,江苏省,2012,21,1333,6.3,45.5717,14.6531,91.7737,45.1344,43.2899
320000,江苏省,2011,20,1259,6.416,42.4231,13.8466,82.372,36.4125,34.3883
320000,江苏省,2010,,1065,4.85,38.82,12.89,64.06,24.99,22.03
320000,江苏省,2009,,920,4.1985,32.0394,11.4959,52.8851,24.7425,22.9063
320000,江苏省,2008,,881,3.8425,31.3031,11.4215,51.89652,22.29359,20.51996
320000,江苏省,2007,,1269,3.3737,27.5335,8.903,,14.7123,13.7623
320000,江苏省,2006,,1355,2.6807,17.7817,6.6774,,12.0294,10.8075
320000,江苏省,2005,,,,,,,,
320000,江苏省,2004,,,,,,,,
320000,江苏省,2003,,,,,,,,
320000,江苏省,2002,,,,,,,,
320000,江苏省,2001,,,,,,,,
320000,江苏省,2000,,,,,,,,
330000,浙江省,2019,31,2028,4.8602,68.2975,22.0779,137.9116,44.6508,34.5161
330000,浙江省,2018,28,2074,4.8683,66.5948,21.6053,120.8249,43.7015,39.5617
330000,浙江省,2017,26,1940,4.6227,68.9816,21.9555,107.61,39.3984,37.0139
330000,浙江省,2016,26,1741,4.1552,76.9588,23.0086,98.2448,34.0092,32.3977
330000,浙江省,2015,30,1736,4.2721,81.8695,22.9089,93.7147,33.0792,31.2358
330000,浙江省,2014,28,1728,5.2662,94.3419,26.2549,94.0632,34.1706,32.1089
330000,浙江省,2013,29,1588,5.1766,94.7203,24.6786,89.7574,35.2329,29.5869
330000,浙江省,2012,30,1457,6.9802,89.0363,22.9169,95.562,37.946,34.3308
330000,浙江省,2011,32,1426,6.9592,87.3111,23.6117,97.1876,39.9914,32.4284
330000,浙江省,2010,,1289,5.17,87.03,22.23,85.09,32.81,29.92
330000,浙江省,2009,,1180,4.471,77.4585,20.69,75.8371,25.0644,22.4684
330000,浙江省,2008,,865,4.0659,66.103,16.774,57.79265,27.05883,26.96834
330000,浙江省,2007,,755,3.6073,44.5688,14.0464,,15.1011,12.0054
330000,浙江省,2006,,659,2.9291,32.495,11.0242,,12.7806,10.1456
330000,浙江省,2005,,,,,,,,
330000,浙江省,2004,,,,,,,,
330000,浙江省,2003,,,,,,,,
330000,浙江省,2002,,,,,,,,
330000,浙江省,2001,,,,,,,,
330000,浙江省,2000,,,,,,,,
340000,安徽省,2019,8,738,1.6686,19.8731,5.8386,33.0448,9.9117,9.7717
340000,安徽省,2018,8,855,1.9825,38.052,7.9254,26.2693,8.2176,8.0769
340000,安徽省,2017,8,747,1.3528,35.8703,6.5103,21.0543,6.9561,6.8503
340000,安徽省,2016,9,690,1.2445,40.514,6.798,18.4926,7.0298,6.8895
340000,安徽省,2015,9,650,1.2321,40.5222,6.8237,16.5776,6.227,5.9363
340000,安徽省,2014,9,583,1.2457,46.396,7.0922,15.5792,8.0028,7.3572
340000,安徽省,2013,9,439,1.1511,39.0434,6.0446,12.7024,5.9996,4.4495
340000,安徽省,2012,9,365,1.0203,40.859,5.9725,11.901,4.6021,3.0669
340000,安徽省,2011,8,256,0.9474,42.5771,6.0017,10.1539,4.2315,3.0913
340000,安徽省,2010,,186,0.83,26.14,5.06,7.77,3.58,3.32
340000,安徽省,2009,,144,0.6569,25.2572,4.6496,6.6666,2.6537,1.245
340000,安徽省,2008,,111,0.4023,10.9768,2.6232,4.87015,0.67727,0.51733
340000,安徽省,2007,,109,0.6624,16.966,2.5095,,2.0111,0.9809
340000,安徽省,2006,,284,0.6193,15.4523,2.1309,,1.4776,0.9595
340000,安徽省,2005,,,,,,,,
340000,安徽省,2004,,,,,,,,
340000,安徽省,2003,,,,,,,,
340000,安徽省,2002,,,,,,,,
340000,安徽省,2001,,,,,,,,
340000,安徽省,2000,,,,,,,,
350000,福建省,2019,23,821,2.971,25.3243,7.4853,45.7069,15.5526,11.6753
350000,福建省,2018,23,732,2.6767,21.9551,6.8412,38.4033,14.0181,11.4704
350000,福建省,2017,25,703,2.2398,20.6763,5.3741,34.8167,13.7735,11.686
350000,福建省,2016,12,567,2.1599,15.9177,4.6888,27.0986,11.9446,11.4021
350000,福建省,2015,12,548,1.6561,15.4342,4.368,22.4629,12.171,11.5725
350000,福建省,2014,14,786,2.0172,22.36,7.6538,30.8964,19.1251,13.7582
350000,福建省,2013,16,1043,3.3523,28.4342,11.247,56.648,20.8308,16.6242
350000,福建省,2012,15,952,3.2407,25.0779,9.2082,49.1733,19.6097,15.3699
350000,福建省,2011,14,812,2.8188,18.654,7.6328,39.1144,15.2229,10.9528
350000,福建省,2010,,764,2.63,18.07,7.45,37.78,10.95,8.26
350000,福建省,2009,,789,2.4085,16.5512,6.8663,28.8309,8.9859,6.4479
350000,福建省,2008,,315,1.2261,10.6469,3.4146,25.55181,2.27888,2.27888
350000,福建省,2007,,535,1.5367,13.4537,6.2521,,4.1744,3.6588
350000,福建省,2006,,279,1.3278,13.3292,6.4516,,4.1476,2.7454
350000,福建省,2005,,,,,,,,
350000,福建省,2004,,,,,,,,
350000,福建省,2003,,,,,,,,
350000,福建省,2002,,,,,,,,
350000,福建省,2001,,,,,,,,
350000,福建省,2000,,,,,,,,
360000,江西省,2019,4,177,0.3832,6.0644,2.0002,11.3333,7.0515,6.8894
360000,江西省,2018,4,167,0.7523,6.1583,1.9856,10.201,6.3489,6.1463
360000,江西省,2017,5,151,0.678,6.2183,0.6606,9.3107,4.4007,4.1982
360000,江西省,2016,6,133,0.7081,6.4393,2.0398,8.5723,3.9562,3.7313
360000,江西省,2015,7,113,0.6196,5.9033,1.8958,8.2908,4.2679,3.7118
360000,江西省,2014,8,112,0.4316,7.3342,2.2962,8.8001,4.4409,3.981
360000,江西省,2013,8,87,0.8336,7.6153,2.3894,8.0604,4.2171,3.5682
360000,江西省,2012,9,79,0.7845,7.4787,2.225,8.7131,4.2591,3.6716
360000,江西省,2011,9,78,0.7387,7.4129,1.8249,8.0008,5.9141,5.1879
360000,江西省,2010,,69,0.35,4.55,1.83,5.56,2.38,2.02
360000,江西省,2009,,68,0.5035,4.4572,1.8569,4.9795,4.4283,3.851
360000,江西省,2008,,65,0.381,3.7389,1.6742,4.4001,1.60878,1.43559
360000,江西省,2007,,51,0.408,4.5352,1.3233,,2.0781,1.2897
360000,江西省,2006,,107,0.357,4.1205,1.2458,,1.7462,1.0805
360000,江西省,2005,,,,,,,,
360000,江西省,2004,,,,,,,,
360000,江西省,2003,,,,,,,,
360000,江西省,2002,,,,,,,,
360000,江西省,2001,,,,,,,,
360000,江西省,2000,,,,,,,,
370000,山东省,2019,17,749,2.2422,43.1758,11.0805,68.5536,17.9129,15.6822
370000,山东省,2018,16,680,2.2935,38.0599,8.9216,60.4736,15.3583,13.8352
370000,山东省,2017,17,646,1.9537,38.0539,9.0115,53.6944,16.7559,14.2948
370000,山东省,2016,16,579,1.9045,36.9867,8.887,45.8926,15.5069,13.2397
370000,山东省,2015,12,466,1.7328,25.0472,7.174,43.1617,13.6815,12.5643
370000,山东省,2014,10,438,2.1147,19.9291,5.6216,30.1445,14.2482,13.7149
370000,山东省,2013,10,432,2.1756,17.4323,5.2878,30.8641,17.4166,15.4467
370000,山东省,2012,11,390,0.6847,14.6684,6.4914,28.6473,14.526,13.9368
370000,山东省,2011,18,180,1.9037,18.5366,4.4962,29.0545,6.7929,1.0766
370000,山东省,2010,,290,1.68,14.46,4.58,21.91,6.26,5.62
370000,山东省,2009,,274,1.4475,12.8394,4.6575,21.2288,5.6549,4.8109
370000,山东省,2008,,266,1.168,17.6895,12.6001,19.18798,5.7094,1.04869
370000,山东省,2007,,457,1.8015,26.4107,13.1978,,14.6051,14.1001
370000,山东省,2006,,572,1.9168,29.902,12.2193,,9.1088,8.0526
370000,山东省,2005,,,,,,,,
370000,山东省,2004,,,,,,,,
370000,山东省,2003,,,,,,,,
370000,山东省,2002,,,,,,,,
370000,山东省,2001,,,,,,,,
370000,山东省,2000,,,,,,,,
410000,河南省,2019,14,273,0.7333,8.7082,4.6424,13.7868,4.6632,3.3335
410000,河南省,2018,14,240,0.6797,6.8548,4.1982,11.3962,2.9132,2.6674
410000,河南省,2017,16,217,0.6634,6.6326,2.9879,11.044,5.4753,4.9635
410000,河南省,2016,19,214,0.6802,7.5226,3.1516,10.6047,4.3424,3.9033
410000,河南省,2015,19,205,0.7104,9.7449,3.262,10.582,5.186,3.9584
410000,河南省,2014,20,210,0.6831,11.4353,2.9838,11.2613,5.8282,4.2621
410000,河南省,2013,21,207,0.6594,11.4094,3.0438,11.5709,6.2235,4.5427
410000,河南省,2012,20,206,0.8154,8.6716,2.9754,11.4006,6.0831,4.3189
410000,河南省,2011,21,180,0.8401,9.9785,3.4142,10.3791,5.439,3.6394
410000,河南省,2010,,183,0.71,9.24,3.38,8.58,3.37,3.24
410000,河南省,2009,,164,0.6108,6.9136,3.2386,7.5785,3.0352,2.3489
410000,河南省,2008,,138,0.2839,6.1963,2.0462,1.19103,0.44857,0.44542
410000,河南省,2007,,504,0.6018,8.0571,3.1288,,4.095,2.709
410000,河南省,2006,,469,0.247,3.8275,1.4934,,1.1235,0.6902
410000,河南省,2005,,,,,,,,
410000,河南省,2004,,,,,,,,
410000,河南省,2003,,,,,,,,
410000,河南省,2002,,,,,,,,
410000,河南省,2001,,,,,,,,
410000,河南省,2000,,,,,,,,
420000,湖北省,2019,34,1601,3.3624,50.4014,13.6229,90.8131,27.3959,22.0087
420000,湖北省,2018,38,1354,4.3847,59.7659,13.6125,80.9225,25.8164,21.3393
420000,湖北省,2017,34,1089,5.0458,56.9438,15.0208,69.6812,20.4723,17.9371
420000,湖北省,2016,30,906,4.4287,54.7748,14.4696,62.1901,15.6392,12.7811
420000,湖北省,2015,30,784,3.6231,36.4819,13.5518,55.3872,10.8762,9.0401
420000,湖北省,2014,34,649,3.6821,47.4239,15.2993,54.2732,11.2674,10.1777
420000,湖北省,2013,29,544,3.3506,46.0241,15.3501,49.9336,21.3626,19.7736
420000,湖北省,2012,30,498,3.315,45.6076,15.4226,49.2566,26.9307,24.954
420000,湖北省,2011,31,360,2.6052,31.899,10.5639,41.5347,25.7339,23.9751
420000,湖北省,2010,,310,2.34,29.06,9.12,32.76,19.72,18.81
420000,湖北省,2009,,284,2.0922,29.5586,9.1287,30.3838,12.0618,0.008
420000,湖北省,2008,,263,2.4846,29.294,8.206,29.19539,,
420000,湖北省,2007,,221,2.5715,25.4543,7.6333,,0.0994,0.0994
420000,湖北省,2006,,303,2.081,25.9779,7.3091,,0.3422,0.2671
420000,湖北省,2005,,,,,,,,
420000,湖北省,2004,,,,,,,,
420000,湖北省,2003,,,,,,,,
420000,湖北省,2002,,,,,,,,
420000,湖北省,2001,,,,,,,,
420000,湖北省,2000,,,,,,,,
430000,湖南省,2019,18,1023,4.1948,53.6753,22.8315,56.5998,18.607,16.1012
430000,湖南省,2018,19,978,4.1495,53.856,23.2591,57.7913,18.5986,15.0198
430000,湖南省,2017,21,1133,4.7149,64.7327,26.1729,61.3838,20.6367,13.7804
430000,湖南省,2016,21,1101,4.2451,61.8825,24.6749,59.2909,18.927,12.7159
430000,湖南省,2015,21,844,3.8741,56.3751,22.9962,52.8369,18.0413,11.6287
430000,湖南省,2014,13,621,3.3384,44.166,18.0889,38.0372,13.594,1.3543
430000,湖南省,2013,10,377,2.5206,24.357,10.0325,24.5398,11.2257,1.1097
430000,湖南省,2012,12,350,2.3397,23.7252,9.4692,20.7639,3.9305,0.6451
430000,湖南省,2011,11,195,0.9601,10.4872,3.17,15.872,13.076,11.7429
430000,湖南省,2010,,160,0.7,8.1,2.26,12.37,10.73,9.65
430000,湖南省,2009,,153,0.9803,8.2704,2.336,9.3316,7.2447,6.4649
430000,湖南省,2008,,137,0.8877,9.6379,2.3185,10.56988,0.95112,0.88992
430000,湖南省,2007,,50,0.2627,3.0876,1.014,,2.7431,2.7431
430000,湖南省,2006,,216,0.5616,4.5367,1.7049,,2.1682,2.1682
430000,湖南省,2005,,,,,,,,
430000,湖南省,2004,,,,,,,,
430000,湖南省,2003,,,,,,,,
430000,湖南省,2002,,,,,,,,
430000,湖南省,2001,,,,,,,,
430000,湖南省,2000,,,,,,,,
440000,广东省,2019,79,5774,15.4053,172.4095,43.6948,364.3463,114.4016,92.821
440000,广东省,2018,69,4532,12.4022,144.2471,41.6483,285.6109,84.1621,74.0211
440000,广东省,2017,67,4158,10.8983,134.5741,39.1256,267.5806,77.0962,70.0587
440000,广东省,2016,70,3984,10.5259,113.4612,40.8824,259.8237,91.356,84.8339
440000,广东省,2015,73,3706,9.8765,102.6774,39.4791,247.3813,85.3229,79.6603
440000,广东省,2014,78,3403,11.7156,104.3446,38.5122,221.1181,74.6625,67.9235
440000,广东省,2013,84,3216,12.2252,95.9984,36.2785,207.8582,68.7141,62.2618
440000,广东省,2012,90,2792,12.7172,92.0726,33.3599,201.1367,73.7653,68.5722
440000,广东省,2011,58,2210,10.9176,75.7641,29.2224,156.0166,60.4849,56.2643
440000,广东省,2010,,1990,8.07,71.42,26.71,133.82,52.36,38.67
440000,广东省,2009,,1840,8.0988,69.0167,24.4667,111.3481,44.7315,35.3444
440000,广东省,2008,,1820,9.0015,69.4188,34.6403,109.19154,39.17309,31.40256
440000,广东省,2007,,1263,6.0166,49.9408,33.2755,,31.8448,24.1679
440000,广东省,2006,,1159,5.856,48.6623,15.9525,,27.0891,17.639
440000,广东省,2005,,,,,,,,
440000,广东省,2004,,,,,,,,
440000,广东省,2003,,,,,,,,
440000,广东省,2002,,,,,,,,
440000,广东省,2001,,,,,,,,
440000,广东省,2000,,,,,,,,
450000,广西壮族自治区,2019,4,381,1.0057,7.8719,2.4684,16.5625,4.533,4.533
450000,广西壮族自治区,2018,4,317,0.966,7.1302,2.2127,13.6085,3.1332,3.1332
450000,广西壮族自治区,2017,3,247,0.8733,5.8791,2.2575,12.5321,5.297,5.297
