年份,外商及港澳台商投资工业企业销售费用,煤炭采选业外商及港澳台商投资工业企业销售费用,石油和天然气开采业外商及港澳台商投资工业企业销售费用,黑色金属矿采选业外商及港澳台商投资工业企业销售费用,有色金属矿采选业外商及港澳台商投资工业企业销售费用,非金属矿采选业外商及港澳台商投资工业企业销售费用,其他矿采选业外商及港澳台商投资工业企业销售费用,木材及竹材采运业外商及港澳台商投资工业企业销售费用,食品加工业外商及港澳台商投资工业企业销售费用,食品制造业外商及港澳台商投资工业企业销售费用,饮料制造业外商及港澳台商投资工业企业销售费用,烟草加工业外商及港澳台商投资工业企业销售费用,纺织业外商及港澳台商投资工业企业销售费用,服装及其他纤维制品制造业外商及港澳台商投资工业企业销售费用,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业销售费用,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业销售费用,家具制造业外商及港澳台商投资工业企业销售费用,造纸及纸制品业外商及港澳台商投资工业企业销售费用,印刷业、记录媒介的复制外商及港澳台商投资工业企业销售费用,文教体育用品制造业外商及港澳台商投资工业企业销售费用,石油加工及炼焦业外商及港澳台商投资工业企业销售费用,化学原料及化学制品制造业外商及港澳台商投资工业企业销售费用,医药制造业外商及港澳台商投资工业企业销售费用,化学纤维制造业外商及港澳台商投资工业企业销售费用,橡胶制品业外商及港澳台商投资工业企业销售费用,塑料制品业外商及港澳台商投资工业企业销售费用,非金属矿物制造业外商及港澳台商投资工业企业销售费用,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业销售费用,有色金属冶炼及压延加工业外商及港澳台商投资工业企业销售费用,金属制品业外商及港澳台商投资工业企业销售费用,普通机械制造业外商及港澳台商投资工业企业销售费用,专用设备制造业外商及港澳台商投资工业企业销售费用,交通运输设备制造业外商及港澳台商投资工业企业销售费用,电气机械及器材制造业外商及港澳台商投资工业企业销售费用,电子及通信设备制造业外商及港澳台商投资工业企业销售费用,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业销售费用,其它制造业外商及港澳台商投资工业企业销售费用,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业销售费用,煤气生产和供应业外商及港澳台商投资工业企业销售费用,自来水的生产和供应业外商及港澳台商投资工业企业销售费用
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,1434.04339,10.17586,0.08702,0.06955,0.30072,1.75061,,,41.4044,107.2057,107.48574,0.58359,27.89944,44.94349,19.48018,9.01978,10.18244,30.65869,6.92602,13.42324,14.36682,167.67587,111.31146,4.95762,19.09655,30.79361,40.65987,8.57809,5.87054,46.28585,43.85083,28.43354,80.65762,110.90674,243.3385,23.06687,18.19887,2.86313,1.24987,0.22056
2001,1235.54143,8.06071,0.10587,0.07357,0.1784,2.10055,,,34.06119,89.92836,99.64885,0.24978,25.42304,41.54377,18.10042,8.73866,8.9842,28.67772,6.59557,9.99377,11.12835,141.44902,97.02455,4.04511,15.96894,29.81764,36.76048,7.55832,5.08815,45.86064,34.04638,21.2042,54.97834,100.63043,203.86009,19.91648,18.98395,3.62908,1.07712,0.04973
2000,1044.83643,0.50508,0.00099,0.03223,0.20761,1.76823,,,30.65353,75.03546,91.01349,0.20804,23.4502,38.41654,15.1359,8.38618,7.67517,21.88457,5.30111,10.67907,8.21341,114.19013,83.12651,5.93039,12.308,24.38023,31.95049,5.07159,4.96984,37.04599,28.9114,16.62049,51.98999,88.9672,164.43336,14.24468,18.3026,2.70484,1.08557,0.03632
