年份,外商及港澳台商投资工业企业所有者权益合计,煤炭采选业外商及港澳台商投资工业企业所有者权益合计,石油和天然气开采业外商及港澳台商投资工业企业所有者权益合计,黑色金属矿采选业外商及港澳台商投资工业企业所有者权益合计,有色金属矿采选业外商及港澳台商投资工业企业所有者权益合计,非金属矿采选业外商及港澳台商投资工业企业所有者权益合计,其他矿采选业外商及港澳台商投资工业企业所有者权益合计,木材及竹材采运业外商及港澳台商投资工业企业所有者权益合计,食品加工业外商及港澳台商投资工业企业所有者权益合计,食品制造业外商及港澳台商投资工业企业所有者权益合计,饮料制造业外商及港澳台商投资工业企业所有者权益合计,烟草加工业外商及港澳台商投资工业企业所有者权益合计,纺织业外商及港澳台商投资工业企业所有者权益合计,服装及其他纤维制品制造业外商及港澳台商投资工业企业所有者权益合计,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业所有者权益合计,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业所有者权益合计,家具制造业外商及港澳台商投资工业企业所有者权益合计,造纸及纸制品业外商及港澳台商投资工业企业所有者权益合计,印刷业、记录媒介的复制外商及港澳台商投资工业企业所有者权益合计,文教体育用品制造业外商及港澳台商投资工业企业所有者权益合计,石油加工及炼焦业外商及港澳台商投资工业企业所有者权益合计,化学原料及化学制品制造业外商及港澳台商投资工业企业所有者权益合计,医药制造业外商及港澳台商投资工业企业所有者权益合计,化学纤维制造业外商及港澳台商投资工业企业所有者权益合计,橡胶制品业外商及港澳台商投资工业企业所有者权益合计,塑料制品业外商及港澳台商投资工业企业所有者权益合计,非金属矿物制造业外商及港澳台商投资工业企业所有者权益合计,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业所有者权益合计,有色金属冶炼及压延加工业外商及港澳台商投资工业企业所有者权益合计,金属制品业外商及港澳台商投资工业企业所有者权益合计,普通机械制造业外商及港澳台商投资工业企业所有者权益合计,专用设备制造业外商及港澳台商投资工业企业所有者权益合计,交通运输设备制造业外商及港澳台商投资工业企业所有者权益合计,电气机械及器材制造业外商及港澳台商投资工业企业所有者权益合计,电子及通信设备制造业外商及港澳台商投资工业企业所有者权益合计,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业所有者权益合计,其它制造业外商及港澳台商投资工业企业所有者权益合计,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业所有者权益合计,煤气生产和供应业外商及港澳台商投资工业企业所有者权益合计,自来水的生产和供应业外商及港澳台商投资工业企业所有者权益合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,14359.94,11.64496,93.96721,0.96992,1.11137,8.88883,,,326.84364,352.82619,371.27977,8.3728,674.09456,426.79781,242.89678,106.63451,95.50589,397.17267,195.20801,186.9579,230.54358,819.48563,314.61997,171.03421,210.42385,574.51036,639.02278,219.48922,167.76623,533.61022,593.49107,272.24407,1253.39297,857.99983,2197.77278,235.48882,212.83925,1285.27628,25.38392,43.16105
2001,12794.29,11.99229,96.46639,0.81352,1.52407,9.0962,,,274.15227,310.6375,370.37175,12.52648,589.28848,380.64898,196.63048,110.51094,82.57739,366.22322,183.57907,165.24922,201.421,752.24136,274.64805,147.56136,170.25269,509.20637,593.40105,206.63857,117.9314,493.33907,543.54156,220.2949,1075.69621,811.8815,1962.88916,187.92547,186.78726,1139.43873,18.1475,18.75727
2000,11054.36,1.43537,31.77956,0.46358,0.89067,9.77871,0.1147,,253.1825,285.51284,329.30093,7.68024,496.78411,355.37248,178.2362,93.44974,67.90716,332.53563,146.24836,144.08692,57.31243,645.4301,255.32935,282.09848,156.11809,419.69355,556.88226,160.82735,132.54268,415.38093,464.06278,185.06937,941.77852,667.57612,1693.26064,161.71142,154.69288,940.64637,17.39873,11.78651
