年份,外商及港澳台商投资工业企业财务费用,煤炭采选业外商及港澳台商投资工业企业财务费用,石油和天然气开采业外商及港澳台商投资工业企业财务费用,黑色金属矿采选业外商及港澳台商投资工业企业财务费用,有色金属矿采选业外商及港澳台商投资工业企业财务费用,非金属矿采选业外商及港澳台商投资工业企业财务费用,其他矿采选业外商及港澳台商投资工业企业财务费用,木材及竹材采运业外商及港澳台商投资工业企业财务费用,食品加工业外商及港澳台商投资工业企业财务费用,食品制造业外商及港澳台商投资工业企业财务费用,饮料制造业外商及港澳台商投资工业企业财务费用,烟草加工业外商及港澳台商投资工业企业财务费用,纺织业外商及港澳台商投资工业企业财务费用,服装及其他纤维制品制造业外商及港澳台商投资工业企业财务费用,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业财务费用,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业财务费用,家具制造业外商及港澳台商投资工业企业财务费用,造纸及纸制品业外商及港澳台商投资工业企业财务费用,印刷业、记录媒介的复制外商及港澳台商投资工业企业财务费用,文教体育用品制造业外商及港澳台商投资工业企业财务费用,石油加工及炼焦业外商及港澳台商投资工业企业财务费用,化学原料及化学制品制造业外商及港澳台商投资工业企业财务费用,医药制造业外商及港澳台商投资工业企业财务费用,化学纤维制造业外商及港澳台商投资工业企业财务费用,橡胶制品业外商及港澳台商投资工业企业财务费用,塑料制品业外商及港澳台商投资工业企业财务费用,非金属矿物制造业外商及港澳台商投资工业企业财务费用,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业财务费用,有色金属冶炼及压延加工业外商及港澳台商投资工业企业财务费用,金属制品业外商及港澳台商投资工业企业财务费用,普通机械制造业外商及港澳台商投资工业企业财务费用,专用设备制造业外商及港澳台商投资工业企业财务费用,交通运输设备制造业外商及港澳台商投资工业企业财务费用,电气机械及器材制造业外商及港澳台商投资工业企业财务费用,电子及通信设备制造业外商及港澳台商投资工业企业财务费用,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业财务费用,其它制造业外商及港澳台商投资工业企业财务费用,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业财务费用,煤气生产和供应业外商及港澳台商投资工业企业财务费用,自来水的生产和供应业外商及港澳台商投资工业企业财务费用
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,390.62326,0.41875,0.86478,0.01365,0.07813,0.17002,,,13.96104,9.73634,6.85871,0.10628,19.40644,9.18855,6.53275,4.84236,2.25312,21.27613,3.68878,2.67678,7.38825,20.57184,9.23072,6.33114,7.93972,12.45717,17.61243,8.74678,7.25409,13.55867,9.87003,5.10171,18.23977,20.59373,47.6793,2.19566,2.5095,69.44988,0.88628,0.70592
2001,378.39986,0.40257,1.41759,0.01196,0.13392,0.27485,,,12.44877,7.47975,6.83421,0.07136,19.1122,9.91032,6.74508,4.95144,2.13731,19.26198,3.54524,2.85758,6.65091,21.02114,8.15948,5.556,8.6854,12.4868,17.82102,8.47994,6.12077,14.93807,10.10769,3.42158,23.79537,23.63662,36.31343,1.30401,3.38933,67.68288,0.43282,0.80047
2000,393.60872,0.09593,0.03768,0.00768,0.14722,0.30751,0.04736,,13.83307,8.29275,9.62364,0.11438,21.06686,10.66205,7.25985,5.39551,2.75062,17.39453,3.42569,2.77505,5.5096,21.69064,7.9707,9.93097,8.88203,12.33877,20.83388,6.42025,7.41067,16.39814,9.68126,4.31151,29.67895,21.92035,35.75284,1.42908,3.7809,65.43826,0.62347,0.36907
