年份,外商及港澳台商投资工业企业累计折旧,煤炭采选业外商及港澳台商投资工业企业累计折旧,石油和天然气开采业外商及港澳台商投资工业企业累计折旧,黑色金属矿采选业外商及港澳台商投资工业企业累计折旧,有色金属矿采选业外商及港澳台商投资工业企业累计折旧,非金属矿采选业外商及港澳台商投资工业企业累计折旧,其他矿采选业外商及港澳台商投资工业企业累计折旧,木材及竹材采运业外商及港澳台商投资工业企业累计折旧,食品加工业外商及港澳台商投资工业企业累计折旧,食品制造业外商及港澳台商投资工业企业累计折旧,饮料制造业外商及港澳台商投资工业企业累计折旧,烟草加工业外商及港澳台商投资工业企业累计折旧,纺织业外商及港澳台商投资工业企业累计折旧,服装及其他纤维制品制造业外商及港澳台商投资工业企业累计折旧,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业累计折旧,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业累计折旧,家具制造业外商及港澳台商投资工业企业累计折旧,造纸及纸制品业外商及港澳台商投资工业企业累计折旧,印刷业、记录媒介的复制外商及港澳台商投资工业企业累计折旧,文教体育用品制造业外商及港澳台商投资工业企业累计折旧,石油加工及炼焦业外商及港澳台商投资工业企业累计折旧,化学原料及化学制品制造业外商及港澳台商投资工业企业累计折旧,医药制造业外商及港澳台商投资工业企业累计折旧,化学纤维制造业外商及港澳台商投资工业企业累计折旧,橡胶制品业外商及港澳台商投资工业企业累计折旧,塑料制品业外商及港澳台商投资工业企业累计折旧,非金属矿物制造业外商及港澳台商投资工业企业累计折旧,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业累计折旧,有色金属冶炼及压延加工业外商及港澳台商投资工业企业累计折旧,金属制品业外商及港澳台商投资工业企业累计折旧,普通机械制造业外商及港澳台商投资工业企业累计折旧,专用设备制造业外商及港澳台商投资工业企业累计折旧,交通运输设备制造业外商及港澳台商投资工业企业累计折旧,电气机械及器材制造业外商及港澳台商投资工业企业累计折旧,电子及通信设备制造业外商及港澳台商投资工业企业累计折旧,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业累计折旧,其它制造业外商及港澳台商投资工业企业累计折旧,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业累计折旧,煤气生产和供应业外商及港澳台商投资工业企业累计折旧,自来水的生产和供应业外商及港澳台商投资工业企业累计折旧
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,6520.35569,3.26966,0.06082,0.39468,0.5632,4.00251,,,156.67942,169.51866,201.84401,4.825,334.4358,154.56349,88.17787,47.8643,32.04786,163.60773,89.28784,65.39601,157.40713,314.92421,90.90341,96.33366,92.00265,249.46304,311.09304,91.62599,57.05321,222.27625,210.82199,81.52772,453.19624,337.45617,864.99526,75.99738,62.11063,1216.10504,8.29674,9.05063
2001,5417.91407,2.56351,0.05564,0.26505,0.57883,3.19075,,,129.04805,141.91155,173.78848,5.80401,293.79183,136.27377,81.01546,42.64721,25.68435,126.38896,98.50192,52.62834,137.15227,270.22235,71.69213,73.45677,77.42673,207.87218,270.11536,90.1364,47.79207,187.12382,165.23828,68.39196,340.69088,297.35753,662.04258,61.48713,49.94368,1017.57925,4.84165,3.21334
2000,4372.48924,0.34606,0.00592,0.13484,0.38608,2.9128,0.0341,,112.73804,117.83617,140.57445,3.61514,241.24048,119.806,66.87599,36.97786,20.25843,93.64989,58.09489,45.58813,23.99269,204.82991,59.14028,160.50854,66.74235,166.24258,229.68233,61.22118,43.07918,153.00398,132.89702,54.30622,273.7024,237.79947,513.3107,50.17492,42.63058,831.6854,4.51845,1.94579
