年份,外商及港澳台商投资工业企业营业利润,煤炭采选业外商及港澳台商投资工业企业营业利润,石油和天然气开采业外商及港澳台商投资工业企业营业利润,黑色金属矿采选业外商及港澳台商投资工业企业营业利润,有色金属矿采选业外商及港澳台商投资工业企业营业利润,非金属矿采选业外商及港澳台商投资工业企业营业利润,其他矿采选业外商及港澳台商投资工业企业营业利润,木材及竹材采运业外商及港澳台商投资工业企业营业利润,食品加工业外商及港澳台商投资工业企业营业利润,食品制造业外商及港澳台商投资工业企业营业利润,饮料制造业外商及港澳台商投资工业企业营业利润,烟草加工业外商及港澳台商投资工业企业营业利润,纺织业外商及港澳台商投资工业企业营业利润,服装及其他纤维制品制造业外商及港澳台商投资工业企业营业利润,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业营业利润,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业营业利润,家具制造业外商及港澳台商投资工业企业营业利润,造纸及纸制品业外商及港澳台商投资工业企业营业利润,印刷业、记录媒介的复制外商及港澳台商投资工业企业营业利润,文教体育用品制造业外商及港澳台商投资工业企业营业利润,石油加工及炼焦业外商及港澳台商投资工业企业营业利润,化学原料及化学制品制造业外商及港澳台商投资工业企业营业利润,医药制造业外商及港澳台商投资工业企业营业利润,化学纤维制造业外商及港澳台商投资工业企业营业利润,橡胶制品业外商及港澳台商投资工业企业营业利润,塑料制品业外商及港澳台商投资工业企业营业利润,非金属矿物制造业外商及港澳台商投资工业企业营业利润,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业营业利润,有色金属冶炼及压延加工业外商及港澳台商投资工业企业营业利润,金属制品业外商及港澳台商投资工业企业营业利润,普通机械制造业外商及港澳台商投资工业企业营业利润,专用设备制造业外商及港澳台商投资工业企业营业利润,交通运输设备制造业外商及港澳台商投资工业企业营业利润,电气机械及器材制造业外商及港澳台商投资工业企业营业利润,电子及通信设备制造业外商及港澳台商投资工业企业营业利润,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业营业利润,其它制造业外商及港澳台商投资工业企业营业利润,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业营业利润,煤气生产和供应业外商及港澳台商投资工业企业营业利润,自来水的生产和供应业外商及港澳台商投资工业企业营业利润
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,1850.11952,0.99511,53.76593,0.07013,0.30585,0.65263,,,27.55195,44.14519,36.41878,0.92869,34.01421,44.51426,23.10951,1.56201,9.44379,45.92932,25.06635,14.93325,21.20208,117.54313,46.94711,10.55458,23.34397,48.05631,29.46789,22.54864,9.38078,53.51726,83.49239,49.48967,285.19205,110.69525,348.88461,31.37047,19.86719,172.02043,0.49914,2.79709
2001,1349.70129,0.66554,46.2051,0.12337,0.38248,0.37572,,,17.66788,32.11597,23.86132,1.58985,25.54323,43.09814,16.4189,1.60947,7.38156,22.81484,23.176,12.32738,2.16379,68.61641,37.69645,7.95008,10.06939,43.35178,28.80968,15.28646,3.50465,37.40604,47.54623,31.49261,177.79399,89.3977,298.97467,26.55458,20.30598,126.14512,-0.26206,1.54099
2000,1170.57937,0.20179,39.36113,0.03268,0.15138,1.70293,0.05901,,12.80735,24.83557,16.33776,0.40378,24.90288,38.12843,16.10808,1.75464,3.93166,20.17716,19.1698,11.37932,5.63313,56.192,33.78348,30.06109,0.25942,30.67485,17.69345,12.72014,5.67354,29.52505,38.40754,18.54284,124.62195,72.04131,316.02031,24.2866,13.26887,105.98482,1.16428,2.57935
