年份,外商及港澳台商投资工业企业工业销售产值(现价),煤炭采选业外商及港澳台商投资工业企业工业销售产值(现价),石油和天然气开采业外商及港澳台商投资工业企业工业销售产值(现价),黑色金属矿采选业外商及港澳台商投资工业企业工业销售产值(现价),有色金属矿采选业外商及港澳台商投资工业企业工业销售产值(现价),非金属矿采选业外商及港澳台商投资工业企业工业销售产值(现价),其他矿采选业外商及港澳台商投资工业企业工业销售产值(现价),木材及竹材采运业外商及港澳台商投资工业企业工业销售产值(现价),食品加工业外商及港澳台商投资工业企业工业销售产值(现价),食品制造业外商及港澳台商投资工业企业工业销售产值(现价),饮料制造业外商及港澳台商投资工业企业工业销售产值(现价),烟草加工业外商及港澳台商投资工业企业工业销售产值(现价),纺织业外商及港澳台商投资工业企业工业销售产值(现价),服装及其他纤维制品制造业外商及港澳台商投资工业企业工业销售产值(现价),皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业工业销售产值(现价),木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业工业销售产值(现价),家具制造业外商及港澳台商投资工业企业工业销售产值(现价),造纸及纸制品业外商及港澳台商投资工业企业工业销售产值(现价),印刷业、记录媒介的复制外商及港澳台商投资工业企业工业销售产值(现价),文教体育用品制造业外商及港澳台商投资工业企业工业销售产值(现价),石油加工及炼焦业外商及港澳台商投资工业企业工业销售产值(现价),化学原料及化学制品制造业外商及港澳台商投资工业企业工业销售产值(现价),医药制造业外商及港澳台商投资工业企业工业销售产值(现价),化学纤维制造业外商及港澳台商投资工业企业工业销售产值(现价),橡胶制品业外商及港澳台商投资工业企业工业销售产值(现价),塑料制品业外商及港澳台商投资工业企业工业销售产值(现价),非金属矿物制造业外商及港澳台商投资工业企业工业销售产值(现价),黑色金属冶炼及压延加工业外商及港澳台商投资工业企业工业销售产值(现价),有色金属冶炼及压延加工业外商及港澳台商投资工业企业工业销售产值(现价),金属制品业外商及港澳台商投资工业企业工业销售产值(现价),普通机械制造业外商及港澳台商投资工业企业工业销售产值(现价),专用设备制造业外商及港澳台商投资工业企业工业销售产值(现价),交通运输设备制造业外商及港澳台商投资工业企业工业销售产值(现价),电气机械及器材制造业外商及港澳台商投资工业企业工业销售产值(现价),电子及通信设备制造业外商及港澳台商投资工业企业工业销售产值(现价),仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业工业销售产值(现价),其它制造业外商及港澳台商投资工业企业工业销售产值(现价),电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业工业销售产值(现价),煤气生产和供应业外商及港澳台商投资工业企业工业销售产值(现价),自来水的生产和供应业外商及港澳台商投资工业企业工业销售产值(现价)
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,31902.50932,23.56195,214.40064,2.30544,5.65722,16.75844,,,1156.95001,757.62569,589.72481,9.04362,1369.61695,1290.8664,943.86138,205.55929,243.9796,649.88776,271.63309,453.88236,477.57156,1560.00463,484.36644,282.78384,383.69416,1027.48289,836.67884,486.77664,334.44224,1162.85712,982.02685,530.53751,2631.25197,1989.57192,8158.03072,693.33224,521.95046,1073.78196,63.50623,13.84195
2001,26577.14025,15.73754,208.84983,1.55251,4.73174,15.32029,,,940.08774,636.50925,533.59041,11.84082,1174.65465,1160.47562,835.57904,208.85789,193.91248,565.56518,235.73637,398.23106,416.0543,1311.28351,424.9384,209.89722,303.02107,897.68534,738.27131,460.74535,277.01206,997.7103,757.84121,402.81272,1982.12672,1777.73658,6540.27344,546.05566,447.04729,894.77286,44.50432,6.11817
2000,22933.44988,7.19037,158.48979,1.24235,3.1016,17.07964,1.0916,,840.1998,544.77978,501.29275,7.26446,1058.83588,1084.53932,741.83378,201.09532,161.1864,477.87625,191.99951,358.97744,244.14178,1140.65972,375.14987,428.9611,272.84401,805.6561,626.66741,334.36699,286.33546,945.99045,640.16497,326.12783,1615.55739,1553.95093,5315.66063,488.20669,407.23903,710.61298,49.90549,7.17501
