年份,外商及港澳台商投资工业企业本年应交增值税,煤炭采选业外商及港澳台商投资工业企业本年应交增值税,石油和天然气开采业外商及港澳台商投资工业企业本年应交增值税,黑色金属矿采选业外商及港澳台商投资工业企业本年应交增值税,有色金属矿采选业外商及港澳台商投资工业企业本年应交增值税,非金属矿采选业外商及港澳台商投资工业企业本年应交增值税,其他矿采选业外商及港澳台商投资工业企业本年应交增值税,木材及竹材采运业外商及港澳台商投资工业企业本年应交增值税,食品加工业外商及港澳台商投资工业企业本年应交增值税,食品制造业外商及港澳台商投资工业企业本年应交增值税,饮料制造业外商及港澳台商投资工业企业本年应交增值税,烟草加工业外商及港澳台商投资工业企业本年应交增值税,纺织业外商及港澳台商投资工业企业本年应交增值税,服装及其他纤维制品制造业外商及港澳台商投资工业企业本年应交增值税,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业本年应交增值税,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业本年应交增值税,家具制造业外商及港澳台商投资工业企业本年应交增值税,造纸及纸制品业外商及港澳台商投资工业企业本年应交增值税,印刷业、记录媒介的复制外商及港澳台商投资工业企业本年应交增值税,文教体育用品制造业外商及港澳台商投资工业企业本年应交增值税,石油加工及炼焦业外商及港澳台商投资工业企业本年应交增值税,化学原料及化学制品制造业外商及港澳台商投资工业企业本年应交增值税,医药制造业外商及港澳台商投资工业企业本年应交增值税,化学纤维制造业外商及港澳台商投资工业企业本年应交增值税,橡胶制品业外商及港澳台商投资工业企业本年应交增值税,塑料制品业外商及港澳台商投资工业企业本年应交增值税,非金属矿物制造业外商及港澳台商投资工业企业本年应交增值税,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业本年应交增值税,有色金属冶炼及压延加工业外商及港澳台商投资工业企业本年应交增值税,金属制品业外商及港澳台商投资工业企业本年应交增值税,普通机械制造业外商及港澳台商投资工业企业本年应交增值税,专用设备制造业外商及港澳台商投资工业企业本年应交增值税,交通运输设备制造业外商及港澳台商投资工业企业本年应交增值税,电气机械及器材制造业外商及港澳台商投资工业企业本年应交增值税,电子及通信设备制造业外商及港澳台商投资工业企业本年应交增值税,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业本年应交增值税,其它制造业外商及港澳台商投资工业企业本年应交增值税,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业本年应交增值税,煤气生产和供应业外商及港澳台商投资工业企业本年应交增值税,自来水的生产和供应业外商及港澳台商投资工业企业本年应交增值税
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,960.87,1.22937,6.76399,0.08283,0.12703,0.60355,,,17.4863,38.21114,41.29595,1.08468,25.48997,27.54311,14.55306,5.82031,5.0657,28.29329,12.80206,5.24802,22.12268,74.62865,40.71897,7.82441,12.10236,27.28401,32.69515,17.54066,5.8498,24.65698,35.05536,18.08868,127.62571,49.83497,107.87389,11.15564,9.27933,103.04898,0.96876,0.7861
2001,876.37,1.01882,6.11077,0.07231,0.13291,0.51108,,,15.31784,35.73826,36.65551,1.21566,27.83098,27.96778,17.20852,6.73439,5.04109,23.22166,11.79215,6.41094,18.00679,62.5884,34.52668,7.52692,11.5493,24.92146,29.55106,15.13887,5.59787,26.25447,28.67648,14.2283,92.79738,53.60563,128.92155,10.0671,11.96554,76.53212,0.50013,0.4303
2000,738.88,0.23586,3.98494,0.04427,0.09784,0.43788,0.02209,,14.52169,32.23941,33.9269,0.7218,25.84939,22.53036,11.9824,7.40751,4.55164,18.50846,9.23232,4.6041,6.13389,54.01838,30.13319,17.66584,9.07605,20.15223,28.66392,10.03185,5.27364,21.47798,26.07099,10.87671,78.44536,45.72708,103.30384,9.01976,9.05464,61.99066,0.5192,0.34434
