年份,外商及港澳台商投资工业企业集体资本金,煤炭采选业外商及港澳台商投资工业企业集体资本金,石油和天然气开采业外商及港澳台商投资工业企业集体资本金,黑色金属矿采选业外商及港澳台商投资工业企业集体资本金,有色金属矿采选业外商及港澳台商投资工业企业集体资本金,非金属矿采选业外商及港澳台商投资工业企业集体资本金,其他矿采选业外商及港澳台商投资工业企业集体资本金,木材及竹材采运业外商及港澳台商投资工业企业集体资本金,食品加工业外商及港澳台商投资工业企业集体资本金,食品制造业外商及港澳台商投资工业企业集体资本金,饮料制造业外商及港澳台商投资工业企业集体资本金,烟草加工业外商及港澳台商投资工业企业集体资本金,纺织业外商及港澳台商投资工业企业集体资本金,服装及其他纤维制品制造业外商及港澳台商投资工业企业集体资本金,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业集体资本金,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业集体资本金,家具制造业外商及港澳台商投资工业企业集体资本金,造纸及纸制品业外商及港澳台商投资工业企业集体资本金,印刷业、记录媒介的复制外商及港澳台商投资工业企业集体资本金,文教体育用品制造业外商及港澳台商投资工业企业集体资本金,石油加工及炼焦业外商及港澳台商投资工业企业集体资本金,化学原料及化学制品制造业外商及港澳台商投资工业企业集体资本金,医药制造业外商及港澳台商投资工业企业集体资本金,化学纤维制造业外商及港澳台商投资工业企业集体资本金,橡胶制品业外商及港澳台商投资工业企业集体资本金,塑料制品业外商及港澳台商投资工业企业集体资本金,非金属矿物制造业外商及港澳台商投资工业企业集体资本金,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业集体资本金,有色金属冶炼及压延加工业外商及港澳台商投资工业企业集体资本金,金属制品业外商及港澳台商投资工业企业集体资本金,普通机械制造业外商及港澳台商投资工业企业集体资本金,专用设备制造业外商及港澳台商投资工业企业集体资本金,交通运输设备制造业外商及港澳台商投资工业企业集体资本金,电气机械及器材制造业外商及港澳台商投资工业企业集体资本金,电子及通信设备制造业外商及港澳台商投资工业企业集体资本金,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业集体资本金,其它制造业外商及港澳台商投资工业企业集体资本金,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业集体资本金,煤气生产和供应业外商及港澳台商投资工业企业集体资本金,自来水的生产和供应业外商及港澳台商投资工业企业集体资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,310.83866,0.16498,,0.02136,0.0103,0.77618,,,8.80944,4.65082,8.63072,,27.87918,18.59631,7.0551,3.2714,3.01863,6.6743,9.45823,3.93156,1.59197,23.54613,6.45131,4.02655,3.93912,22.28714,27.62429,6.93209,2.61295,20.08681,8.01625,4.75998,16.89262,26.66124,10.86921,3.1514,4.9048,11.59868,0.8173,1.12031
2001,353.80951,0.64048,,0.012,0.01385,0.67981,,,10.18738,7.29483,7.10235,,29.40442,21.00855,8.81234,4.64611,3.53096,8.11001,8.17365,4.56445,1.35843,25.33394,8.92006,5.11057,3.98491,23.54629,27.23764,6.14422,2.69722,22.81704,8.30464,5.83081,14.42112,31.40126,19.12351,3.51842,3.91825,25.74239,0.2176,
2000,391.0735,0.16344,,0.02321,0.0075,0.75628,0.0113,,9.89968,6.63081,9.79426,,33.25673,21.26008,9.85126,5.06302,4.13566,7.52496,10.15569,5.45865,2.14556,19.50396,6.61745,6.18017,3.683,28.21922,30.27333,10.83773,13.90395,23.28298,10.86643,6.49132,17.50077,34.18368,18.75016,2.17795,5.82409,26.09886,0.35836,0.182
