年份,外商及港澳台商投资工业企业资产总计,煤炭采选业外商及港澳台商投资工业企业资产总计,石油和天然气开采业外商及港澳台商投资工业企业资产总计,黑色金属矿采选业外商及港澳台商投资工业企业资产总计,有色金属矿采选业外商及港澳台商投资工业企业资产总计,非金属矿采选业外商及港澳台商投资工业企业资产总计,其他矿采选业外商及港澳台商投资工业企业资产总计,木材及竹材采运业外商及港澳台商投资工业企业资产总计,食品加工业外商及港澳台商投资工业企业资产总计,食品制造业外商及港澳台商投资工业企业资产总计,饮料制造业外商及港澳台商投资工业企业资产总计,烟草加工业外商及港澳台商投资工业企业资产总计,纺织业外商及港澳台商投资工业企业资产总计,服装及其他纤维制品制造业外商及港澳台商投资工业企业资产总计,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业资产总计,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业资产总计,家具制造业外商及港澳台商投资工业企业资产总计,造纸及纸制品业外商及港澳台商投资工业企业资产总计,印刷业、记录媒介的复制外商及港澳台商投资工业企业资产总计,文教体育用品制造业外商及港澳台商投资工业企业资产总计,石油加工及炼焦业外商及港澳台商投资工业企业资产总计,化学原料及化学制品制造业外商及港澳台商投资工业企业资产总计,医药制造业外商及港澳台商投资工业企业资产总计,化学纤维制造业外商及港澳台商投资工业企业资产总计,橡胶制品业外商及港澳台商投资工业企业资产总计,塑料制品业外商及港澳台商投资工业企业资产总计,非金属矿物制造业外商及港澳台商投资工业企业资产总计,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业资产总计,有色金属冶炼及压延加工业外商及港澳台商投资工业企业资产总计,金属制品业外商及港澳台商投资工业企业资产总计,普通机械制造业外商及港澳台商投资工业企业资产总计,专用设备制造业外商及港澳台商投资工业企业资产总计,交通运输设备制造业外商及港澳台商投资工业企业资产总计,电气机械及器材制造业外商及港澳台商投资工业企业资产总计,电子及通信设备制造业外商及港澳台商投资工业企业资产总计,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业资产总计,其它制造业外商及港澳台商投资工业企业资产总计,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业资产总计,煤气生产和供应业外商及港澳台商投资工业企业资产总计,自来水的生产和供应业外商及港澳台商投资工业企业资产总计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,31513.76,25.7217,104.50398,1.98792,5.74654,19.42019,,,839.48297,775.75758,789.48142,14.13704,1496.25329,925.51108,632.66507,272.92154,217.92904,1021.04783,370.37299,387.06936,457.68175,1691.56535,651.25849,370.99878,487.88959,1166.14069,1383.63865,537.32834,398.91688,1191.93615,1172.2729,567.7997,2445.45376,1831.73412,5618.85227,475.42138,420.98894,2596.09807,64.30755,77.13164
2001,28354.46,24.15985,101.6354,1.35989,5.20722,18.56143,,,732.65533,692.56619,777.17776,17.70694,1343.18291,836.95875,530.67404,273.73902,191.22684,961.65157,387.86723,338.10255,407.85556,1551.51203,580.26674,332.77813,439.33139,1045.05421,1292.46502,505.06204,308.04335,1116.3936,1033.49683,459.79286,2138.48988,1759.7666,4800.35011,374.31157,362.48782,2529.80421,40.66361,42.10486
2000,25714.06,7.72182,35.60659,1.03789,4.00199,20.24334,0.271,,711.12291,635.04497,762.50852,12.91465,1228.46051,797.56298,500.39243,256.32506,166.55091,910.20147,286.44126,307.38642,172.06261,1398.571,529.8095,527.50475,409.91891,925.54552,1270.12322,443.23708,341.46661,999.16036,919.11248,411.65274,1980.78211,1598.64101,4202.17712,355.81558,327.7003,2182.69704,42.94884,31.33529
