年份,外商及港澳台商投资工业企业单位数,煤炭采选业外商及港澳台商投资工业企业单位数,石油和天然气开采业外商及港澳台商投资工业企业单位数,黑色金属矿采选业外商及港澳台商投资工业企业单位数,有色金属矿采选业外商及港澳台商投资工业企业单位数,非金属矿采选业外商及港澳台商投资工业企业单位数,其他矿采选业外商及港澳台商投资工业企业单位数,木材及竹材采运业外商及港澳台商投资工业企业单位数,食品加工业外商及港澳台商投资工业企业单位数,食品制造业外商及港澳台商投资工业企业单位数,饮料制造业外商及港澳台商投资工业企业单位数,烟草加工业外商及港澳台商投资工业企业单位数,纺织业外商及港澳台商投资工业企业单位数,服装及其他纤维制品制造业外商及港澳台商投资工业企业单位数,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业单位数,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业单位数,家具制造业外商及港澳台商投资工业企业单位数,造纸及纸制品业外商及港澳台商投资工业企业单位数,印刷业、记录媒介的复制外商及港澳台商投资工业企业单位数,文教体育用品制造业外商及港澳台商投资工业企业单位数,石油加工及炼焦业外商及港澳台商投资工业企业单位数,化学原料及化学制品制造业外商及港澳台商投资工业企业单位数,医药制造业外商及港澳台商投资工业企业单位数,化学纤维制造业外商及港澳台商投资工业企业单位数,橡胶制品业外商及港澳台商投资工业企业单位数,塑料制品业外商及港澳台商投资工业企业单位数,非金属矿物制造业外商及港澳台商投资工业企业单位数,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业单位数,有色金属冶炼及压延加工业外商及港澳台商投资工业企业单位数,金属制品业外商及港澳台商投资工业企业单位数,普通机械制造业外商及港澳台商投资工业企业单位数,专用设备制造业外商及港澳台商投资工业企业单位数,交通运输设备制造业外商及港澳台商投资工业企业单位数,电气机械及器材制造业外商及港澳台商投资工业企业单位数,电子及通信设备制造业外商及港澳台商投资工业企业单位数,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业单位数,其它制造业外商及港澳台商投资工业企业单位数,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业单位数,煤气生产和供应业外商及港澳台商投资工业企业单位数,自来水的生产和供应业外商及港澳台商投资工业企业单位数
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,34466.0,16.0,2.0,13.0,17.0,78.0,,,1394.0,1005.0,463.0,5.0,2579.0,3690.0,1597.0,631.0,533.0,760.0,539.0,1070.0,108.0,1844.0,604.0,224.0,373.0,2245.0,1652.0,217.0,297.0,2066.0,1333.0,838.0,1134.0,2050.0,2558.0,628.0,1530.0,299.0,49.0,24.0
2001,31423.0,16.0,3.0,9.0,17.0,73.0,,,1244.0,922.0,441.0,6.0,2301.0,3348.0,1406.0,591.0,480.0,740.0,509.0,919.0,106.0,1694.0,568.0,205.0,357.0,2092.0,1553.0,215.0,300.0,1902.0,1191.0,759.0,998.0,1872.0,2311.0,570.0,1364.0,286.0,40.0,15.0
2000,28445.0,11.0,2.0,9.0,14.0,74.0,1.0,,1154.0,867.0,432.0,5.0,2063.0,3061.0,1276.0,545.0,421.0,671.0,460.0,884.0,94.0,1477.0,542.0,212.0,328.0,1888.0,1420.0,189.0,289.0,1637.0,1043.0,658.0,886.0,1666.0,2114.0,504.0,1224.0,276.0,36.0,12.0
