年份,外商及港澳台商投资工业企业主营业务收入,煤炭采选业外商及港澳台商投资工业企业主营业务收入,石油和天然气开采业外商及港澳台商投资工业企业主营业务收入,黑色金属矿采选业外商及港澳台商投资工业企业主营业务收入,有色金属矿采选业外商及港澳台商投资工业企业主营业务收入,非金属矿采选业外商及港澳台商投资工业企业主营业务收入,其他矿采选业外商及港澳台商投资工业企业主营业务收入,木材及竹材采运业外商及港澳台商投资工业企业主营业务收入,食品加工业外商及港澳台商投资工业企业主营业务收入,食品制造业外商及港澳台商投资工业企业主营业务收入,饮料制造业外商及港澳台商投资工业企业主营业务收入,烟草加工业外商及港澳台商投资工业企业主营业务收入,纺织业外商及港澳台商投资工业企业主营业务收入,服装及其他纤维制品制造业外商及港澳台商投资工业企业主营业务收入,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业主营业务收入,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业主营业务收入,家具制造业外商及港澳台商投资工业企业主营业务收入,造纸及纸制品业外商及港澳台商投资工业企业主营业务收入,印刷业、记录媒介的复制外商及港澳台商投资工业企业主营业务收入,文教体育用品制造业外商及港澳台商投资工业企业主营业务收入,石油加工及炼焦业外商及港澳台商投资工业企业主营业务收入,化学原料及化学制品制造业外商及港澳台商投资工业企业主营业务收入,医药制造业外商及港澳台商投资工业企业主营业务收入,化学纤维制造业外商及港澳台商投资工业企业主营业务收入,橡胶制品业外商及港澳台商投资工业企业主营业务收入,塑料制品业外商及港澳台商投资工业企业主营业务收入,非金属矿物制造业外商及港澳台商投资工业企业主营业务收入,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业主营业务收入,有色金属冶炼及压延加工业外商及港澳台商投资工业企业主营业务收入,金属制品业外商及港澳台商投资工业企业主营业务收入,普通机械制造业外商及港澳台商投资工业企业主营业务收入,专用设备制造业外商及港澳台商投资工业企业主营业务收入,交通运输设备制造业外商及港澳台商投资工业企业主营业务收入,电气机械及器材制造业外商及港澳台商投资工业企业主营业务收入,电子及通信设备制造业外商及港澳台商投资工业企业主营业务收入,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业主营业务收入,其它制造业外商及港澳台商投资工业企业主营业务收入,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业主营业务收入,煤气生产和供应业外商及港澳台商投资工业企业主营业务收入,自来水的生产和供应业外商及港澳台商投资工业企业主营业务收入
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,31189.27,21.10595,113.79958,2.16276,5.81807,16.01214,,,1168.74984,744.31862,578.29886,9.34146,1307.66478,1239.62021,891.62895,199.21056,232.66357,645.1489,260.48493,440.10393,483.21691,1546.02439,495.08556,275.72233,375.02454,996.64121,811.68769,488.63681,319.89372,1145.75406,959.08353,532.65097,2615.72512,1929.71538,8099.57652,682.31095,495.59619,955.99774,86.70242,15.22387
2001,26022.08,16.70885,104.51374,1.64025,4.76006,14.97251,,,940.49429,635.4798,527.78518,12.18964,1135.39501,1129.98437,777.07961,200.27569,190.82207,555.87085,234.76707,388.63084,417.94701,1308.95292,422.54648,201.19654,291.82504,897.56525,709.38897,444.66643,267.0514,971.16295,727.56114,407.25137,1961.61244,1723.43773,6565.1048,556.54038,433.24289,788.08957,47.92613,7.63867
2000,22545.74,7.29194,68.48388,1.10423,3.11918,16.43243,0.725,,846.38359,552.17066,489.87554,7.39707,1017.86221,1046.2469,708.97624,203.46965,158.37539,473.73772,191.21467,355.58247,249.6958,1143.62386,365.8314,423.38947,261.76738,791.66018,594.41926,329.69757,282.30901,930.71666,621.846,321.60628,1613.3211,1532.97346,5317.05934,488.35286,395.52023,676.78839,49.60225,7.11105
