年份,外商及港澳台商投资工业企业主营业务税金及附加,煤炭采选业外商及港澳台商投资工业企业主营业务税金及附加,石油和天然气开采业外商及港澳台商投资工业企业主营业务税金及附加,黑色金属矿采选业外商及港澳台商投资工业企业主营业务税金及附加,有色金属矿采选业外商及港澳台商投资工业企业主营业务税金及附加,非金属矿采选业外商及港澳台商投资工业企业主营业务税金及附加,其他矿采选业外商及港澳台商投资工业企业主营业务税金及附加,木材及竹材采运业外商及港澳台商投资工业企业主营业务税金及附加,食品加工业外商及港澳台商投资工业企业主营业务税金及附加,食品制造业外商及港澳台商投资工业企业主营业务税金及附加,饮料制造业外商及港澳台商投资工业企业主营业务税金及附加,烟草加工业外商及港澳台商投资工业企业主营业务税金及附加,纺织业外商及港澳台商投资工业企业主营业务税金及附加,服装及其他纤维制品制造业外商及港澳台商投资工业企业主营业务税金及附加,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业主营业务税金及附加,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业主营业务税金及附加,家具制造业外商及港澳台商投资工业企业主营业务税金及附加,造纸及纸制品业外商及港澳台商投资工业企业主营业务税金及附加,印刷业、记录媒介的复制外商及港澳台商投资工业企业主营业务税金及附加,文教体育用品制造业外商及港澳台商投资工业企业主营业务税金及附加,石油加工及炼焦业外商及港澳台商投资工业企业主营业务税金及附加,化学原料及化学制品制造业外商及港澳台商投资工业企业主营业务税金及附加,医药制造业外商及港澳台商投资工业企业主营业务税金及附加,化学纤维制造业外商及港澳台商投资工业企业主营业务税金及附加,橡胶制品业外商及港澳台商投资工业企业主营业务税金及附加,塑料制品业外商及港澳台商投资工业企业主营业务税金及附加,非金属矿物制造业外商及港澳台商投资工业企业主营业务税金及附加,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业主营业务税金及附加,有色金属冶炼及压延加工业外商及港澳台商投资工业企业主营业务税金及附加,金属制品业外商及港澳台商投资工业企业主营业务税金及附加,普通机械制造业外商及港澳台商投资工业企业主营业务税金及附加,专用设备制造业外商及港澳台商投资工业企业主营业务税金及附加,交通运输设备制造业外商及港澳台商投资工业企业主营业务税金及附加,电气机械及器材制造业外商及港澳台商投资工业企业主营业务税金及附加,电子及通信设备制造业外商及港澳台商投资工业企业主营业务税金及附加,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业主营业务税金及附加,其它制造业外商及港澳台商投资工业企业主营业务税金及附加,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业主营业务税金及附加,煤气生产和供应业外商及港澳台商投资工业企业主营业务税金及附加,自来水的生产和供应业外商及港澳台商投资工业企业主营业务税金及附加
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,151.87,0.15317,6.42179,0.01573,0.01053,0.16344,,,1.52734,1.07537,22.01879,1.91006,2.42465,2.83264,1.57651,0.48146,0.30756,0.66128,0.24753,0.49524,10.49172,10.35696,1.04045,0.42308,6.0356,1.4298,2.48674,0.26571,0.21021,2.0402,1.22982,0.56543,65.25574,1.77811,3.39509,0.4964,1.23947,0.70667,0.07034,0.01851
2001,134.78,0.1336,5.87966,0.014,0.01007,0.14407,,,0.98088,1.51259,21.13283,1.63085,2.21776,2.39592,1.36582,0.67771,0.4771,0.61372,0.19748,0.49457,9.58985,9.08648,1.24562,0.19882,5.3532,2.19037,2.15451,0.26315,0.26051,2.49442,0.91091,0.96299,51.07166,2.80814,3.64695,0.54052,1.36882,0.70032,0.05558,0.0033
2000,129.76,0.05535,5.58348,0.01052,0.00666,0.12912,0.00281,,0.9193,0.803,18.92831,1.92107,2.25357,2.79487,1.26721,0.54506,0.4406,0.63214,0.26858,0.51976,4.59503,7.71081,1.53863,5.55648,9.05488,1.22075,1.98581,0.38761,0.30339,1.46237,1.09862,0.41427,48.2461,1.71217,4.34998,0.45238,1.37395,1.14819,0.03742,0.02641
