年份,外商及港澳台商投资工业企业负债合计,煤炭采选业外商及港澳台商投资工业企业负债合计,石油和天然气开采业外商及港澳台商投资工业企业负债合计,黑色金属矿采选业外商及港澳台商投资工业企业负债合计,有色金属矿采选业外商及港澳台商投资工业企业负债合计,非金属矿采选业外商及港澳台商投资工业企业负债合计,其他矿采选业外商及港澳台商投资工业企业负债合计,木材及竹材采运业外商及港澳台商投资工业企业负债合计,食品加工业外商及港澳台商投资工业企业负债合计,食品制造业外商及港澳台商投资工业企业负债合计,饮料制造业外商及港澳台商投资工业企业负债合计,烟草加工业外商及港澳台商投资工业企业负债合计,纺织业外商及港澳台商投资工业企业负债合计,服装及其他纤维制品制造业外商及港澳台商投资工业企业负债合计,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业负债合计,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业负债合计,家具制造业外商及港澳台商投资工业企业负债合计,造纸及纸制品业外商及港澳台商投资工业企业负债合计,印刷业、记录媒介的复制外商及港澳台商投资工业企业负债合计,文教体育用品制造业外商及港澳台商投资工业企业负债合计,石油加工及炼焦业外商及港澳台商投资工业企业负债合计,化学原料及化学制品制造业外商及港澳台商投资工业企业负债合计,医药制造业外商及港澳台商投资工业企业负债合计,化学纤维制造业外商及港澳台商投资工业企业负债合计,橡胶制品业外商及港澳台商投资工业企业负债合计,塑料制品业外商及港澳台商投资工业企业负债合计,非金属矿物制造业外商及港澳台商投资工业企业负债合计,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业负债合计,有色金属冶炼及压延加工业外商及港澳台商投资工业企业负债合计,金属制品业外商及港澳台商投资工业企业负债合计,普通机械制造业外商及港澳台商投资工业企业负债合计,专用设备制造业外商及港澳台商投资工业企业负债合计,交通运输设备制造业外商及港澳台商投资工业企业负债合计,电气机械及器材制造业外商及港澳台商投资工业企业负债合计,电子及通信设备制造业外商及港澳台商投资工业企业负债合计,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业负债合计,其它制造业外商及港澳台商投资工业企业负债合计,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业负债合计,煤气生产和供应业外商及港澳台商投资工业企业负债合计,自来水的生产和供应业外商及港澳台商投资工业企业负债合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,17136.03,14.07674,10.53677,1.018,4.63517,10.53136,,,512.63933,422.93139,418.20165,5.76424,822.15873,498.71328,389.76829,166.28703,122.42315,623.87516,175.16498,200.11146,227.13817,872.07972,336.63852,199.96457,277.46574,591.63033,744.61587,317.83912,231.15065,658.32593,578.78183,295.55563,1178.82529,973.73429,3416.52614,239.93256,208.14967,1310.82179,38.92363,33.97059
2001,15558.91,12.16756,5.16901,0.54637,3.68315,9.46523,,,458.50306,381.92869,406.80601,5.18046,753.89443,456.30977,334.04356,163.22808,108.64945,595.42835,204.28816,172.85333,206.43456,799.27067,305.61869,185.21677,269.0787,535.84784,699.06397,298.42347,190.11195,623.05453,489.95527,239.49796,1061.52617,947.88491,2837.46095,186.3861,175.70056,1390.36548,22.51611,23.34759
2000,14658.92,6.28645,3.82703,0.57431,3.11132,10.46463,0.1563,,457.94041,349.53213,433.20759,5.23441,731.6764,442.1905,322.15623,162.87532,98.64375,577.66584,140.1929,163.2995,114.75018,753.1409,274.48015,245.40627,253.80082,505.85197,713.24096,282.40973,208.92393,583.77943,455.0497,226.58337,1038.35353,931.06489,2508.91648,194.10416,173.00742,1241.92067,25.55011,19.54878
