年份,外商及港澳台商投资工业企业港澳台资本金,煤炭采选业外商及港澳台商投资工业企业港澳台资本金,石油和天然气开采业外商及港澳台商投资工业企业港澳台资本金,黑色金属矿采选业外商及港澳台商投资工业企业港澳台资本金,有色金属矿采选业外商及港澳台商投资工业企业港澳台资本金,非金属矿采选业外商及港澳台商投资工业企业港澳台资本金,其他矿采选业外商及港澳台商投资工业企业港澳台资本金,木材及竹材采运业外商及港澳台商投资工业企业港澳台资本金,食品加工业外商及港澳台商投资工业企业港澳台资本金,食品制造业外商及港澳台商投资工业企业港澳台资本金,饮料制造业外商及港澳台商投资工业企业港澳台资本金,烟草加工业外商及港澳台商投资工业企业港澳台资本金,纺织业外商及港澳台商投资工业企业港澳台资本金,服装及其他纤维制品制造业外商及港澳台商投资工业企业港澳台资本金,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业港澳台资本金,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业港澳台资本金,家具制造业外商及港澳台商投资工业企业港澳台资本金,造纸及纸制品业外商及港澳台商投资工业企业港澳台资本金,印刷业、记录媒介的复制外商及港澳台商投资工业企业港澳台资本金,文教体育用品制造业外商及港澳台商投资工业企业港澳台资本金,石油加工及炼焦业外商及港澳台商投资工业企业港澳台资本金,化学原料及化学制品制造业外商及港澳台商投资工业企业港澳台资本金,医药制造业外商及港澳台商投资工业企业港澳台资本金,化学纤维制造业外商及港澳台商投资工业企业港澳台资本金,橡胶制品业外商及港澳台商投资工业企业港澳台资本金,塑料制品业外商及港澳台商投资工业企业港澳台资本金,非金属矿物制造业外商及港澳台商投资工业企业港澳台资本金,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业港澳台资本金,有色金属冶炼及压延加工业外商及港澳台商投资工业企业港澳台资本金,金属制品业外商及港澳台商投资工业企业港澳台资本金,普通机械制造业外商及港澳台商投资工业企业港澳台资本金,专用设备制造业外商及港澳台商投资工业企业港澳台资本金,交通运输设备制造业外商及港澳台商投资工业企业港澳台资本金,电气机械及器材制造业外商及港澳台商投资工业企业港澳台资本金,电子及通信设备制造业外商及港澳台商投资工业企业港澳台资本金,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业港澳台资本金,其它制造业外商及港澳台商投资工业企业港澳台资本金,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业港澳台资本金,煤气生产和供应业外商及港澳台商投资工业企业港澳台资本金,自来水的生产和供应业外商及港澳台商投资工业企业港澳台资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,3147.49611,0.49822,43.056,0.53761,0.3392,3.20842,,,77.30279,77.78104,107.41326,1.14488,244.80749,135.12703,98.03428,41.34991,32.68021,89.35864,62.62435,82.17151,29.60872,143.3009,37.25741,54.00852,34.30107,214.74553,180.05447,37.02038,47.11544,178.32565,68.04431,46.42178,114.62756,181.11159,362.04013,43.91083,84.5882,181.28206,7.18208,5.11464
2001,2961.45196,0.72969,62.56813,0.38365,0.40487,3.58127,,,73.41878,87.6054,100.06296,1.13953,235.67841,125.30352,84.67845,38.00186,27.7569,92.13072,61.89083,75.34346,31.22272,108.28877,37.19814,57.39058,40.53424,201.70937,174.39483,43.14585,36.93695,179.02385,62.0373,32.97923,104.97652,161.94376,313.33127,38.06109,75.88875,181.6528,5.11481,4.9427
2000,2490.63087,0.35438,21.9905,0.28804,0.2482,2.16164,0.007,,60.78262,84.86483,89.16096,0.94856,206.37098,120.1976,71.34795,30.04422,21.97025,72.46147,44.9079,71.97478,8.59286,90.80042,32.02785,74.2264,38.48326,160.59898,147.09906,38.92312,41.44718,137.02771,48.35365,30.59449,92.99334,132.55908,235.84775,36.76952,65.07956,173.87803,3.41836,1.82837
