年份,外商及港澳台商投资工业企业管理费用,煤炭采选业外商及港澳台商投资工业企业管理费用,石油和天然气开采业外商及港澳台商投资工业企业管理费用,黑色金属矿采选业外商及港澳台商投资工业企业管理费用,有色金属矿采选业外商及港澳台商投资工业企业管理费用,非金属矿采选业外商及港澳台商投资工业企业管理费用,其他矿采选业外商及港澳台商投资工业企业管理费用,木材及竹材采运业外商及港澳台商投资工业企业管理费用,食品加工业外商及港澳台商投资工业企业管理费用,食品制造业外商及港澳台商投资工业企业管理费用,饮料制造业外商及港澳台商投资工业企业管理费用,烟草加工业外商及港澳台商投资工业企业管理费用,纺织业外商及港澳台商投资工业企业管理费用,服装及其他纤维制品制造业外商及港澳台商投资工业企业管理费用,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业管理费用,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业管理费用,家具制造业外商及港澳台商投资工业企业管理费用,造纸及纸制品业外商及港澳台商投资工业企业管理费用,印刷业、记录媒介的复制外商及港澳台商投资工业企业管理费用,文教体育用品制造业外商及港澳台商投资工业企业管理费用,石油加工及炼焦业外商及港澳台商投资工业企业管理费用,化学原料及化学制品制造业外商及港澳台商投资工业企业管理费用,医药制造业外商及港澳台商投资工业企业管理费用,化学纤维制造业外商及港澳台商投资工业企业管理费用,橡胶制品业外商及港澳台商投资工业企业管理费用,塑料制品业外商及港澳台商投资工业企业管理费用,非金属矿物制造业外商及港澳台商投资工业企业管理费用,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业管理费用,有色金属冶炼及压延加工业外商及港澳台商投资工业企业管理费用,金属制品业外商及港澳台商投资工业企业管理费用,普通机械制造业外商及港澳台商投资工业企业管理费用,专用设备制造业外商及港澳台商投资工业企业管理费用,交通运输设备制造业外商及港澳台商投资工业企业管理费用,电气机械及器材制造业外商及港澳台商投资工业企业管理费用,电子及通信设备制造业外商及港澳台商投资工业企业管理费用,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业管理费用,其它制造业外商及港澳台商投资工业企业管理费用,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业管理费用,煤气生产和供应业外商及港澳台商投资工业企业管理费用,自来水的生产和供应业外商及港澳台商投资工业企业管理费用
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,1592.12303,1.12727,3.24482,0.09937,0.2162,1.17469,,,36.14771,48.15103,40.75185,0.9323,57.88639,68.40614,36.44871,10.16806,12.509,35.67843,16.14159,26.81067,19.25008,101.02733,46.5436,9.18379,22.64258,54.42097,54.87129,14.37294,11.48975,58.15928,74.48678,41.24088,162.60535,107.77099,295.24891,39.7451,25.06282,52.92737,2.35408,2.30272
2001,1363.41755,0.79498,2.65737,0.07817,0.21373,1.1562,,,32.56114,39.56932,38.81187,1.14103,48.28892,60.25216,30.74231,10.00771,9.61985,29.63977,14.67888,22.93138,15.20149,92.55307,41.37556,7.69418,17.36919,45.83418,48.03905,13.76335,10.01583,50.70525,61.60357,31.24601,149.53841,103.25437,230.82862,29.80029,21.48522,47.11265,1.43108,1.42139
2000,1236.81703,0.12008,1.96783,0.03937,0.19851,1.12979,0.09645,,32.18807,39.62658,38.75229,0.65754,45.37497,55.56121,28.0055,10.02288,10.199,25.74957,12.13386,20.1786,6.59486,89.93934,35.68569,19.49471,14.57939,40.69759,45.27549,10.54922,10.24263,47.88728,57.8507,24.64908,126.39271,86.2502,209.22411,25.65805,20.62438,41.05958,0.95013,1.20979
