年份,外商及港澳台商投资工业企业产成品,煤炭采选业外商及港澳台商投资工业企业产成品,石油和天然气开采业外商及港澳台商投资工业企业产成品,黑色金属矿采选业外商及港澳台商投资工业企业产成品,有色金属矿采选业外商及港澳台商投资工业企业产成品,非金属矿采选业外商及港澳台商投资工业企业产成品,其他矿采选业外商及港澳台商投资工业企业产成品,木材及竹材采运业外商及港澳台商投资工业企业产成品,食品加工业外商及港澳台商投资工业企业产成品,食品制造业外商及港澳台商投资工业企业产成品,饮料制造业外商及港澳台商投资工业企业产成品,烟草加工业外商及港澳台商投资工业企业产成品,纺织业外商及港澳台商投资工业企业产成品,服装及其他纤维制品制造业外商及港澳台商投资工业企业产成品,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业产成品,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业产成品,家具制造业外商及港澳台商投资工业企业产成品,造纸及纸制品业外商及港澳台商投资工业企业产成品,印刷业、记录媒介的复制外商及港澳台商投资工业企业产成品,文教体育用品制造业外商及港澳台商投资工业企业产成品,石油加工及炼焦业外商及港澳台商投资工业企业产成品,化学原料及化学制品制造业外商及港澳台商投资工业企业产成品,医药制造业外商及港澳台商投资工业企业产成品,化学纤维制造业外商及港澳台商投资工业企业产成品,橡胶制品业外商及港澳台商投资工业企业产成品,塑料制品业外商及港澳台商投资工业企业产成品,非金属矿物制造业外商及港澳台商投资工业企业产成品,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业产成品,有色金属冶炼及压延加工业外商及港澳台商投资工业企业产成品,金属制品业外商及港澳台商投资工业企业产成品,普通机械制造业外商及港澳台商投资工业企业产成品,专用设备制造业外商及港澳台商投资工业企业产成品,交通运输设备制造业外商及港澳台商投资工业企业产成品,电气机械及器材制造业外商及港澳台商投资工业企业产成品,电子及通信设备制造业外商及港澳台商投资工业企业产成品,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业产成品,其它制造业外商及港澳台商投资工业企业产成品,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业产成品,煤气生产和供应业外商及港澳台商投资工业企业产成品,自来水的生产和供应业外商及港澳台商投资工业企业产成品
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,1697.08284,0.21624,2.51709,0.05508,0.10887,1.25398,,,75.95528,40.28411,29.38693,0.35027,119.38724,74.46009,46.31849,23.01887,13.19302,44.98111,15.97465,25.24776,15.34534,101.52007,42.17338,18.24989,32.73435,69.84701,87.85694,25.58313,24.35954,78.75156,72.52853,43.78657,107.89426,125.54722,274.28368,28.378,33.32955,1.00719,1.03235,0.0029
2001,1538.02294,0.74479,1.0464,0.03076,0.19185,1.20243,,,62.30352,36.35464,27.71016,0.89848,123.73159,71.83094,41.33595,21.98001,13.74546,42.21056,13.1123,23.7632,11.56909,95.41567,42.79621,20.49196,34.73784,60.93911,87.20223,30.35313,18.01689,78.63948,59.99776,35.01305,96.16174,132.23806,204.75151,19.9085,26.79371,0.5311,0.2651,0.00776
2000,1417.64352,0.25207,0.8142,0.02134,0.08454,1.31085,0.043,,55.53307,31.75458,28.57033,1.03306,101.79241,68.25868,36.33664,22.0447,12.562,48.21092,12.87406,19.90662,10.07122,79.13895,35.32629,21.12135,32.26898,55.83891,73.67053,22.48321,18.70803,72.52234,54.64883,31.93898,88.26125,116.60746,219.17708,18.74504,24.46379,0.54167,0.68114,0.0254
