年份,外商及港澳台商投资工业企业外商资本金,煤炭采选业外商及港澳台商投资工业企业外商资本金,石油和天然气开采业外商及港澳台商投资工业企业外商资本金,黑色金属矿采选业外商及港澳台商投资工业企业外商资本金,有色金属矿采选业外商及港澳台商投资工业企业外商资本金,非金属矿采选业外商及港澳台商投资工业企业外商资本金,其他矿采选业外商及港澳台商投资工业企业外商资本金,木材及竹材采运业外商及港澳台商投资工业企业外商资本金,食品加工业外商及港澳台商投资工业企业外商资本金,食品制造业外商及港澳台商投资工业企业外商资本金,饮料制造业外商及港澳台商投资工业企业外商资本金,烟草加工业外商及港澳台商投资工业企业外商资本金,纺织业外商及港澳台商投资工业企业外商资本金,服装及其他纤维制品制造业外商及港澳台商投资工业企业外商资本金,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业外商资本金,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业外商资本金,家具制造业外商及港澳台商投资工业企业外商资本金,造纸及纸制品业外商及港澳台商投资工业企业外商资本金,印刷业、记录媒介的复制外商及港澳台商投资工业企业外商资本金,文教体育用品制造业外商及港澳台商投资工业企业外商资本金,石油加工及炼焦业外商及港澳台商投资工业企业外商资本金,化学原料及化学制品制造业外商及港澳台商投资工业企业外商资本金,医药制造业外商及港澳台商投资工业企业外商资本金,化学纤维制造业外商及港澳台商投资工业企业外商资本金,橡胶制品业外商及港澳台商投资工业企业外商资本金,塑料制品业外商及港澳台商投资工业企业外商资本金,非金属矿物制造业外商及港澳台商投资工业企业外商资本金,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业外商资本金,有色金属冶炼及压延加工业外商及港澳台商投资工业企业外商资本金,金属制品业外商及港澳台商投资工业企业外商资本金,普通机械制造业外商及港澳台商投资工业企业外商资本金,专用设备制造业外商及港澳台商投资工业企业外商资本金,交通运输设备制造业外商及港澳台商投资工业企业外商资本金,电气机械及器材制造业外商及港澳台商投资工业企业外商资本金,电子及通信设备制造业外商及港澳台商投资工业企业外商资本金,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业外商资本金,其它制造业外商及港澳台商投资工业企业外商资本金,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业外商资本金,煤气生产和供应业外商及港澳台商投资工业企业外商资本金,自来水的生产和供应业外商及港澳台商投资工业企业外商资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,4946.13703,3.19832,,0.008,0.36519,3.09116,,,135.43569,216.48835,170.27564,1.29243,207.81294,116.14773,59.02458,37.63055,27.06169,189.77224,34.9093,48.56055,42.26246,376.48151,117.85911,47.80216,109.17993,168.85578,244.53817,49.96128,44.92369,190.60979,270.76835,96.04166,340.73636,354.0918,858.18547,96.64176,66.44855,191.91009,12.05407,15.71068
2001,4194.98291,2.37193,,0.02588,0.44007,2.66941,,,115.80165,191.45224,163.11631,2.14893,156.9225,102.12855,52.09322,38.91315,20.84742,160.96588,29.8608,35.04557,24.50708,349.61088,86.18516,43.75175,78.81294,132.55729,224.1691,44.57037,38.91295,156.40664,248.20003,91.08458,292.13651,319.03129,662.63842,75.13437,43.62132,191.41593,13.33107,4.10172
2000,3654.6359,0.27812,,0.0331,0.18853,3.05002,,,111.42829,159.54253,147.96965,1.29242,132.69068,87.51661,43.83727,33.27736,20.75009,151.46818,24.13263,33.04034,20.73188,289.96632,78.05849,46.61658,72.66575,114.48238,218.52151,29.77273,29.77192,152.29268,202.95986,69.38292,261.78501,277.71897,572.63161,65.17925,38.58676,152.60165,6.58536,3.82845
