年份,外商及港澳台商投资工业亏损企业亏损总额,煤炭采选业外商及港澳台商投资工业亏损企业亏损总额,石油和天然气开采业外商及港澳台商投资工业亏损企业亏损总额,黑色金属矿采选业外商及港澳台商投资工业亏损企业亏损总额,有色金属矿采选业外商及港澳台商投资工业亏损企业亏损总额,非金属矿采选业外商及港澳台商投资工业亏损企业亏损总额,其他矿采选业外商及港澳台商投资工业亏损企业亏损总额,木材及竹材采运业外商及港澳台商投资工业亏损企业亏损总额,食品加工业外商及港澳台商投资工业亏损企业亏损总额,食品制造业外商及港澳台商投资工业亏损企业亏损总额,饮料制造业外商及港澳台商投资工业亏损企业亏损总额,烟草加工业外商及港澳台商投资工业亏损企业亏损总额,纺织业外商及港澳台商投资工业亏损企业亏损总额,服装及其他纤维制品制造业外商及港澳台商投资工业亏损企业亏损总额,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业亏损企业亏损总额,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业亏损企业亏损总额,家具制造业外商及港澳台商投资工业亏损企业亏损总额,造纸及纸制品业外商及港澳台商投资工业亏损企业亏损总额,印刷业、记录媒介的复制外商及港澳台商投资工业亏损企业亏损总额,文教体育用品制造业外商及港澳台商投资工业亏损企业亏损总额,石油加工及炼焦业外商及港澳台商投资工业亏损企业亏损总额,化学原料及化学制品制造业外商及港澳台商投资工业亏损企业亏损总额,医药制造业外商及港澳台商投资工业亏损企业亏损总额,化学纤维制造业外商及港澳台商投资工业亏损企业亏损总额,橡胶制品业外商及港澳台商投资工业亏损企业亏损总额,塑料制品业外商及港澳台商投资工业亏损企业亏损总额,非金属矿物制造业外商及港澳台商投资工业亏损企业亏损总额,黑色金属冶炼及压延加工业外商及港澳台商投资工业亏损企业亏损总额,有色金属冶炼及压延加工业外商及港澳台商投资工业亏损企业亏损总额,金属制品业外商及港澳台商投资工业亏损企业亏损总额,普通机械制造业外商及港澳台商投资工业亏损企业亏损总额,专用设备制造业外商及港澳台商投资工业亏损企业亏损总额,交通运输设备制造业外商及港澳台商投资工业亏损企业亏损总额,电气机械及器材制造业外商及港澳台商投资工业亏损企业亏损总额,电子及通信设备制造业外商及港澳台商投资工业亏损企业亏损总额,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业亏损企业亏损总额,其它制造业外商及港澳台商投资工业亏损企业亏损总额,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业亏损企业亏损总额,煤气生产和供应业外商及港澳台商投资工业亏损企业亏损总额,自来水的生产和供应业外商及港澳台商投资工业亏损企业亏损总额
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,364.08022,0.07789,,0.00388,0.01843,0.4988,,,14.42034,25.94484,14.6499,0.23011,17.14186,10.39423,6.50821,6.5343,3.60292,5.30464,2.84073,4.17957,1.87793,22.17733,13.80927,6.98564,3.54869,12.78524,18.73375,2.69571,5.02572,14.66282,10.76738,4.61392,21.18154,21.71503,73.12371,5.56473,3.56139,7.4951,1.21574,0.12593
2001,358.06083,,,0.00086,0.05597,0.38331,,,14.86992,17.23934,17.08979,0.24628,17.33104,9.08537,7.08751,5.10632,2.43523,8.59794,2.80215,4.62952,6.59847,34.94862,7.96802,5.9582,5.01319,11.21422,17.98791,3.54857,5.34368,12.65935,11.00568,4.83191,20.09042,20.94977,59.07136,2.73258,3.61143,16.76817,0.747,0.05173
2000,322.91767,0.00045,,0.00199,0.04478,0.14869,,,14.47638,18.92791,19.93238,0.2904,14.31722,7.00742,4.41401,6.1514,2.14396,9.95781,1.93262,3.14533,2.10559,28.74172,7.67937,3.52004,7.78035,10.27243,19.62093,4.71865,5.55649,15.46362,10.01691,4.50989,24.81441,20.34434,25.18962,1.69753,3.20867,23.72176,0.95751,0.10509
