年份,15岁及以上人口数(人口抽样调查),15岁及以上男性人口数(人口抽样调查),15岁及以上女性人口数(人口抽样调查),15岁及以上文盲人口数(人口抽样调查),15岁及以上男性文盲人口数(人口抽样调查),15岁及以上女性文盲人口数(人口抽样调查)
2019,908609,459235,449374,41696,10185,31511
2018,951685,481358,470327,47007,11641,35366
2017,952893,482331,470561,46221,11668,34554
2016,965321,488944,476376,50980,13402,37578
2015,17790430.0,9011377,8779053,964050,260677,703374
2014,938993,475585,463408,46210,11914,34296
2013,934935,474125,460810,43002,11997,31005
2012,939526,476037,463489,46619,12699,33920
2011,956619,484840,471779,49876,13240,36636
2010,,,,,,
2009,968469,484277,484192,68795,18202,50593
2008,974433,487113,487319,75731,19596,56135
2007,976263,486960,489304,82044,21180,60865
2006,972385,484183,488202,90564,23560,67004
2005,13664737.0,6786677,6878061,1508706,397877,1110828
2004,1011199,506724,504475,104324,29338,74986
2003,1004154,505478,498676,109955,30912,79043
2002,990974,499149,491825,115284,32074,83210
2001,,,,,,
2000,,,,,,
