年份,规模以上工业企业实收资本,煤炭开采和洗选业规模以上工业企业实收资本,石油和天然气开采业规模以上工业企业实收资本,黑色金属矿采选业规模以上工业企业实收资本,有色金属矿采选业规模以上工业企业实收资本,非金属矿采选业规模以上工业企业实收资本,开采辅助活动规模以上工业企业实收资本,其他采矿业规模以上工业企业实收资本,农副食品加工业规模以上工业企业实收资本,食品制造业规模以上工业企业实收资本,酒、饮料和精制茶制造业规模以上工业企业实收资本,烟草制品业规模以上工业企业实收资本,纺织业规模以上工业企业实收资本,纺织服装、服饰业规模以上工业企业实收资本,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业实收资本,木材加工和木、竹、藤、棕、草制品业规模以上工业企业实收资本,家具制造业规模以上工业企业实收资本,造纸和纸制品业规模以上工业企业实收资本,印刷和记录媒介复制业规模以上工业企业实收资本,文教、工美、体育和娱乐用品制造业规模以上工业企业实收资本,石油加工、炼焦和核燃料加工业规模以上工业企业实收资本,化学原料和化学制品制造业规模以上工业企业实收资本,医药制造业规模以上工业企业实收资本,化学纤维制造业规模以上工业企业实收资本,橡胶和塑料制品业规模以上工业企业实收资本,非金属矿物制品业规模以上工业企业实收资本,黑色金属冶炼和压延加工业规模以上工业企业实收资本,有色金属冶炼和压延加工业规模以上工业企业实收资本,金属制品业规模以上工业企业实收资本,通用设备制造业规模以上工业企业实收资本,专用设备制造业规模以上工业企业实收资本,汽车制造业规模以上工业企业实收资本,铁路、船舶、航空航天和其他运输设备规模以上工业企业实收资本,电气机械和器材制造业规模以上工业企业实收资本,计算机、通信和其他电子设备制造业规模以上工业企业实收资本,仪器仪表制造业规模以上工业企业实收资本,其他制造业规模以上工业企业实收资本,废弃资源综合利用业规模以上工业企业实收资本,金属制品、机械和设备修理业规模以上工业企业实收资本,电力、热力生产和供应业规模以上工业企业实收资本,燃气生产和供应业规模以上工业企业实收资本,水的生产和供应业规模以上工业企业实收资本
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
