年份,规模以上工业企业工业销售产值(现价),煤炭开采和洗选业规模以上工业企业工业销售产值(现价),石油和天然气开采业规模以上工业企业工业销售产值(现价),黑色金属矿采选业规模以上工业企业工业销售产值(现价),有色金属矿采选业规模以上工业企业工业销售产值(现价),非金属矿采选业规模以上工业企业工业销售产值(现价),开采辅助活动规模以上工业企业工业销售产值(现价),其他采矿业规模以上工业企业工业销售产值(现价),农副食品加工业规模以上工业企业工业销售产值(现价),食品制造业规模以上工业企业工业销售产值(现价),酒、饮料和精制茶制造业规模以上工业企业工业销售产值(现价),烟草制品业规模以上工业企业工业销售产值(现价),纺织业规模以上工业企业工业销售产值(现价),纺织服装、服饰业规模以上工业企业工业销售产值(现价),皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业工业销售产值(现价),木材加工和木、竹、藤、棕、草制品业规模以上工业企业工业销售产值(现价),家具制造业规模以上工业企业工业销售产值(现价),造纸和纸制品业规模以上工业企业工业销售产值(现价),印刷和记录媒介复制业规模以上工业企业工业销售产值(现价),文教、工美、体育和娱乐用品制造业规模以上工业企业工业销售产值(现价),石油加工、炼焦和核燃料加工业规模以上工业企业工业销售产值(现价),化学原料和化学制品制造业规模以上工业企业工业销售产值(现价),医药制造业规模以上工业企业工业销售产值(现价),化学纤维制造业规模以上工业企业工业销售产值(现价),橡胶和塑料制品业规模以上工业企业工业销售产值(现价),非金属矿物制品业规模以上工业企业工业销售产值(现价),黑色金属冶炼和压延加工业规模以上工业企业工业销售产值(现价),有色金属冶炼和压延加工业规模以上工业企业工业销售产值(现价),金属制品业规模以上工业企业工业销售产值(现价),通用设备制造业规模以上工业企业工业销售产值(现价),专用设备制造业规模以上工业企业工业销售产值(现价),汽车制造业规模以上工业企业工业销售产值(现价),铁路、船舶、航空航天和其他运输设备规模以上工业企业工业销售产值(现价),电气机械和器材制造业规模以上工业企业工业销售产值(现价),计算机、通信和其他电子设备制造业规模以上工业企业工业销售产值(现价),仪器仪表制造业规模以上工业企业工业销售产值(现价),其他制造业规模以上工业企业工业销售产值(现价),废弃资源综合利用业规模以上工业企业工业销售产值(现价),金属制品、机械和设备修理业规模以上工业企业工业销售产值(现价),电力、热力生产和供应业规模以上工业企业工业销售产值(现价),燃气生产和供应业规模以上工业企业工业销售产值(现价),水的生产和供应业规模以上工业企业工业销售产值(现价)
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1151950.07,19843.01,6774.18,6213.82,6322.35,5603.91,1412.0,30.73,68857.76,23544.4,19034.28,8855.8,40287.42,23664.77,15189.99,15119.7,8826.79,14832.74,8178.51,16897.37,34077.5,86789.56,28417.72,7879.83,32764.61,63057.45,60343.78,48879.02,39334.97,48337.12,37672.91,80440.37,20293.17,74163.8,98457.24,9441.41,2832.2,4133.12,1218.83,55760.64,6097.73,2067.55
2015,1104026.7,20793.3,8042.76,7216.98,6344.87,5539.19,1535.49,25.92,65835.97,21871.59,17626.59,9620.49,39392.98,22307.52,14696.11,14124.94,7979.87,14215.55,7497.48,15836.08,34304.56,83256.38,25738.22,7320.83,31442.78,59988.2,61257.31,46480.99,37671.69,47172.7,36185.03,70225.35,19935.91,69558.22,91378.86,8749.31,2796.9,3908.24,985.59,57451.07,5876.47,1838.43
2014,1092197.99,26025.16,11663.82,9331.05,6348.32,5419.94,1785.86,25.05,63595.75,19914.0,16372.18,9116.64,37704.25,21056.56,13855.5,13490.65,7348.16,13774.99,6893.98,14761.64,40802.63,82352.92,23200.28,7157.88,30131.04,58239.63,71026.51,46154.64,36612.45,47150.91,35039.02,66342.1,18653.82,66921.57,85274.75,8286.27,2605.23,3678.39,858.96,56512.33,5078.44,1634.7
2013,1019405.3,28886.79,11320.41,9521.46,6114.82,4951.26,1798.42,22.32,59643.06,18039.24,15149.36,8722.41,35446.74,19382.34,12526.52,12054.22,6618.17,12976.59,6063.27,12693.76,40168.42,75771.09,20129.16,6974.78,27639.65,52253.06,72197.85,42667.56,33207.42,43314.8,32467.75,58552.74,16824.64,61442.08,78318.64,7521.52,2324.28,3384.61,936.47,55938.99,3965.28,1473.34
2012,909797.17317,30240.63195,11800.53025,8416.38625,5573.71079,4173.29806,1511.82512,22.82714,51601.58977,15573.50103,13233.13405,7940.38845,31776.72677,17200.28006,11145.781,10283.81479,5647.49003,12559.00722,4533.551,10076.59263,39023.35173,66432.84606,16935.68211,6613.1018,24299.94405,44156.16965,68173.88534,37551.55714,28970.62135,37813.12156,28421.16124,49986.60017,16186.02469,54195.48044,69480.88462,6620.70854,2038.25269,2870.82183,886.47854,51273.58261,3277.823,1278.00765
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
