年份,规模以上工业企业出口交货值,煤炭开采和洗选业规模以上工业企业出口交货值,石油和天然气开采业规模以上工业企业出口交货值,黑色金属矿采选业规模以上工业企业出口交货值,有色金属矿采选业规模以上工业企业出口交货值,非金属矿采选业规模以上工业企业出口交货值,开采辅助活动规模以上工业企业出口交货值,其他采矿业规模以上工业企业出口交货值,农副食品加工业规模以上工业企业出口交货值,食品制造业规模以上工业企业出口交货值,酒、饮料和精制茶制造业规模以上工业企业出口交货值,烟草制品业规模以上工业企业出口交货值,纺织业规模以上工业企业出口交货值,纺织服装、服饰业规模以上工业企业出口交货值,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业出口交货值,木材加工和木、竹、藤、棕、草制品业规模以上工业企业出口交货值,家具制造业规模以上工业企业出口交货值,造纸和纸制品业规模以上工业企业出口交货值,印刷和记录媒介复制业规模以上工业企业出口交货值,文教、工美、体育和娱乐用品制造业规模以上工业企业出口交货值,石油加工、炼焦和核燃料加工业规模以上工业企业出口交货值,化学原料和化学制品制造业规模以上工业企业出口交货值,医药制造业规模以上工业企业出口交货值,化学纤维制造业规模以上工业企业出口交货值,橡胶和塑料制品业规模以上工业企业出口交货值,非金属矿物制品业规模以上工业企业出口交货值,黑色金属冶炼和压延加工业规模以上工业企业出口交货值,有色金属冶炼和压延加工业规模以上工业企业出口交货值,金属制品业规模以上工业企业出口交货值,通用设备制造业规模以上工业企业出口交货值,专用设备制造业规模以上工业企业出口交货值,汽车制造业规模以上工业企业出口交货值,铁路、船舶、航空航天和其他运输设备规模以上工业企业出口交货值,电气机械和器材制造业规模以上工业企业出口交货值,计算机、通信和其他电子设备制造业规模以上工业企业出口交货值,仪器仪表制造业规模以上工业企业出口交货值,其他制造业规模以上工业企业出口交货值,废弃资源综合利用业规模以上工业企业出口交货值,金属制品、机械和设备修理业规模以上工业企业出口交货值,电力、热力生产和供应业规模以上工业企业出口交货值,燃气生产和供应业规模以上工业企业出口交货值,水的生产和供应业规模以上工业企业出口交货值
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,117842.74,20.14,8.18,2.83,22.67,22.05,2.52,,2836.34,1114.45,256.21,41.24,3521.73,4748.25,3382.59,892.23,1786.33,569.82,481.31,4397.74,610.21,4333.64,1460.42,559.96,3743.29,1776.09,2320.08,1124.06,3630.42,4930.98,3024.39,3188.99,3408.04,10092.24,47081.32,1358.2,464.93,14.92,440.04,82.14,49.95,41.83
2015,116013.09,17.66,13.74,12.87,13.04,24.97,102.68,0.0,2950.29,1120.54,247.89,43.08,3684.31,4819.93,3441.51,791.98,1618.26,559.34,450.38,4447.92,498.76,4185.78,1341.97,479.01,3647.12,1821.54,2410.81,1095.7,3691.84,4908.56,2930.95,2934.0,3627.33,9915.79,45899.68,1338.95,524.94,54.76,244.71,42.23,21.51,36.74
2014,118414.25,56.05,48.55,1.26,16.61,22.49,19.1,2.44,2920.22,1040.23,276.64,36.69,3846.8,4896.18,3406.97,773.2,1562.86,591.72,438.56,4811.44,553.57,4385.95,1312.32,506.72,3859.07,1912.73,2941.81,1254.67,3836.83,5173.75,3228.73,3021.5,3511.07,9883.03,46165.14,1240.52,519.15,6.27,204.41,69.14,26.33,33.51
2013,112824.03,112.56,17.35,0.09,16.81,30.04,16.02,0.0,3091.21,1042.66,246.92,35.98,3922.84,4728.3,3129.2,789.66,1452.47,570.08,394.7,3914.86,553.42,3984.6,1184.17,479.24,3713.67,1785.89,2308.04,1226.85,3589.29,4969.76,2994.31,2753.19,3443.22,9376.47,44915.73,1156.12,482.64,5.09,193.3,135.32,28.08,33.91
2012,106610.16053,58.18752,34.05055,3.61997,15.98088,29.56967,29.72492,,2602.65632,955.7679,243.1988,34.78844,3735.0028,4420.46627,2970.47648,708.62646,1316.76016,589.16867,331.01337,3337.95028,380.0894,3693.53662,1164.92125,474.17483,3496.53439,1780.20645,2397.82085,1129.96444,3299.91285,4782.0854,2826.75086,2740.55478,3636.68743,9125.02939,42454.71004,1045.52051,457.3611,5.10172,184.58374,58.60142,26.40482,32.59878
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
