年份,规模以上工业企业国家资本金,煤炭开采和洗选业规模以上工业企业国家资本金,石油和天然气开采业规模以上工业企业国家资本金,黑色金属矿采选业规模以上工业企业国家资本金,有色金属矿采选业规模以上工业企业国家资本金,非金属矿采选业规模以上工业企业国家资本金,开采辅助活动规模以上工业企业国家资本金,其他采矿业规模以上工业企业国家资本金,农副食品加工业规模以上工业企业国家资本金,食品制造业规模以上工业企业国家资本金,酒、饮料和精制茶制造业规模以上工业企业国家资本金,烟草制品业规模以上工业企业国家资本金,纺织业规模以上工业企业国家资本金,纺织服装、服饰业规模以上工业企业国家资本金,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业国家资本金,木材加工和木、竹、藤、棕、草制品业规模以上工业企业国家资本金,家具制造业规模以上工业企业国家资本金,造纸和纸制品业规模以上工业企业国家资本金,印刷和记录媒介复制业规模以上工业企业国家资本金,文教、工美、体育和娱乐用品制造业规模以上工业企业国家资本金,石油加工、炼焦和核燃料加工业规模以上工业企业国家资本金,化学原料和化学制品制造业规模以上工业企业国家资本金,医药制造业规模以上工业企业国家资本金,化学纤维制造业规模以上工业企业国家资本金,橡胶和塑料制品业规模以上工业企业国家资本金,非金属矿物制品业规模以上工业企业国家资本金,黑色金属冶炼和压延加工业规模以上工业企业国家资本金,有色金属冶炼和压延加工业规模以上工业企业国家资本金,金属制品业规模以上工业企业国家资本金,通用设备制造业规模以上工业企业国家资本金,专用设备制造业规模以上工业企业国家资本金,汽车制造业规模以上工业企业国家资本金,铁路、船舶、航空航天和其他运输设备规模以上工业企业国家资本金,电气机械和器材制造业规模以上工业企业国家资本金,计算机、通信和其他电子设备制造业规模以上工业企业国家资本金,仪器仪表制造业规模以上工业企业国家资本金,其他制造业规模以上工业企业国家资本金,废弃资源综合利用业规模以上工业企业国家资本金,金属制品、机械和设备修理业规模以上工业企业国家资本金,电力、热力生产和供应业规模以上工业企业国家资本金,燃气生产和供应业规模以上工业企业国家资本金,水的生产和供应业规模以上工业企业国家资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,80050.92,2962.06,4126.89,801.48,316.85,107.72,599.35,0.14,279.6,129.64,414.03,677.33,122.74,43.44,9.15,33.72,7.32,208.5,149.69,32.54,2851.52,2965.38,365.39,185.24,235.06,1331.65,3122.68,1851.64,619.3,941.16,1026.23,1786.46,1965.97,874.41,1184.08,169.61,195.04,44.3,201.89,43196.48,1893.5,2021.71
2016,59163.1,2985.22,4349.95,743.19,270.26,124.13,799.4,2.38,333.43,133.46,222.07,661.92,123.63,26.95,11.98,28.23,5.88,314.39,136.59,42.53,2570.6,2871.33,355.74,124.11,214.21,1166.12,2843.83,1644.03,476.54,755.81,889.93,1633.82,1850.42,729.6,1251.13,135.36,88.57,30.82,207.95,25238.34,1399.79,1369.45
2015,53076.32,3510.16,4204.43,770.91,240.11,127.27,851.59,0.14,257.16,122.75,253.85,501.55,108.44,27.42,8.51,25.16,9.76,240.07,139.41,36.72,2582.76,2563.11,327.65,56.68,175.37,1046.33,2679.34,1503.65,427.57,692.35,1039.56,1318.01,1633.96,678.47,1116.31,129.0,84.18,19.57,172.34,21259.49,801.38,1333.82
2014,39470.22,2532.98,4902.26,784.07,222.59,112.64,571.01,0.04,205.91,90.22,355.82,346.55,114.82,27.69,5.78,25.02,7.35,213.41,127.54,37.31,2335.28,1997.08,238.52,47.04,148.44,981.98,2251.69,1379.29,415.17,640.7,747.12,1219.87,1309.64,561.86,1009.86,122.02,81.13,13.06,126.67,11468.97,458.34,1233.48
2013,34694.96,2294.95,4486.94,654.51,173.47,119.24,528.06,0.14,181.18,91.86,192.18,373.62,98.43,22.2,4.54,17.68,8.19,220.85,106.91,44.42,2031.68,1797.95,283.42,70.66,126.06,773.99,1759.43,1248.72,363.4,523.31,724.52,1063.19,1071.35,509.53,677.73,92.82,42.23,20.69,118.94,10302.61,357.34,1116.01
2012,29227.92565,1920.9906,3705.98023,656.65852,158.83052,95.12486,433.6624,0.05512,143.70388,61.65465,175.58515,241.55316,93.26258,16.58645,5.41594,20.50705,5.67048,159.17644,79.00096,13.76535,2164.13241,1313.69914,215.57071,54.82926,103.57068,594.31785,1645.12218,1050.38294,348.73318,403.82751,427.0487,928.43363,704.7461,368.62288,1291.95187,94.99253,57.24056,10.93431,109.1712,8073.85416,255.04395,1024.51556
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
