年份,规模以上工业企业单位数,煤炭开采和洗选业规模以上工业企业单位数,石油和天然气开采业规模以上工业企业单位数,黑色金属矿采选业规模以上工业企业单位数,有色金属矿采选业规模以上工业企业单位数,非金属矿采选业规模以上工业企业单位数,开采专业及辅助性活动规模以上工业企业单位数,其他采矿业规模以上工业企业单位数,农副食品加工业规模以上工业企业单位数,食品制造业规模以上工业企业单位数,酒、饮料和精制茶制造业规模以上工业企业单位数,烟草制品业规模以上工业企业单位数,纺织业规模以上工业企业单位数,纺织服装、服饰业规模以上工业企业单位数,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业单位数,木材加工和木、竹、藤、棕、草制品业规模以上工业企业单位数,家具制造业规模以上工业企业单位数,造纸和纸制品业规模以上工业企业单位数,印刷和记录媒介复制业规模以上工业企业单位数,文教、工美、体育和娱乐用品制造业规模以上工业企业单位数,石油加工、炼焦和核燃料加工业规模以上工业企业单位数,化学原料和化学制品制造业规模以上工业企业单位数,医药制造业规模以上工业企业单位数,化学纤维制造业规模以上工业企业单位数,橡胶和塑料制品业规模以上工业企业单位数,非金属矿物制品业规模以上工业企业单位数,黑色金属冶炼和压延加工业规模以上工业企业单位数,有色金属冶炼和压延加工业规模以上工业企业单位数,金属制品业规模以上工业企业单位数,通用设备制造业规模以上工业企业单位数,专用设备制造业规模以上工业企业单位数,汽车制造业规模以上工业企业单位数,铁路、船舶、航空航天和其他运输设备规模以上工业企业单位数,电气机械和器材制造业规模以上工业企业单位数,计算机、通信和其他电子设备制造业规模以上工业企业单位数,仪器仪表制造业规模以上工业企业单位数,其他制造业规模以上工业企业单位数,废弃资源综合利用业规模以上工业企业单位数,金属制品、机械和设备修理业规模以上工业企业单位数,电力、热力生产和供应业规模以上工业企业单位数,燃气生产和供应业规模以上工业企业单位数,水的生产和供应业规模以上工业企业单位数
2019,377815,4253,119,1163,1230,3173,255,10,21346,8043,5674,107,18018,13353,8319,9012,6472,6579,5673,8763,1999,21596,7392,1882,19413,36148,5113,7251,24687,24788,19108,15485,4713,25267,18726,4892,1680,1907,464,9004,2316,2422
2018,374964,4505,123,1528,1456,3395,186,21,25007,8981,6805,116,19122,14827,8550,9153,6300,6704,5706,9307,2001,23513,7581,1832,18621,35072,5138,6942,23739,23869,18057,15174,4790,24190,16656,4355,1673,1710,361,7747,1693,1934
2017,372729,4435,124,1523,1457,3305,182,20,24661,8862,6714,122,18726,14600,8293,8859,6149,6628,5621,9085,1790,23366,7532,1799,18452,34489,7712,6929,20562,23655,17760,14908,4824,23934,16095,4507,1849,1584,363,7634,1700,1919
2016,378599,5049,136,1878,1655,3634,168,26,26011,9043,6962,128,19752,15445,8727,9123,5777,6586,5578,9263,1876,24583,7541,1820,18298,35026,8498,7021,20731,23680,17603,14493,4947,23605,15222,4337,1889,1582,371,7280,1501,1754
2015,383148,5924,141,2593,1889,3743,169,20,25694,8749,6664,133,20545,15943,8862,9252,5546,6798,5451,9085,1990,25262,7392,1924,18457,35122,9540,7257,21137,24592,17800,14149,5054,23674,14594,4261,1811,1530,397,6967,1416,1621
2014,377888,6850,142,3312,2002,3758,166,19,24835,8207,6272,128,20821,15821,8719,9018,5288,6822,5293,8612,2033,25262,7108,1948,18143,33993,10363,7385,20784,24619,17397,13457,4977,23208,14034,4178,1755,1490,395,6471,1308,1495
2013,369813,7929,144,3614,2108,3717,180,19,23963,7871,5894,130,21166,15710,8467,8879,5078,7063,5070,8139,2081,25040,6839,2002,17659,32174,11010,7343,20118,23992,16717,12528,4933,22585,13550,4091,1697,1366,429,6010,1132,1376
2012,343769,7869,134,3497,2077,3377,159,21,22356,7306,5311,135,20435,14788,7806,8498,4559,7128,4189,6920,2036,23694,6387,1873,16356,29121,10880,6954,18557,22032,15068,11270,4761,21055,12328,3802,1554,1192,421,5614,990,1259
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
