年份,规模以上工业企业财务费用,煤炭开采和洗选业规模以上工业企业财务费用,石油和天然气开采业规模以上工业企业财务费用,黑色金属矿采选业规模以上工业企业财务费用,有色金属矿采选业规模以上工业企业财务费用,非金属矿采选业规模以上工业企业财务费用,开采辅助活动规模以上工业企业财务费用,其他采矿业规模以上工业企业财务费用,农副食品加工业规模以上工业企业财务费用,食品制造业规模以上工业企业财务费用,酒、饮料和精制茶制造业规模以上工业企业财务费用,烟草制品业规模以上工业企业财务费用,纺织业规模以上工业企业财务费用,纺织服装、服饰业规模以上工业企业财务费用,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业财务费用,木材加工和木、竹、藤、棕、草制品业规模以上工业企业财务费用,家具制造业规模以上工业企业财务费用,造纸和纸制品业规模以上工业企业财务费用,印刷和记录媒介复制业规模以上工业企业财务费用,文教、工美、体育和娱乐用品制造业规模以上工业企业财务费用,石油加工、炼焦和核燃料加工业规模以上工业企业财务费用,化学原料和化学制品制造业规模以上工业企业财务费用,医药制造业规模以上工业企业财务费用,化学纤维制造业规模以上工业企业财务费用,橡胶和塑料制品业规模以上工业企业财务费用,非金属矿物制品业规模以上工业企业财务费用,黑色金属冶炼和压延加工业规模以上工业企业财务费用,有色金属冶炼和压延加工业规模以上工业企业财务费用,金属制品业规模以上工业企业财务费用,通用设备制造业规模以上工业企业财务费用,专用设备制造业规模以上工业企业财务费用,汽车制造业规模以上工业企业财务费用,铁路、船舶、航空航天和其他运输设备规模以上工业企业财务费用,电气机械和器材制造业规模以上工业企业财务费用,计算机、通信和其他电子设备制造业规模以上工业企业财务费用,仪器仪表制造业规模以上工业企业财务费用,其他制造业规模以上工业企业财务费用,废弃资源综合利用业规模以上工业企业财务费用,金属制品、机械和设备修理业规模以上工业企业财务费用,电力、热力生产和供应业规模以上工业企业财务费用,燃气生产和供应业规模以上工业企业财务费用,水的生产和供应业规模以上工业企业财务费用
2019,11371.11,783.79,194.24,161.53,74.09,51.95,1.61,0.18,377.54,108.85,71.48,-54.06,271.79,106.63,75.28,67.35,46.46,192.91,48.95,96.73,382.73,856.73,222.71,132.18,220.96,582.85,669.87,607.83,284.96,274.13,310.69,310.94,91.21,396.4,358.98,41.59,11.24,41.51,17.79,2609.46,120.58,148.47
2018,11856.48,924.7,115.0,154.8,78.9,47.4,-1.9,0.2,429.0,119.0,98.3,-23.9,369.3,116.1,86.0,78.4,45.0,230.3,45.5,102.5,411.6,1038.8,211.1,124.4,227.9,589.2,845.7,654.0,299.2,301.5,338.6,311.7,103.0,444.8,376.4,43.2,16.8,37.2,18.1,2296.2,85.8,115.1
2017,12832.93,929.05,138.77,115.35,81.02,46.55,15.31,0.18,461.8,142.37,103.24,-23.95,420.52,161.78,106.28,99.8,67.6,225.27,62.23,129.25,383.99,1102.65,259.76,119.54,281.46,687.95,938.04,693.15,319.8,386.04,420.98,324.28,166.09,593.58,360.65,65.47,19.64,34.17,16.84,2200.15,74.18,102.08
2016,12650.57,849.12,165.02,132.92,77.46,56.48,-23.48,0.45,544.34,144.85,133.3,-19.17,437.81,161.91,97.02,115.43,57.01,230.06,55.53,110.7,390.28,1175.96,238.51,124.95,282.31,701.58,996.69,675.18,300.13,376.61,360.56,355.6,130.86,449.64,305.23,47.24,17.55,32.17,29.04,2145.55,78.16,109.97
2015,13494.24,847.09,180.96,131.46,79.68,59.21,12.7,0.47,554.71,152.89,140.12,-16.78,473.98,148.82,100.2,121.95,57.87,257.71,59.7,106.39,416.86,1266.03,244.47,132.71,296.01,741.67,1142.59,742.75,322.97,407.54,351.79,367.51,139.96,501.5,328.69,52.52,16.79,27.53,11.02,2326.81,80.14,107.24
2014,13482.25,874.87,158.99,167.8,74.69,59.32,19.96,0.32,537.86,141.0,127.18,-18.18,504.36,159.57,111.97,118.72,66.79,242.13,62.13,113.14,468.44,1216.08,231.29,130.13,295.76,756.27,1164.39,687.43,346.78,425.23,361.75,247.42,184.45,605.56,236.84,58.56,20.69,26.65,11.18,2341.4,53.52,89.81
2013,12008.26,776.01,140.75,141.07,58.8,53.77,17.55,0.2,493.05,122.2,102.86,-11.4,494.15,161.74,106.9,108.62,68.67,211.21,58.65,108.49,375.24,987.12,194.93,113.84,277.88,677.2,1002.82,576.72,329.67,386.45,324.65,227.14,130.61,597.61,243.81,55.27,21.18,19.6,9.93,2127.83,39.66,75.79
2012,11295.58703,621.47512,114.49014,113.88936,53.47494,45.18428,12.05109,0.21948,428.52646,116.36123,95.24754,-11.25868,448.82602,146.69259,100.40572,95.88324,53.15847,234.18487,44.98163,85.17105,357.98853,906.87988,166.82587,125.48309,255.72561,589.15346,1068.23467,559.32338,287.52308,348.66321,304.51582,276.66336,114.28824,559.45765,248.51283,51.67769,19.78617,20.93461,10.17402,2111.16127,35.54953,78.10051
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
