年份,规模以上工业企业销售费用,煤炭开采和洗选业规模以上工业企业销售费用,石油和天然气开采业规模以上工业企业销售费用,黑色金属矿采选业规模以上工业企业销售费用,有色金属矿采选业规模以上工业企业销售费用,非金属矿采选业规模以上工业企业销售费用,开采辅助活动规模以上工业企业销售费用,其他采矿业规模以上工业企业销售费用,农副食品加工业规模以上工业企业销售费用,食品制造业规模以上工业企业销售费用,酒、饮料和精制茶制造业规模以上工业企业销售费用,烟草制品业规模以上工业企业销售费用,纺织业规模以上工业企业销售费用,纺织服装、服饰业规模以上工业企业销售费用,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业销售费用,木材加工和木、竹、藤、棕、草制品业规模以上工业企业销售费用,家具制造业规模以上工业企业销售费用,造纸和纸制品业规模以上工业企业销售费用,印刷和记录媒介复制业规模以上工业企业销售费用,文教、工美、体育和娱乐用品制造业规模以上工业企业销售费用,石油加工、炼焦和核燃料加工业规模以上工业企业销售费用,化学原料和化学制品制造业规模以上工业企业销售费用,医药制造业规模以上工业企业销售费用,化学纤维制造业规模以上工业企业销售费用,橡胶和塑料制品业规模以上工业企业销售费用,非金属矿物制品业规模以上工业企业销售费用,黑色金属冶炼和压延加工业规模以上工业企业销售费用,有色金属冶炼和压延加工业规模以上工业企业销售费用,金属制品业规模以上工业企业销售费用,通用设备制造业规模以上工业企业销售费用,专用设备制造业规模以上工业企业销售费用,汽车制造业规模以上工业企业销售费用,铁路、船舶、航空航天和其他运输设备规模以上工业企业销售费用,电气机械和器材制造业规模以上工业企业销售费用,计算机、通信和其他电子设备制造业规模以上工业企业销售费用,仪器仪表制造业规模以上工业企业销售费用,其他制造业规模以上工业企业销售费用,废弃资源综合利用业规模以上工业企业销售费用,金属制品、机械和设备修理业规模以上工业企业销售费用,电力、热力生产和供应业规模以上工业企业销售费用,燃气生产和供应业规模以上工业企业销售费用,水的生产和供应业规模以上工业企业销售费用
2019,31362.39,569.16,38.84,71.91,38.61,179.83,4.75,1.21,1102.45,1727.86,1284.76,157.72,452.3,567.83,300.48,195.47,305.02,416.57,193.2,333.9,403.9,2064.42,4907.01,90.96,768.28,1911.35,694.78,403.92,800.89,1381.66,1344.28,2275.98,304.44,2504.31,2573.4,401.01,53.99,51.55,14.01,69.71,237.63,163.05
2018,31007.85,575.8,35.6,70.3,47.8,163.0,3.7,1.4,1172.1,1548.9,1271.3,163.6,464.2,669.4,312.3,227.1,298.7,411.8,177.6,347.9,433.0,2357.1,4803.4,88.2,726.3,1606.0,668.5,390.2,762.1,1292.6,1233.6,2399.7,269.5,2517.9,2504.0,379.6,49.0,43.9,12.4,70.7,203.0,151.1
2017,31343.83,606.33,42.18,75.08,66.75,184.1,4.62,2.25,1347.34,1621.48,1260.3,159.31,562.6,719.49,330.4,302.81,339.96,432.58,204.94,397.76,418.6,2420.9,3812.72,102.08,815.75,1795.18,764.1,452.65,795.74,1377.2,1253.69,2422.68,318.79,2548.55,2458.11,387.4,62.39,49.01,11.51,90.23,188.04,138.18
2016,31174.87,624.96,38.05,97.89,80.71,214.91,5.44,1.68,1461.46,1684.7,1404.18,152.37,599.37,769.25,345.64,334.68,322.56,418.33,204.57,389.56,376.45,2596.26,3323.95,101.61,803.25,1741.05,810.97,425.64,819.9,1398.3,1177.79,2307.62,331.22,2539.9,2380.14,356.89,66.82,45.23,17.58,110.26,166.57,127.16
2015,29150.24,708.95,46.14,117.74,83.27,204.11,5.15,1.58,1375.55,1575.42,1292.13,149.15,573.18,743.12,342.04,322.2,291.39,378.56,192.16,359.87,357.81,2506.92,2959.88,82.08,761.75,1637.6,796.38,425.97,775.02,1350.04,1073.8,2015.42,324.1,2378.88,2075.4,351.3,69.59,39.11,13.19,117.63,166.22,110.43
2014,28001.07,809.48,48.83,151.45,86.18,197.02,5.82,1.77,1306.33,1439.57,1283.99,146.34,556.18,699.2,334.94,309.78,257.5,373.44,172.23,318.98,364.95,2361.23,2719.26,75.98,713.8,1556.25,792.49,416.1,726.2,1329.17,1024.32,2081.34,317.38,2355.86,1862.26,306.32,64.17,35.4,12.26,152.4,134.38,100.52
2013,25945.22,856.52,48.52,149.22,82.25,180.16,6.04,1.23,1281.2,1375.51,1230.06,154.2,506.27,661.8,312.07,279.14,231.61,354.14,151.62,278.19,333.43,2081.34,2357.13,68.35,657.32,1412.88,749.14,386.26,669.35,1245.28,980.6,1942.59,273.33,2133.19,1761.03,267.43,59.68,35.52,19.31,166.08,115.52,90.69
2012,22908.73516,908.33554,47.06284,139.69792,78.5822,147.53513,13.05187,0.88547,1082.85903,1209.66528,1064.72322,153.21105,458.55783,625.93537,283.67961,238.79246,191.30155,332.87919,119.22971,216.6902,309.90273,1893.3211,1977.39418,62.1968,578.19374,1210.84697,694.85352,331.95663,574.95118,1097.13368,881.90968,1577.89356,260.88295,1864.44658,1583.00905,238.41092,50.85382,29.08444,18.62101,175.92378,102.52967,81.7437
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
