年份,规模以上工业企业负债合计,煤炭开采和洗选业规模以上工业企业负债合计,石油和天然气开采业规模以上工业企业负债合计,黑色金属矿采选业规模以上工业企业负债合计,有色金属矿采选业规模以上工业企业负债合计,非金属矿采选业规模以上工业企业负债合计,开采辅助活动规模以上工业企业负债合计,其他采矿业规模以上工业企业负债合计,农副食品加工业规模以上工业企业负债合计,食品制造业规模以上工业企业负债合计,酒、饮料和精制茶制造业规模以上工业企业负债合计,烟草制品业规模以上工业企业负债合计,纺织业规模以上工业企业负债合计,纺织服装、服饰业规模以上工业企业负债合计,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业负债合计,木材加工和木、竹、藤、棕、草制品业规模以上工业企业负债合计,家具制造业规模以上工业企业负债合计,造纸和纸制品业规模以上工业企业负债合计,印刷和记录媒介复制业规模以上工业企业负债合计,文教、工美、体育和娱乐用品制造业规模以上工业企业负债合计,石油加工、炼焦和核燃料加工业规模以上工业企业负债合计,化学原料和化学制品制造业规模以上工业企业负债合计,医药制造业规模以上工业企业负债合计,化学纤维制造业规模以上工业企业负债合计,橡胶和塑料制品业规模以上工业企业负债合计,非金属矿物制品业规模以上工业企业负债合计,黑色金属冶炼和压延加工业规模以上工业企业负债合计,有色金属冶炼和压延加工业规模以上工业企业负债合计,金属制品业规模以上工业企业负债合计,通用设备制造业规模以上工业企业负债合计,专用设备制造业规模以上工业企业负债合计,汽车制造业规模以上工业企业负债合计,铁路、船舶、航空航天和其他运输设备规模以上工业企业负债合计,电气机械和器材制造业规模以上工业企业负债合计,计算机、通信和其他电子设备制造业规模以上工业企业负债合计,仪器仪表制造业规模以上工业企业负债合计,其他制造业规模以上工业企业负债合计,废弃资源综合利用业规模以上工业企业负债合计,金属制品、机械和设备修理业规模以上工业企业负债合计,电力、热力生产和供应业规模以上工业企业负债合计,燃气生产和供应业规模以上工业企业负债合计,水的生产和供应业规模以上工业企业负债合计
2019,681085.09,34324.85,10415.69,5743.55,3194.2,2115.59,1827.6,10.14,16998.18,7912.86,7492.4,2332.67,11128.82,5730.69,3238.43,2678.51,3164.82,8664.3,2717.85,4608.09,23049.38,40292.67,14006.04,5002.4,11646.59,29870.58,40816.69,26431.79,16745.79,23841.32,22672.79,48535.39,14410.58,39315.92,64765.2,4676.18,1317.75,1831.25,1148.11,98522.93,7409.09,10477.4
2018,653871.34,36170.9,8048.3,6024.7,3252.4,1701.7,1316.9,11.1,16845.9,7180.8,7438.5,2619.6,12324.0,6075.6,3103.3,2565.8,2900.0,8491.7,2576.0,4604.3,20354.6,41512.1,13744.7,4648.7,11199.1,26098.9,38201.6,25428.5,15077.8,22516.1,22180.4,46896.2,9764.8,39665.0,59144.5,4378.9,702.9,1477.6,975.0,89938.1,6080.3,8037.0
2017,628016.3,36170.03,8905.47,5369.21,3206.35,1698.41,1274.29,14.32,16361.58,6982.99,7263.72,2496.21,12156.75,6054.01,3167.95,2541.44,2759.78,8189.1,2542.04,4442.37,17843.76,42089.14,12447.21,4345.97,11380.43,26444.76,41726.48,25601.91,13893.7,21950.13,21339.85,45058.26,14209.44,37564.26,51002.64,4749.06,1445.38,1495.09,943.87,88130.28,5368.39,7390.26
2016,606641.53,37110.0,9204.61,5467.77,3140.91,1881.99,1407.79,9.61,16672.25,6830.5,7361.05,2625.08,12680.72,6334.57,3327.29,2632.3,2722.13,7735.49,2553.04,4464.81,17296.94,42165.23,11604.91,4073.37,10601.71,25923.82,42176.72,25449.77,13326.98,22481.1,19218.4,39986.24,14955.46,35099.69,45503.52,3875.7,1268.76,1288.78,1456.1,83572.31,4623.02,6531.09
2015,579310.47,36955.15,9639.93,6126.44,3055.33,1903.75,1468.38,5.07,16637.94,6570.94,7054.92,2341.17,12686.46,6137.11,3305.8,2701.13,2489.64,7962.71,2408.4,4294.83,16461.74,41378.31,10399.81,4018.15,10334.3,25725.1,43762.63,24594.53,13367.84,21855.18,18817.64,34595.23,14259.2,32322.06,38631.6,3609.18,1336.67,1202.04,752.74,77834.19,4293.84,6013.36
2014,547031.43,34631.81,9425.6,5825.44,2698.52,1726.03,1426.03,4.99,16218.05,6158.94,6489.28,1822.26,12838.78,5880.7,3246.0,2552.02,2321.07,7647.12,2341.32,4111.96,16350.22,39666.58,9437.87,4008.63,10034.53,24935.0,42952.27,23061.39,13198.74,21366.13,18023.12,30073.43,13554.77,30138.57,35172.49,3449.67,1267.84,1195.52,627.1,72557.12,3575.87,5018.65
2013,505694.32,31775.22,8884.92,5220.7,2355.79,1534.99,1528.19,4.65,14915.12,5639.13,6253.8,2025.08,12406.29,5552.87,3098.76,2329.49,2132.39,7398.12,2217.49,3411.83,15299.92,35600.54,8112.3,3942.19,9490.53,22711.8,43674.87,20748.08,11770.21,19670.94,16994.26,26885.89,13151.57,27371.48,30565.84,3117.09,1223.38,1104.86,685.33,67772.25,2883.92,4232.24
2012,445371.75,27205.07307,8250.36752,4455.04514,1997.97446,1235.90601,1330.40615,4.28683,12745.29368,4836.06217,5392.42601,1770.49732,11460.77804,5137.8251,2709.28197,2002.09815,1869.81351,6882.27945,1816.65045,2716.83043,13615.34666,30351.34852,6902.8281,3605.60082,8502.414,19406.19561,39123.47427,17690.75767,10620.84466,17400.99613,14679.92992,22744.75941,12399.98506,24540.17531,27011.61473,2835.67968,944.65259,924.37993,678.7444,61410.30077,2547.02151,3615.79992
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
