年份,中国对非洲劳务合作年末在外人员,中国对阿尔及利亚劳务合作年末在外人员,中国对安哥拉劳务合作年末在外人员,中国对贝宁劳务合作年末在外人员,中国对博茨瓦纳劳务合作年末在外人员,中国对布隆迪劳务合作年末在外人员,中国对喀麦隆劳务合作年末在外人员,中国对加那利群岛劳务合作年末在外人员,中国对佛得角劳务合作年末在外人员,中国对中非劳务合作年末在外人员,中国对塞卜泰(休达)劳务合作年末在外人员,中国对乍得劳务合作年末在外人员,中国对科摩罗劳务合作年末在外人员,中国对刚果(布)劳务合作年末在外人员,中国对吉布提劳务合作年末在外人员,中国对埃及劳务合作年末在外人员,中国对赤道几内亚劳务合作年末在外人员,中国对埃塞俄比亚劳务合作年末在外人员,中国对加蓬劳务合作年末在外人员,中国对冈比亚劳务合作年末在外人员,中国对加纳劳务合作年末在外人员,中国对几内亚劳务合作年末在外人员,中国对几内亚(比绍)劳务合作年末在外人员,中国对科特迪瓦劳务合作年末在外人员,中国对肯尼亚劳务合作年末在外人员,中国对利比里亚劳务合作年末在外人员,中国对利比亚劳务合作年末在外人员,中国对马达加斯加劳务合作年末在外人员,中国对马拉维劳务合作年末在外人员,中国对马里劳务合作年末在外人员,中国对毛里塔尼亚劳务合作年末在外人员,中国对毛里求斯劳务合作年末在外人员,中国对摩洛哥劳务合作年末在外人员,中国对莫桑比克劳务合作年末在外人员,中国对纳米比亚劳务合作年末在外人员,中国对尼日尔劳务合作年末在外人员,中国对尼日利亚劳务合作年末在外人员,中国对留尼汪劳务合作年末在外人员,中国对卢旺达劳务合作年末在外人员,中国对圣多美和普林西比劳务合作年末在外人员,中国对塞内加尔劳务合作年末在外人员,中国对塞舌尔劳务合作年末在外人员,中国对塞拉利昂劳务合作年末在外人员,中国对索马里劳务合作年末在外人员,中国对南非劳务合作年末在外人员,中国对西撒哈拉劳务合作年末在外人员,中国对苏丹劳务合作年末在外人员,中国对坦桑尼亚劳务合作年末在外人员,中国对多哥劳务合作年末在外人员,中国对突尼斯劳务合作年末在外人员,中国对乌干达劳务合作年末在外人员,中国对布基纳法索劳务合作年末在外人员,中国对刚果(金)劳务合作年末在外人员,中国对赞比亚劳务合作年末在外人员,中国对津巴布韦劳务合作年末在外人员,中国对莱索托劳务合作年末在外人员,中国对梅利利亚劳务合作年末在外人员,中国对斯威士兰劳务合作年末在外人员,中国对厄立特里亚劳务合作年末在外人员,中国对马约特岛劳务合作年末在外人员,中国对南苏丹劳务合作年末在外人员,中国对非洲其他国家(地区)劳务合作年末在外人员
2019,62389,14038,12143,156,8,293,117,,,,,147,,1044,320,354,905,1034,295,433,1858,1584,2,150,752,2641,27,322,70,,3644,454,77,930,84,116,4479,,1119,,1055,106,442,,,,2815,765,200,2,2048,,1679,2792,129,577,,,127,,56,
2018,63705,21114,12325,201,30,251,65,,4.0,,,142,,1033,374,26,960,802,302,439,1450,581,1,107,628,3603,3,452,33,,843,605,155,824,87,123,3908,,1099,,859,25,614,,110.0,,1975,749,301,17,1580,,1438,2698,99,481,,,125,,64,
2017,55596,16946,8695,166,29,264,81,,74.0,36.0,,142,,1352,355,1,1069,1027,329,23,1585,554,1,120,432,4885,47,438,44,,829,605,170,740,73,119,3921,,992,,314,27,772,,111.0,,1474,746,397,78,1512,,1182,2052,80,495,,,126,,86,
2016,67438,32966,10030,159,29,268,104,,114.0,,,899,,1372,206,1,1376,839,265,48,948,467,1,108,222,2350,28,394,49,201.0,721,687,172,710,167,118,2882,,897,,242,73,610,,,,1377,736,255,2,1181,,1176,1098,62,625,,,125,,78,
2015,68848,31234,13076,147,29,265,118,,135.0,,,740,,921,,1,1623,588,300,28,1309,463,1,106,167,3215,7,383,26,221.0,457,1124,180,665,143,114,1993,,736,,156,214,548,,,,1917,779,129,2,1027,,1253,1142,146,858,,,125,,37,
2014,61532,25276,11804,151,31,59,104,,183.0,,,402,,2195,24,,1665,753,309,,974,252,1,105,122,3637,38,366,21,259.0,454,1203,195,526,101,110,1633,,239,,116,192,588,,832.0,,1779,695,131,4,311,1.0,633,1913,42,852,,3.0,126,,122,
2013,45948,14837,12679,124,31,29,148,,221.0,,,57,,2053,2,,1384,684,312,,821,146,1,77,60,1771,65,359,11,213.0,402,1344,188,254,,38,1647,,164,,115,84,481,,1456.0,,694,576,107,4,169,1.0,391,858,30,738,,4.0,114,,4,
2012,37910,9061,11699,36,60,22,123,,1443.0,,,80,,349,2,,1490,503,341,,473,119,1,27,46,1788,,100,1,169.0,561,2892,206,119,,33,1836,,127,,146,84,434,,1114.0,,69,322,118,8,122,1.0,47,730,35,645,,12.0,280,,,
2011,29041,4704,8534,73,109,13,27,,651.0,,,36,,705,2,67,1126,212,274,,81,41,,14,114,684,,212,,74.0,476,4931,179,139,4,13,2315,,69,,32,68,59,,850.0,,138,329,53,6,100,,27,516,28,522,,177.0,256,,1,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
