年份,中国对大洋洲及太平洋岛屿劳务合作年末在外人员,中国对澳大利亚劳务合作年末在外人员,中国对库克群岛劳务合作年末在外人员,中国对斐济劳务合作年末在外人员,中国对盖比群岛劳务合作年末在外人员,中国对瑙鲁劳务合作年末在外人员,中国对新喀里多尼亚劳务合作年末在外人员,中国对瓦努阿图劳务合作年末在外人员,中国对新西兰劳务合作年末在外人员,中国对诺福克岛劳务合作年末在外人员,中国对巴布亚新几内亚劳务合作年末在外人员,中国对社会群岛劳务合作年末在外人员,中国对所罗门群岛劳务合作年末在外人员,中国对汤加劳务合作年末在外人员,中国对土布艾群岛劳务合作年末在外人员,中国对萨摩亚劳务合作年末在外人员,中国对基里巴斯劳务合作年末在外人员,中国对图瓦卢劳务合作年末在外人员,中国对密克罗尼西亚劳务合作年末在外人员,中国对马绍尔群岛劳务合作年末在外人员,中国对帕劳共和国劳务合作年末在外人员,中国对法属波利尼西亚劳务合作年末在外人员,中国对瓦利斯和浮图纳劳务合作年末在外人员,中国对大洋洲其他国家(地区)劳务合作年末在外人员
2019,7565,1351,12,64,,0,,151,987,,971,,,,,,0,0,191,3136,0,,,
2018,9548,2644,36,92,,,,364,716,,971,,,,,,0,0,202,3592,0,,,
2017,9898,1265,27,477,,,,369,188,,503,,,13.0,,1043.0,0,0,235,4281,0,,,
2016,8461,1040,16,1395,,,85.0,350,73,,386,,,13.0,,1037.0,0,0,259,2551,0,,,
2015,8008,871,6,1399,,,140.0,350,62,,38,,,13.0,,1037.0,0,0,29,2922,0,,,
2014,7830,767,,1467,,,285.0,350,59,,49,,,,,1037.0,0,0,59,2664,,,,
2013,5348,823,1,1398,,,285.0,324,83,,13,,,,,1037.0,0,0,150,617,,,,0.0
2012,5237,845,,1251,,,221.0,478,162,,12,,,,,1037.0,0,0,81,645,,,,
2011,3742,906,,871,,,54.0,581,206,,,,,,,1037.0,,,23,64,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,
