年份,中国对欧洲劳务合作年末在外人员,中国对比利时劳务合作年末在外人员,中国对丹麦劳务合作年末在外人员,中国对英国劳务合作年末在外人员,中国对德国劳务合作年末在外人员,中国对法国劳务合作年末在外人员,中国对爱尔兰劳务合作年末在外人员,中国对意大利劳务合作年末在外人员,中国对卢森堡劳务合作年末在外人员,中国对荷兰劳务合作年末在外人员,中国对希腊劳务合作年末在外人员,中国对葡萄牙劳务合作年末在外人员,中国对西班牙劳务合作年末在外人员,中国对阿尔巴尼亚劳务合作年末在外人员,中国对安道尔劳务合作年末在外人员,中国对奥地利劳务合作年末在外人员,中国对保加利亚劳务合作年末在外人员,中国对芬兰劳务合作年末在外人员,中国对直布罗陀劳务合作年末在外人员_x,中国对匈牙利劳务合作年末在外人员,中国对冰岛劳务合作年末在外人员,中国对直布罗陀劳务合作年末在外人员_y,中国对马耳他劳务合作年末在外人员,中国对摩纳哥劳务合作年末在外人员,中国对挪威劳务合作年末在外人员,中国对波兰劳务合作年末在外人员,中国对罗马尼亚劳务合作年末在外人员,中国对圣马力诺劳务合作年末在外人员,中国对瑞典劳务合作年末在外人员,中国对瑞士劳务合作年末在外人员,中国对爱沙尼亚劳务合作年末在外人员,中国对拉脱维亚劳务合作年末在外人员,中国对立陶宛劳务合作年末在外人员,中国对格鲁吉亚劳务合作年末在外人员,中国对亚美尼亚劳务合作年末在外人员,中国对阿塞拜疆劳务合作年末在外人员,中国对白俄罗斯劳务合作年末在外人员,中国对摩尔多瓦劳务合作年末在外人员,中国对俄罗斯劳务合作年末在外人员,中国对乌克兰劳务合作年末在外人员,中国对斯洛文尼亚劳务合作年末在外人员,中国对克罗地亚劳务合作年末在外人员,中国对捷克劳务合作年末在外人员,中国对斯洛伐克劳务合作年末在外人员,中国对马其顿共和国劳务合作年末在外人员,中国对波斯尼亚-黑塞哥维那劳务合作年末在外人员,中国对梵蒂冈城国劳务合作年末在外人员,中国对法罗群岛劳务合作年末在外人员,中国对塞尔维亚劳务合作年末在外人员,中国对黑山劳务合作年末在外人员
2019,16888,29,123,1334,6451,117,79,1224,,464,937,12,26,293,,22,,1,0,3,12,0,354,186,250,19,,,16,812,,0,15,,,,19,,3916,15,,,5,,12,14,,,32,
2018,14394,31,142,822,5633,2,,816,0.0,389,703,11,8,246,,,,3,0,,12,0,499,13,244,41,,,5,389,,0,12,,,,11,,4123,2,,,,,11,8,,,,0.0
2017,20142,32,76,1220,4905,2,,1256,,316,290,13,7,,,,,13,0,4,9,0,1012,20,521,51,,,16,123,,,2,550.0,,,12,,9433,2,,0.0,,,,,,,11,0.0
2016,19962,2,62,785,5090,24,,650,,284,145,1,7,,,,,18,0,4,1,0,580,24,548,23,,,50,49,,,3,550.0,,,25,,10916,,,0.0,,,,,,,12,0.0
2015,20970,2,56,989,4181,22,,661,,286,179,2,,,,,,5,0,4,,0,355,8,534,24,,,37,,,,5,550.0,,,20,,12781,,,0.0,,,,,,,12,0.0
2014,20295,1,69,961,3622,25,1,630,,267,97,,,,,,,2,,4,,,456,,550,20,,,31,2,,,,230.0,,,29,,13110,,4.0,0.0,,,,,,,13,
2013,15569,1,59,909,3266,22,1,344,,345,81,,,,,,,2,,4,,,233,,348,17,,,18,2,,,,,,,19,,9819,37,10.0,0.0,,,,,,,1,
2012,24990,,57,1218,4941,24,,188,,2159,260,,,,,,,21,,4,,,242,,421,21,15.0,,25,2,,,,,,,374,,14734,37,13.0,,,,,,,,1,
2011,27421,,7,1027,4978,61,174,143,,2176,332,,,,,,,25,,4,,,201,3,260,138,15.0,,29,2,,,53,,,1.0,209,,17527,37,13.0,,4,1.0,,,,,1,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
