省份编码,省份,年份,企业法人单位数(个),内资企业法人单位数(个),国有企业法人单位数(个),集体企业法人单位数(个),股份合作企业法人单位数(个),联营企业法人单位数(个),有限责任公司法人单位数(个),股份有限公司法人单位数(个),私营企业法人单位数(个),港、澳、台商投资企业法人单位数(个),外商投资企业单位法人单位数(个)
110000,北京市,2019,870824,856934,3210,8463,5544,301,70535,4057,764432,5304,8586
110000,北京市,2018,,,,,,,,,,,
110000,北京市,2017,676829,660700,5834,10630,13470,566,160269,6177,462638,6392,9737
110000,北京市,2016,669663,653585,6034,10721,13537,569,158070,5952,456468,6382,9696
110000,北京市,2015,663135,646916,6117,10818,13588,574,155997,5583,452038,6412,9807
110000,北京市,2014,619279,603677,6467,10944,14299,1066,148752,5248,413407,6017,9585
110000,北京市,2013,,,,,,,,,,,
110000,北京市,2012,374051,358611,7211,11718,15286,426,65821,5096,252528,5578,9862
110000,北京市,2011,360799,346189,7300,11765,15251,428,63847,5078,241920,5141,9469
110000,北京市,2010,353802,339727,7499,11924,15435,443,62807,5113,235894,4824,9251
110000,北京市,2009,,,,,,,,,,,
110000,北京市,2008,,,,,,,,,,,
110000,北京市,2007,,,,,,,,,,,
110000,北京市,2006,,,,,,,,,,,
110000,北京市,2005,,,,,,,,,,,
110000,北京市,2004,,,,,,,,,,,
110000,北京市,2003,,,,,,,,,,,
110000,北京市,2002,,,,,,,,,,,
110000,北京市,2001,,,,,,,,,,,
110000,北京市,2000,,,,,,,,,,,
120000,天津市,2019,293307,286737,1586,1835,339,118,39584,2920,238555,2665,3905
120000,天津市,2018,,,,,,,,,,,
120000,天津市,2017,414784,406023,3034,3837,834,834,89797,2884,284687,3236,5525
120000,天津市,2016,362508,353620,3432,4339,916,960,74700,3000,247956,3024,5864
120000,天津市,2015,296954,288883,3504,4386,899,969,62555,2853,195361,2457,5614
120000,天津市,2014,240190,232672,3586,4543,891,973,52580,2699,152733,2156,5362
120000,天津市,2013,,,,,,,,,,,
120000,天津市,2012,187579,179987,4336,5399,1055,313,24533,2136,133282,1997,5595
120000,天津市,2011,166426,159125,4219,5396,1034,311,20693,2018,117845,1886,5415
120000,天津市,2010,149382,142452,4183,5517,996,309,16807,1809,105128,1768,5162
120000,天津市,2009,,,,,,,,,,,
120000,天津市,2008,,,,,,,,,,,
120000,天津市,2007,,,,,,,,,,,
120000,天津市,2006,,,,,,,,,,,
120000,天津市,2005,,,,,,,,,,,
120000,天津市,2004,,,,,,,,,,,
120000,天津市,2003,,,,,,,,,,,
120000,天津市,2002,,,,,,,,,,,
120000,天津市,2001,,,,,,,,,,,
120000,天津市,2000,,,,,,,,,,,
130000,河北省,2019,1108146,1105365,3195,5646,905,84,48526,2687,1041796,940,1841
130000,河北省,2018,,,,,,,,,,,
130000,河北省,2017,954073,951283,4350,6307,1448,210,87485,4778,822090,966,1824
130000,河北省,2016,611099,608689,4274,5140,2325,367,135881,8912,417040,868,1542
130000,河北省,2015,487926,485566,4559,6113,2221,393,107065,7284,305049,817,1543
130000,河北省,2014,388801,386376,4814,6702,2148,438,87056,6412,241217,850,1575
130000,河北省,2013,,,,,,,,,,,
130000,河北省,2012,278564,276110,5795,7418,2369,382,44066,7491,188109,782,1672
130000,河北省,2011,252808,250362,5947,7881,2240,409,38979,7389,169923,752,1694
130000,河北省,2010,234754,232307,6082,8651,2061,448,31945,6669,162293,759,1688
130000,河北省,2009,,,,,,,,,,,
130000,河北省,2008,,,,,,,,,,,
130000,河北省,2007,,,,,,,,,,,
130000,河北省,2006,,,,,,,,,,,
130000,河北省,2005,,,,,,,,,,,
130000,河北省,2004,,,,,,,,,,,
130000,河北省,2003,,,,,,,,,,,
130000,河北省,2002,,,,,,,,,,,
130000,河北省,2001,,,,,,,,,,,
130000,河北省,2000,,,,,,,,,,,
140000,山西省,2019,470657,469985,2954,3640,68,59,18161,1516,443537,256,416
140000,山西省,2018,,,,,,,,,,,
140000,山西省,2017,429757,428996,5278,4918,228,110,21763,1585,390365,288,473
140000,山西省,2016,336910,336396,5023,4038,387,221,32175,2441,281809,213,301
140000,山西省,2015,243379,242881,4975,3949,377,199,27586,2299,184841,197,301
140000,山西省,2014,171179,170706,4610,3885,357,192,21967,2073,124663,189,284
140000,山西省,2013,,,,,,,,,,,
140000,山西省,2012,159461,158984,6005,5813,1178,305,21840,4301,93984,191,286
140000,山西省,2011,140229,139755,5921,5963,1222,316,20087,4264,78457,197,277
140000,山西省,2010,127218,126731,6005,6343,1284,324,16553,4424,71821,196,291
140000,山西省,2009,,,,,,,,,,,
140000,山西省,2008,,,,,,,,,,,
140000,山西省,2007,,,,,,,,,,,
140000,山西省,2006,,,,,,,,,,,
140000,山西省,2005,,,,,,,,,,,
140000,山西省,2004,,,,,,,,,,,
140000,山西省,2003,,,,,,,,,,,
140000,山西省,2002,,,,,,,,,,,
140000,山西省,2001,,,,,,,,,,,
140000,山西省,2000,,,,,,,,,,,
150000,内蒙古自治区,2019,271654,271163,1112,658,97,47,28472,1629,238959,177,314
150000,内蒙古自治区,2018,,,,,,,,,,,
150000,内蒙古自治区,2017,222801,222251,2366,976,525,143,38564,2866,166401,221,329
150000,内蒙古自治区,2016,183081,182594,2461,920,637,189,51150,3278,106821,203,284
150000,内蒙古自治区,2015,155636,155149,2387,963,640,166,41790,3016,85557,196,291
150000,内蒙古自治区,2014,134578,134092,2341,958,612,168,36953,2893,73318,194,292
150000,内蒙古自治区,2013,,,,,,,,,,,
150000,内蒙古自治区,2012,105156,104608,2590,1482,1177,107,25601,2936,64180,186,362
150000,内蒙古自治区,2011,97871,97324,2544,1519,1124,109,22517,2827,61101,173,374
150000,内蒙古自治区,2010,89791,89263,2505,1563,752,112,19528,2722,57611,163,365
150000,内蒙古自治区,2009,,,,,,,,,,,
150000,内蒙古自治区,2008,,,,,,,,,,,
150000,内蒙古自治区,2007,,,,,,,,,,,
150000,内蒙古自治区,2006,,,,,,,,,,,
150000,内蒙古自治区,2005,,,,,,,,,,,
150000,内蒙古自治区,2004,,,,,,,,,,,
150000,内蒙古自治区,2003,,,,,,,,,,,
150000,内蒙古自治区,2002,,,,,,,,,,,
150000,内蒙古自治区,2001,,,,,,,,,,,
150000,内蒙古自治区,2000,,,,,,,,,,,
210000,辽宁省,2019,514311,508814,3270,6263,1035,251,70373,7217,419572,1575,3922
210000,辽宁省,2018,,,,,,,,,,,
210000,辽宁省,2017,543275,534957,6607,10366,2427,586,99561,7694,379806,2254,6064
210000,辽宁省,2016,488742,480365,6960,10958,2460,620,92527,7518,333327,2236,6141
210000,辽宁省,2015,453377,444871,7285,11480,2499,645,85347,7299,301568,2249,6257
210000,辽宁省,2014,401336,392813,7242,11622,2493,666,75259,7156,264051,2261,6262
210000,辽宁省,2013,,,,,,,,,,,
210000,辽宁省,2012,370163,359978,10093,16006,3934,503,51278,5814,252708,2380,7805
210000,辽宁省,2011,312648,302859,9556,15992,3808,439,44469,4977,210646,2285,7504
210000,辽宁省,2010,293675,283904,9619,16424,3889,419,41059,4737,196983,2183,7588
210000,辽宁省,2009,,,,,,,,,,,
210000,辽宁省,2008,,,,,,,,,,,
210000,辽宁省,2007,,,,,,,,,,,
210000,辽宁省,2006,,,,,,,,,,,
210000,辽宁省,2005,,,,,,,,,,,
210000,辽宁省,2004,,,,,,,,,,,
210000,辽宁省,2003,,,,,,,,,,,
210000,辽宁省,2002,,,,,,,,,,,
210000,辽宁省,2001,,,,,,,,,,,
210000,辽宁省,2000,,,,,,,,,,,
220000,吉林省,2019,142289,141588,1465,910,131,60,29084,3108,106372,192,509
220000,吉林省,2018,,,,,,,,,,,
220000,吉林省,2017,141199,140094,2993,1904,525,185,30179,3131,94996,292,813
220000,吉林省,2016,132492,131435,3006,1720,641,219,34812,3330,76492,287,770
220000,吉林省,2015,123843,122799,3045,1745,630,223,30270,3239,69886,265,779
220000,吉林省,2014,113983,112950,2953,1746,616,224,27403,3230,63256,260,773
220000,吉林省,2013,,,,,,,,,,,
220000,吉林省,2012,90302,89393,3057,2141,532,199,16781,2407,58010,202,707
220000,吉林省,2011,82914,82010,3032,2193,509,211,13755,2278,55404,204,700
220000,吉林省,2010,75975,75083,3033,2253,500,205,11404,2230,52437,184,708
220000,吉林省,2009,,,,,,,,,,,
220000,吉林省,2008,,,,,,,,,,,
220000,吉林省,2007,,,,,,,,,,,
220000,吉林省,2006,,,,,,,,,,,
220000,吉林省,2005,,,,,,,,,,,
220000,吉林省,2004,,,,,,,,,,,
220000,吉林省,2003,,,,,,,,,,,
220000,吉林省,2002,,,,,,,,,,,
220000,吉林省,2001,,,,,,,,,,,
220000,吉林省,2000,,,,,,,,,,,
230000,黑龙江省,2019,193326,192660,2506,1590,472,102,21020,2758,164136,247,419
230000,黑龙江省,2018,,,,,,,,,,,
230000,黑龙江省,2017,223467,222219,4671,3028,1365,201,25823,2385,177590,432,816
230000,黑龙江省,2016,158568,157619,4510,2562,1461,371,45346,4150,85377,368,581
230000,黑龙江省,2015,149370,148500,4506,2542,1482,378,41105,4098,69828,337,533
230000,黑龙江省,2014,132421,131484,4632,2700,1566,375,36986,3928,60473,345,592
230000,黑龙江省,2013,,,,,,,,,,,
230000,黑龙江省,2012,134426,133460,5880,4382,1989,344,24990,5073,80634,326,640
230000,黑龙江省,2011,130121,129172,5936,4547,2035,318,23273,4588,79173,315,634
230000,黑龙江省,2010,122302,121391,5837,4646,2010,316,20689,4205,74914,303,608
230000,黑龙江省,2009,,,,,,,,,,,
230000,黑龙江省,2008,,,,,,,,,,,
230000,黑龙江省,2007,,,,,,,,,,,
230000,黑龙江省,2006,,,,,,,,,,,
230000,黑龙江省,2005,,,,,,,,,,,
230000,黑龙江省,2004,,,,,,,,,,,
230000,黑龙江省,2003,,,,,,,,,,,
230000,黑龙江省,2002,,,,,,,,,,,
230000,黑龙江省,2001,,,,,,,,,,,
230000,黑龙江省,2000,,,,,,,,,,,
310000,上海市,2019,447643,417104,1335,2895,891,239,59605,2953,348461,12153,18386
310000,上海市,2018,,,,,,,,,,,
310000,上海市,2017,453393,417803,2679,5927,1897,603,35531,2386,366776,13542,22048
310000,上海市,2016,432697,397808,2770,5914,1909,615,34298,2224,348067,13398,21491
310000,上海市,2015,417855,383248,2836,5883,1887,620,32824,2027,334896,13198,21409
310000,上海市,2014,403109,369549,2781,5849,1874,621,31440,1891,323012,12616,20944
310000,上海市,2013,,,,,,,,,,,
310000,上海市,2012,427928,385872,5371,8747,2443,867,26507,1942,337337,15114,26942
310000,上海市,2011,397868,360713,5396,8997,2439,883,21437,1838,317345,13066,24089
310000,上海市,2010,375023,342196,5590,9376,2468,928,17722,1741,302714,11248,21579
310000,上海市,2009,,,,,,,,,,,
310000,上海市,2008,,,,,,,,,,,
310000,上海市,2007,,,,,,,,,,,
310000,上海市,2006,,,,,,,,,,,
310000,上海市,2005,,,,,,,,,,,
310000,上海市,2004,,,,,,,,,,,
310000,上海市,2003,,,,,,,,,,,
310000,上海市,2002,,,,,,,,,,,
310000,上海市,2001,,,,,,,,,,,
310000,上海市,2000,,,,,,,,,,,
320000,江苏省,2019,2119006,2087773,4220,6577,1351,374,100748,12321,1958344,13103,18130
320000,江苏省,2018,,,,,,,,,,,
320000,江苏省,2017,2148335,2110538,8045,11809,3054,992,118480,10324,1918712,15840,21957
320000,江苏省,2016,1717140,1683283,6990,10342,3115,1580,141409,13429,1453329,13720,20137
320000,江苏省,2015,1388252,1354625,6965,10305,3264,1612,111278,12893,1150373,13484,20143
320000,江苏省,2014,1184337,1150633,6929,10874,3394,1706,93115,12104,976131,13464,20240
320000,江苏省,2013,,,,,,,,,,,
320000,江苏省,2012,977842,946809,7389,11850,4101,854,54046,11355,817146,11984,19049
320000,江苏省,2011,865414,835618,7081,11954,4051,802,46095,10311,724881,11504,18292
320000,江苏省,2010,756400,727701,7017,12879,4063,723,40135,9031,632068,11097,17602
320000,江苏省,2009,,,,,,,,,,,
320000,江苏省,2008,,,,,,,,,,,
320000,江苏省,2007,,,,,,,,,,,
320000,江苏省,2006,,,,,,,,,,,
320000,江苏省,2005,,,,,,,,,,,
320000,江苏省,2004,,,,,,,,,,,
320000,江苏省,2003,,,,,,,,,,,
320000,江苏省,2002,,,,,,,,,,,
320000,江苏省,2001,,,,,,,,,,,
320000,江苏省,2000,,,,,,,,,,,
330000,浙江省,2019,1719850,1694976,1970,5858,8281,82,42241,3655,1632403,9211,15663
330000,浙江省,2018,,,,,,,,,,,
330000,浙江省,2017,1599310,1573737,3100,10792,8528,304,62931,5531,1476631,11461,14112
330000,浙江省,2016,1307844,1285556,3177,9705,8413,312,65525,5143,1189853,10663,11625
330000,浙江省,2015,1189601,1166017,3434,10059,8676,333,63292,4903,1041206,11293,12291
330000,浙江省,2014,1080455,1057529,3418,10126,10437,358,56631,4387,937635,11059,11867
330000,浙江省,2013,,,,,,,,,,,
330000,浙江省,2012,739030,714953,5438,10253,6529,502,53964,4959,612077,10662,13415
330000,浙江省,2011,659000,637074,5371,10352,6736,469,48078,4659,545209,10131,11795
330000,浙江省,2010,570258,549566,5343,10427,6816,450,42459,4409,467318,9575,11117
330000,浙江省,2009,,,,,,,,,,,
330000,浙江省,2008,,,,,,,,,,,
330000,浙江省,2007,,,,,,,,,,,
330000,浙江省,2006,,,,,,,,,,,
330000,浙江省,2005,,,,,,,,,,,
330000,浙江省,2004,,,,,,,,,,,
330000,浙江省,2003,,,,,,,,,,,
330000,浙江省,2002,,,,,,,,,,,
330000,浙江省,2001,,,,,,,,,,,
330000,浙江省,2000,,,,,,,,,,,
340000,安徽省,2019,786202,784292,2486,2838,353,235,108705,5137,663366,853,1057
340000,安徽省,2018,,,,,,,,,,,
340000,安徽省,2017,727017,724092,5422,4390,1905,923,97282,7140,565122,1214,1711
340000,安徽省,2016,518794,516282,5401,3684,2041,977,91939,7311,372145,1081,1431
340000,安徽省,2015,454812,452407,5416,3927,2017,995,78624,6665,306967,1010,1395
340000,安徽省,2014,363443,361113,5271,3831,1922,974,62681,5805,244576,965,1365
340000,安徽省,2013,,,,,,,,,,,
