年份,艾滋病死亡率,新生儿破伤风死亡率,肺结核死亡率,狂犬病死亡率,病毒性肝炎死亡率,流行性出血热死亡率,梅毒死亡率,甲型H1N1流感死亡率,流行性乙型脑炎死亡率,疟疾死亡率,流行性脑脊髓膜炎死亡率,细菌性和阿米巴性痢疾死亡率,麻疹死亡率,钩端螺旋体病死亡率,炭疽死亡率,百日咳死亡率,血吸虫病死亡率,鼠疫死亡率,淋病死亡率,脊髓灰质炎死亡率,猩红热死亡率,人感染高致病性禽流感死亡率,伤寒和副伤寒死亡率,霍乱死亡率,布鲁氏菌病死亡率,登革热死亡率,传染性非典型肺炎死亡率,白喉死亡率
2019,1.5036,0.0003,0.2141,0.0198,0.0412,0.0032,0.003,,0.0009,0.0014,0.0004,0.0001,,0.0001,0.0001,0.0001,,0.0001,,,,,,,0.0001,0.0002,,
2018,1.34594710814879,0.000286676700351,0.225686232351466,0.029384361785996,0.038056331971619,0.006951909983516,0.002795097828424,,0.009675338636852,0.000430015050527,0.000716691750878,0.000143338350176,7.1669175088e-05,7.1669175088e-05,0.000215007525263,7.1669175088e-05,,,0.000143338350176,,,,7.1669175088e-05,,,7.1669175088e-05,,
2017,1.11,0.000217416784783,0.20458919448068,0.036381075320333,0.041526605893528,0.004638224742035,0.003261251771743,,0.005725308665949,0.000434833569566,0.001376972970292,0.0001,0.000362361307971,,0.0002,,,0.0001,0.0001,,,,0.0002,,0.0001,0.0001,,
2016,1.03,0.000216965234937,0.17827310137339,0.042814473027605,0.038836777053757,0.003471443758995,0.00383305248389,,0.003399122014016,0.001157147919665,0.000723217449791,0.000289286979916,0.001301791409623,7.2321744979e-05,0.000144643489958,0.000216965234937,,,7.2321744979e-05,,,7.2321744979e-05,7.2321744979e-05,,0.000144643489958,,,
2015,0.9362,0.0011,0.1673,0.0546,0.0348,0.0046,0.0043,,0.0014,0.0015,0.001,0.0005,0.0023,0.0001,0.0001,0.0001,,,0.0001,,0.0001,0.0002,0.0001,,0.0001,,,
2014,0.8877,0.001,0.1653,0.063,0.038,0.0058,0.0051,,0.0021,0.0018,0.0009,0.0003,0.0021,0.0004,0.0002,0.0001,,0.0002,0.0001,,,0.0001,,,0.0001,0.0004,,
2013,0.8447,0.0031,0.1902,0.0833,0.0546,0.008,0.0051,,0.0047,0.0015,0.0016,0.001,0.0018,0.0004,0.0001,,0.0001,,0.0001,,0.0001,0.0001,0.0002,0.0001,,,,
2012,0.8591,0.0036,0.1976,0.101,0.0554,0.0077,0.0059,0.0002,0.0044,0.0011,0.0018,0.001,0.0006,0.0004,0.0001,0.0001,0.0003,0.0001,0.0001,,0.0001,0.0001,0.0002,,0.0001,,,
2011,0.688,0.003,0.212,0.14,0.062,0.009,0.006,0.006,0.005,0.002,0.002,0.002,0.001,,,,,,,,,,,,,,,
2010,0.5801,0.47,0.2248,0.1509,0.07,0.0088,0.0052,0.011,0.0069,0.001,0.0025,0.0027,0.002,0.0008,0.0004,0.0001,,0.0001,0.0001,,,,0.0002,,0.0001,,,
2009,0.4967,0.0077,0.2849,0.1605,0.0767,0.0078,0.0047,,0.013,0.0008,0.0055,0.0029,0.0029,0.0008,0.0002,0.0001,0.0002,0.0002,,,,,0.0007,,,,,
2008,0.41,0.01,0.21,0.18,0.08,0.01,,,0.01,,0.01,,0.01,,,,,,,,,,,,,,,
2007,0.3,0.01,0.28,0.25,0.09,0.01,,,0.02,,0.01,,0.01,,,,,,,,,,,,,,,
2006,0.1018,0.016,0.2554,0.2459,0.1034,0.0132,0.0066,,0.0354,0.0026,0.0119,,0.0027,0.0012,0.0009,0.0003,,0.0,0.0002,,0.0,,0.0013,0.0002,,,,0.0
2005,0.1006,0.0211,0.2602,0.194,0.0924,0.0207,0.0057,,0.0164,0.0034,0.0158,,0.0042,0.0034,0.0009,0.0002,,0.0002,0.0001,,0.0002,,0.0011,0.0003,0.0003,0.0001,,
2004,0.057,0.25,0.11,0.204,0.082,0.02,0.0027,,0.0148,0.003,0.013,0.011,0.0019,0.0041,0.0005,0.0007,,0.0007,0.0003,,0.0001,,0.002,0.0001,0.0002,0.0,,0.0
2003,0.0281,0.03,0.0821,0.1468,0.0788,0.0128,,,0.0271,,0.0103,,0.0059,,,,,,,,,,,,,,,
2002,0.0225,0.0271,0.0801,0.0865,0.0785,0.0175,0.0015,,0.0171,0.0037,0.01,,0.0103,0.0062,0.0016,,,,,,,,0.0031,,,,,
2001,0.02,2.3,0.05,0.07,0.04,0.02,,,0.02,,0.01,,0.01,0.01,0.07,,,,,,,,,,,,,
2000,0.01,0.03,0.04,0.04,0.04,0.02,,,0.03,,0.01,,0.01,0.01,,,,,,,,,,,,,,
