年份,国有控股工业企业实收资本,煤炭采选业国有控股工业企业实收资本,石油和天然气开采业国有控股工业企业实收资本,黑色金属矿采选业国有控股工业企业实收资本,有色金属矿采选业国有控股工业企业实收资本,非金属矿采选业国有控股工业企业实收资本,其他矿采选业国有控股工业企业实收资本,木材及竹材采运业国有控股工业企业实收资本,食品加工业国有控股工业企业实收资本,食品制造业国有控股工业企业实收资本,饮料制造业国有控股工业企业实收资本,烟草加工业国有控股工业企业实收资本,纺织业国有控股工业企业实收资本,服装及其他纤维制品制造业国有控股工业企业实收资本,皮革、毛皮、羽绒及其制品业国有控股工业企业实收资本,木材加工及竹、藤、棕、草制品业国有控股工业企业实收资本,家具制造业国有控股工业企业实收资本,造纸及纸制品业国有控股工业企业实收资本,印刷业、记录媒介的复制国有控股工业企业实收资本,文教体育用品制造业国有控股工业企业实收资本,石油加工及炼焦业国有控股工业企业实收资本,化学原料及化学制品制造业国有控股工业企业实收资本,医药制造业国有控股工业企业实收资本,化学纤维制造业国有控股工业企业实收资本,橡胶制品业国有控股工业企业实收资本,塑料制品业国有控股工业企业实收资本,非金属矿物制造业国有控股工业企业实收资本,黑色金属冶炼及压延加工业国有控股工业企业实收资本,有色金属冶炼及压延加工业国有控股工业企业实收资本,金属制品业国有控股工业企业实收资本,普通机械制造业国有控股工业企业实收资本,专用设备制造业国有控股工业企业实收资本,交通运输设备制造业国有控股工业企业实收资本,电气机械及器材制造业国有控股工业企业实收资本,电子及通信设备制造业国有控股工业企业实收资本,仪器仪表及文化办公用机械制造业国有控股工业企业实收资本,其它制造业国有控股工业企业实收资本,电力、蒸汽、热水的生产和供应业国有控股工业企业实收资本,煤气生产和供应业国有控股工业企业实收资本,自来水的生产和供应业国有控股工业企业实收资本
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,22268.47715,1499.92556,1775.5393,117.68009,99.78331,174.52878,0.21349,90.60431,272.51439,161.13892,346.17222,331.35136,525.88219,61.58546,20.60643,69.94347,13.79199,277.51131,157.99964,19.52876,950.7325,1590.70865,480.16296,257.02141,114.00972,123.73077,718.63151,1969.75451,540.43741,155.10368,673.57333,489.81369,1868.73363,406.81669,795.42659,125.41127,19.79917,3962.42174,280.10232,564.95421
2001,21780.69704,1142.52253,1785.25963,110.29064,96.00509,172.20113,0.15449,92.59161,305.09824,158.86943,342.00004,335.31826,542.43674,52.88188,25.57917,75.89598,15.15653,256.31637,169.74219,20.87551,889.92511,1500.31189,397.59724,251.50674,118.12915,130.78135,710.34907,2350.2548,564.14878,163.03067,651.88472,469.93982,1759.3594,428.80629,766.35431,121.78759,23.74718,3818.97215,266.24619,542.7926
2000,20156.13739,959.97563,1681.82347,109.04772,105.69748,145.06642,0.2628,99.20457,326.23379,160.70183,309.92164,322.91319,581.74178,55.94896,24.65062,66.93211,16.87283,224.96992,151.01611,20.82369,709.37785,1242.23808,365.09587,314.46711,109.6379,112.61166,708.72578,2181.74398,572.98095,146.65239,632.81577,440.80082,1502.19884,414.61715,706.37789,110.12414,20.80929,3566.93651,255.56515,521.8486
