年份,国有控股工业企业累计折旧,煤炭采选业国有控股工业企业累计折旧,石油和天然气开采业国有控股工业企业累计折旧,黑色金属矿采选业国有控股工业企业累计折旧,有色金属矿采选业国有控股工业企业累计折旧,非金属矿采选业国有控股工业企业累计折旧,其他矿采选业国有控股工业企业累计折旧,木材及竹材采运业国有控股工业企业累计折旧,食品加工业国有控股工业企业累计折旧,食品制造业国有控股工业企业累计折旧,饮料制造业国有控股工业企业累计折旧,烟草加工业国有控股工业企业累计折旧,纺织业国有控股工业企业累计折旧,服装及其他纤维制品制造业国有控股工业企业累计折旧,皮革、毛皮、羽绒及其制品业国有控股工业企业累计折旧,木材加工及竹、藤、棕、草制品业国有控股工业企业累计折旧,家具制造业国有控股工业企业累计折旧,造纸及纸制品业国有控股工业企业累计折旧,印刷业、记录媒介的复制国有控股工业企业累计折旧,文教体育用品制造业国有控股工业企业累计折旧,石油加工及炼焦业国有控股工业企业累计折旧,化学原料及化学制品制造业国有控股工业企业累计折旧,医药制造业国有控股工业企业累计折旧,化学纤维制造业国有控股工业企业累计折旧,橡胶制品业国有控股工业企业累计折旧,塑料制品业国有控股工业企业累计折旧,非金属矿物制造业国有控股工业企业累计折旧,黑色金属冶炼及压延加工业国有控股工业企业累计折旧,有色金属冶炼及压延加工业国有控股工业企业累计折旧,金属制品业国有控股工业企业累计折旧,普通机械制造业国有控股工业企业累计折旧,专用设备制造业国有控股工业企业累计折旧,交通运输设备制造业国有控股工业企业累计折旧,电气机械及器材制造业国有控股工业企业累计折旧,电子及通信设备制造业国有控股工业企业累计折旧,仪器仪表及文化办公用机械制造业国有控股工业企业累计折旧,其它制造业国有控股工业企业累计折旧,电力、蒸汽、热水的生产和供应业国有控股工业企业累计折旧,煤气生产和供应业国有控股工业企业累计折旧,自来水的生产和供应业国有控股工业企业累计折旧
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,23759.26068,1203.69523,3174.31657,60.45437,107.25149,98.43383,0.18345,65.17039,222.52103,112.51327,244.95011,400.69944,520.70653,25.34548,14.28262,50.04539,6.7921,177.62229,132.48198,10.70174,1473.9786,1765.88366,230.65046,269.17377,96.12392,76.46567,603.27442,2625.82803,565.24439,117.13048,556.70608,383.61924,1186.17063,293.12592,504.02024,82.43649,10.36429,5586.19544,134.87909,428.23543
2001,22193.95782,1062.09118,2876.27642,50.5695,108.36672,95.95611,0.17406,63.80595,247.13781,103.21146,225.19149,355.09385,542.11322,29.54083,16.95783,43.19549,7.57949,161.14263,132.22971,9.89469,1364.74329,1622.86772,214.31753,255.58193,101.09157,85.58794,580.67711,2523.58089,522.47734,111.52987,521.85793,387.5664,1128.17296,298.20336,467.94798,85.90676,12.23027,5156.82331,116.48211,371.66152
2000,19656.20081,921.55557,2404.90879,47.85614,104.12814,86.89017,0.21795,66.23808,258.19647,100.45939,214.44629,291.0593,552.48915,29.58904,17.08239,40.44263,6.93048,150.37778,118.46585,9.76908,1146.5805,1508.45718,201.97585,347.56417,93.51497,74.82684,593.77384,2221.9654,476.48769,103.50481,521.13463,387.92878,969.43365,266.74922,425.18804,81.01956,11.27286,4230.94993,112.69996,321.15183
