年份,国有控股工业亏损企业亏损总额,煤炭采选业国有控股工业亏损企业亏损总额,石油和天然气开采业国有控股工业亏损企业亏损总额,黑色金属矿采选业国有控股工业亏损企业亏损总额,有色金属矿采选业国有控股工业亏损企业亏损总额,非金属矿采选业国有控股工业亏损企业亏损总额,其他矿采选业国有控股工业亏损企业亏损总额,木材及竹材采运业国有控股工业亏损企业亏损总额,食品加工业国有控股工业亏损企业亏损总额,食品制造业国有控股工业亏损企业亏损总额,饮料制造业国有控股工业亏损企业亏损总额,烟草加工业国有控股工业亏损企业亏损总额,纺织业国有控股工业亏损企业亏损总额,服装及其他纤维制品制造业国有控股工业亏损企业亏损总额,皮革、毛皮、羽绒及其制品业国有控股工业亏损企业亏损总额,木材加工及竹、藤、棕、草制品业国有控股工业亏损企业亏损总额,家具制造业国有控股工业亏损企业亏损总额,造纸及纸制品业国有控股工业亏损企业亏损总额,印刷业、记录媒介的复制国有控股工业亏损企业亏损总额,文教体育用品制造业国有控股工业亏损企业亏损总额,石油加工及炼焦业国有控股工业亏损企业亏损总额,化学原料及化学制品制造业国有控股工业亏损企业亏损总额,医药制造业国有控股工业亏损企业亏损总额,化学纤维制造业国有控股工业亏损企业亏损总额,橡胶制品业国有控股工业亏损企业亏损总额,塑料制品业国有控股工业亏损企业亏损总额,非金属矿物制造业国有控股工业亏损企业亏损总额,黑色金属冶炼及压延加工业国有控股工业亏损企业亏损总额,有色金属冶炼及压延加工业国有控股工业亏损企业亏损总额,金属制品业国有控股工业亏损企业亏损总额,普通机械制造业国有控股工业亏损企业亏损总额,专用设备制造业国有控股工业亏损企业亏损总额,交通运输设备制造业国有控股工业亏损企业亏损总额,电气机械及器材制造业国有控股工业亏损企业亏损总额,电子及通信设备制造业国有控股工业亏损企业亏损总额,仪器仪表及文化办公用机械制造业国有控股工业亏损企业亏损总额,其它制造业国有控股工业亏损企业亏损总额,电力、蒸汽、热水的生产和供应业国有控股工业亏损企业亏损总额,煤气生产和供应业国有控股工业亏损企业亏损总额,自来水的生产和供应业国有控股工业亏损企业亏损总额
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,668.52391,9.57347,1.081,1.47544,7.16474,5.14002,0.0046,2.09409,20.13773,7.18347,13.69352,5.29365,29.86753,3.07862,2.69403,4.02442,0.68855,14.2402,5.2943,1.13263,39.9727,64.06474,12.04867,10.55437,7.6209,6.20598,37.43639,16.61872,12.11828,9.93811,32.79616,30.65942,71.08405,23.46664,32.09594,6.42988,1.00201,89.76299,9.2608,14.97454
2001,752.15477,15.43113,4.12543,0.89611,4.13392,4.07871,,2.69407,20.79234,8.40283,14.2711,16.4385,37.87969,4.3951,4.02158,3.45298,0.9019,14.434,6.56975,0.6401,54.83063,87.78231,9.75856,12.43807,6.53103,6.0151,37.42641,22.14951,13.48253,9.8456,40.72325,35.70944,62.71556,26.84475,38.57414,6.91868,1.46291,85.53867,7.40265,11.51781
2000,704.3426,30.34454,6.61814,1.53127,3.61289,5.17266,0.02991,3.54712,31.5425,8.52946,10.70409,6.42775,23.86145,2.91271,3.09438,5.5788,0.63796,9.38306,6.44228,1.11548,54.87869,54.22461,7.74931,6.38444,11.25548,5.05421,37.05085,35.05734,13.7095,11.74821,36.70236,33.42733,74.09803,21.739,21.689,7.67306,1.81828,75.97064,8.83892,10.07266
