年份,国有控股工业企业外商资本金,煤炭采选业国有控股工业企业外商资本金,石油和天然气开采业国有控股工业企业外商资本金,黑色金属矿采选业国有控股工业企业外商资本金,有色金属矿采选业国有控股工业企业外商资本金,非金属矿采选业国有控股工业企业外商资本金,其他矿采选业国有控股工业企业外商资本金,木材及竹材采运业国有控股工业企业外商资本金,食品加工业国有控股工业企业外商资本金,食品制造业国有控股工业企业外商资本金,饮料制造业国有控股工业企业外商资本金,烟草加工业国有控股工业企业外商资本金,纺织业国有控股工业企业外商资本金,服装及其他纤维制品制造业国有控股工业企业外商资本金,皮革、毛皮、羽绒及其制品业国有控股工业企业外商资本金,木材加工及竹、藤、棕、草制品业国有控股工业企业外商资本金,家具制造业国有控股工业企业外商资本金,造纸及纸制品业国有控股工业企业外商资本金,印刷业、记录媒介的复制国有控股工业企业外商资本金,文教体育用品制造业国有控股工业企业外商资本金,石油加工及炼焦业国有控股工业企业外商资本金,化学原料及化学制品制造业国有控股工业企业外商资本金,医药制造业国有控股工业企业外商资本金,化学纤维制造业国有控股工业企业外商资本金,橡胶制品业国有控股工业企业外商资本金,塑料制品业国有控股工业企业外商资本金,非金属矿物制造业国有控股工业企业外商资本金,黑色金属冶炼及压延加工业国有控股工业企业外商资本金,有色金属冶炼及压延加工业国有控股工业企业外商资本金,金属制品业国有控股工业企业外商资本金,普通机械制造业国有控股工业企业外商资本金,专用设备制造业国有控股工业企业外商资本金,交通运输设备制造业国有控股工业企业外商资本金,电气机械及器材制造业国有控股工业企业外商资本金,电子及通信设备制造业国有控股工业企业外商资本金,仪器仪表及文化办公用机械制造业国有控股工业企业外商资本金,其它制造业国有控股工业企业外商资本金,电力、蒸汽、热水的生产和供应业国有控股工业企业外商资本金,煤气生产和供应业国有控股工业企业外商资本金,自来水的生产和供应业国有控股工业企业外商资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,832.33303,1.75211,25.13507,,0.06738,2.25972,,0.0096,7.92844,9.00847,36.64304,,13.89356,2.89507,2.04434,4.24763,0.31753,6.56853,4.49502,0.38593,14.10698,42.12875,16.41776,21.54307,4.31819,3.466,20.97059,22.04674,6.76756,9.53988,71.07164,11.81957,241.44572,47.15354,88.47639,6.30916,0.3922,78.44269,5.2093,2.96586
2001,766.25908,2.51677,,0.01007,0.1695,0.69438,,0.0096,12.06541,14.16398,36.87099,1.82497,14.80718,6.34199,1.38819,4.98164,0.31515,6.39438,4.23281,0.20924,13.0731,34.50773,16.55866,6.67954,2.75174,3.55856,24.9476,22.81789,9.21038,10.07826,70.95268,12.3267,234.867,39.53674,87.68605,5.80214,0.81849,59.13855,2.14347,1.69965
2000,665.9142,2.09774,,,,0.5033,,0.0096,16.33682,9.35129,27.59957,0.96847,13.97962,3.94776,1.08562,1.79833,1.17845,5.79483,3.30613,0.39961,3.3087,37.02774,14.87391,5.33707,2.36473,4.59425,21.76208,21.12942,9.51114,6.25212,57.41226,9.05176,220.21332,34.86943,94.52791,7.22819,0.70552,26.97026,0.37,0.04725
