年份,国有控股工业企业流动资产合计,煤炭采选业国有控股工业企业流动资产合计,石油和天然气开采业国有控股工业企业流动资产合计,黑色金属矿采选业国有控股工业企业流动资产合计,有色金属矿采选业国有控股工业企业流动资产合计,非金属矿采选业国有控股工业企业流动资产合计,其他矿采选业国有控股工业企业流动资产合计,木材及竹材采运业国有控股工业企业流动资产合计,食品加工业国有控股工业企业流动资产合计,食品制造业国有控股工业企业流动资产合计,饮料制造业国有控股工业企业流动资产合计,烟草加工业国有控股工业企业流动资产合计,纺织业国有控股工业企业流动资产合计,服装及其他纤维制品制造业国有控股工业企业流动资产合计,皮革、毛皮、羽绒及其制品业国有控股工业企业流动资产合计,木材加工及竹、藤、棕、草制品业国有控股工业企业流动资产合计,家具制造业国有控股工业企业流动资产合计,造纸及纸制品业国有控股工业企业流动资产合计,印刷业、记录媒介的复制国有控股工业企业流动资产合计,文教体育用品制造业国有控股工业企业流动资产合计,石油加工及炼焦业国有控股工业企业流动资产合计,化学原料及化学制品制造业国有控股工业企业流动资产合计,医药制造业国有控股工业企业流动资产合计,化学纤维制造业国有控股工业企业流动资产合计,橡胶制品业国有控股工业企业流动资产合计,塑料制品业国有控股工业企业流动资产合计,非金属矿物制造业国有控股工业企业流动资产合计,黑色金属冶炼及压延加工业国有控股工业企业流动资产合计,有色金属冶炼及压延加工业国有控股工业企业流动资产合计,金属制品业国有控股工业企业流动资产合计,普通机械制造业国有控股工业企业流动资产合计,专用设备制造业国有控股工业企业流动资产合计,交通运输设备制造业国有控股工业企业流动资产合计,电气机械及器材制造业国有控股工业企业流动资产合计,电子及通信设备制造业国有控股工业企业流动资产合计,仪器仪表及文化办公用机械制造业国有控股工业企业流动资产合计,其它制造业国有控股工业企业流动资产合计,电力、蒸汽、热水的生产和供应业国有控股工业企业流动资产合计,煤气生产和供应业国有控股工业企业流动资产合计,自来水的生产和供应业国有控股工业企业流动资产合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,33468.77,1525.64584,844.35716,88.09773,127.896,172.23265,0.4421,159.45047,558.70185,306.70214,764.85806,1488.41069,1038.70887,92.25443,49.35058,84.14705,19.73088,438.46624,210.41518,42.7805,1028.25942,2040.67794,959.37395,293.28487,255.22215,195.86179,1059.07775,2723.33507,874.65348,306.76657,1674.18291,1119.55013,3999.42249,1065.15248,2306.47107,276.15561,42.58296,4366.35835,209.71912,380.165
2001,33239.63,1368.71986,852.12836,80.26515,133.09827,166.43621,0.4399,160.61282,609.80048,293.31141,788.94771,1415.07047,1142.53386,113.97022,62.26771,88.95442,23.90181,427.76658,221.23204,43.8486,1061.17283,2084.57371,959.97832,309.58313,263.96812,217.30015,1086.09522,2799.83001,892.00372,344.1286,1620.66748,1069.51254,3625.83563,1093.3489,2480.43895,283.98288,42.72576,4210.92868,178.94498,349.07628
2000,32628.81,1258.17023,885.01176,77.57795,139.64294,166.59441,0.80504,161.57809,704.24926,309.47355,773.88279,956.3941,1258.39486,127.29959,61.71934,91.3977,23.14529,429.628,202.75012,46.92374,1124.25887,2129.55198,899.94852,417.41334,262.27864,204.99462,1158.94377,2755.21735,822.78971,331.4147,1606.05191,1157.22394,3273.01306,1058.01774,2441.64852,267.2087,45.38477,4226.23376,161.13197,321.87476
