年份,国有控股工业企业工业销售产值(现价),煤炭采选业国有控股工业企业工业销售产值(现价),石油和天然气开采业国有控股工业企业工业销售产值(现价),黑色金属矿采选业国有控股工业企业工业销售产值(现价),有色金属矿采选业国有控股工业企业工业销售产值(现价),非金属矿采选业国有控股工业企业工业销售产值(现价),其他矿采选业国有控股工业企业工业销售产值(现价),木材及竹材采运业国有控股工业企业工业销售产值(现价),食品加工业国有控股工业企业工业销售产值(现价),食品制造业国有控股工业企业工业销售产值(现价),饮料制造业国有控股工业企业工业销售产值(现价),烟草加工业国有控股工业企业工业销售产值(现价),纺织业国有控股工业企业工业销售产值(现价),服装及其他纤维制品制造业国有控股工业企业工业销售产值(现价),皮革、毛皮、羽绒及其制品业国有控股工业企业工业销售产值(现价),木材加工及竹、藤、棕、草制品业国有控股工业企业工业销售产值(现价),家具制造业国有控股工业企业工业销售产值(现价),造纸及纸制品业国有控股工业企业工业销售产值(现价),印刷业、记录媒介的复制国有控股工业企业工业销售产值(现价),文教体育用品制造业国有控股工业企业工业销售产值(现价),石油加工及炼焦业国有控股工业企业工业销售产值(现价),化学原料及化学制品制造业国有控股工业企业工业销售产值(现价),医药制造业国有控股工业企业工业销售产值(现价),化学纤维制造业国有控股工业企业工业销售产值(现价),橡胶制品业国有控股工业企业工业销售产值(现价),塑料制品业国有控股工业企业工业销售产值(现价),非金属矿物制造业国有控股工业企业工业销售产值(现价),黑色金属冶炼及压延加工业国有控股工业企业工业销售产值(现价),有色金属冶炼及压延加工业国有控股工业企业工业销售产值(现价),金属制品业国有控股工业企业工业销售产值(现价),普通机械制造业国有控股工业企业工业销售产值(现价),专用设备制造业国有控股工业企业工业销售产值(现价),交通运输设备制造业国有控股工业企业工业销售产值(现价),电气机械及器材制造业国有控股工业企业工业销售产值(现价),电子及通信设备制造业国有控股工业企业工业销售产值(现价),仪器仪表及文化办公用机械制造业国有控股工业企业工业销售产值(现价),其它制造业国有控股工业企业工业销售产值(现价),电力、蒸汽、热水的生产和供应业国有控股工业企业工业销售产值(现价),煤气生产和供应业国有控股工业企业工业销售产值(现价),自来水的生产和供应业国有控股工业企业工业销售产值(现价)
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,44720.23006,1596.86824,2512.91933,79.91216,190.05204,141.60262,0.30914,103.33567,1074.93179,442.78193,847.35639,2014.84822,1337.28304,115.33154,47.56951,102.16943,21.83021,474.84495,264.24913,35.44846,4159.77434,3037.53879,922.01784,402.17707,313.85619,211.81234,1040.45963,4354.3424,1154.51821,309.51541,1473.56207,953.79939,5340.40995,915.48482,2850.76134,187.82942,58.33641,4914.22437,159.49031,309.65352
2001,41835.58033,1276.8758,2544.29381,70.57637,177.57873,127.4566,0.29048,107.06818,1150.95036,422.42137,838.45624,1663.7107,1413.15033,144.1186,84.87231,104.96021,22.08028,445.3969,259.96472,36.98698,4110.60046,2938.56711,868.52182,427.78831,298.75023,236.40947,1021.75583,4119.03213,1141.73491,319.22948,1238.28878,834.55033,4271.40251,909.13785,2924.70156,181.99166,68.28799,4388.38332,135.21664,289.45642
2000,40101.64419,1040.31761,2938.68027,61.70485,182.30659,116.32272,0.39288,119.72577,1287.21899,409.00388,845.56431,1426.44667,1627.52951,132.98561,52.53794,97.99253,22.63091,423.98075,228.44959,35.56106,4008.58457,2851.07216,836.99816,672.67523,272.14095,212.63332,1095.61577,3505.05508,1130.46905,304.8218,1145.44117,881.00067,3613.72242,919.41331,2800.78386,192.89836,59.44924,3927.84809,122.49901,277.71076
