年份,国有控股工业企业出口交货值,煤炭采选业国有控股工业企业出口交货值,石油和天然气开采业国有控股工业企业出口交货值,黑色金属矿采选业国有控股工业企业出口交货值,有色金属矿采选业国有控股工业企业出口交货值,非金属矿采选业国有控股工业企业出口交货值,其他矿采选业国有控股工业企业出口交货值,木材及竹材采运业国有控股工业企业出口交货值,食品加工业国有控股工业企业出口交货值,食品制造业国有控股工业企业出口交货值,饮料制造业国有控股工业企业出口交货值,烟草加工业国有控股工业企业出口交货值,纺织业国有控股工业企业出口交货值,服装及其他纤维制品制造业国有控股工业企业出口交货值,皮革、毛皮、羽绒及其制品业国有控股工业企业出口交货值,木材加工及竹、藤、棕、草制品业国有控股工业企业出口交货值,家具制造业国有控股工业企业出口交货值,造纸及纸制品业国有控股工业企业出口交货值,印刷业、记录媒介的复制国有控股工业企业出口交货值,文教体育用品制造业国有控股工业企业出口交货值,石油加工及炼焦业国有控股工业企业出口交货值,化学原料及化学制品制造业国有控股工业企业出口交货值,医药制造业国有控股工业企业出口交货值,化学纤维制造业国有控股工业企业出口交货值,橡胶制品业国有控股工业企业出口交货值,塑料制品业国有控股工业企业出口交货值,非金属矿物制造业国有控股工业企业出口交货值,黑色金属冶炼及压延加工业国有控股工业企业出口交货值,有色金属冶炼及压延加工业国有控股工业企业出口交货值,金属制品业国有控股工业企业出口交货值,普通机械制造业国有控股工业企业出口交货值,专用设备制造业国有控股工业企业出口交货值,交通运输设备制造业国有控股工业企业出口交货值,电气机械及器材制造业国有控股工业企业出口交货值,电子及通信设备制造业国有控股工业企业出口交货值,仪器仪表及文化办公用机械制造业国有控股工业企业出口交货值,其它制造业国有控股工业企业出口交货值,电力、蒸汽、热水的生产和供应业国有控股工业企业出口交货值,煤气生产和供应业国有控股工业企业出口交货值,自来水的生产和供应业国有控股工业企业出口交货值
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,3186.21296,130.65536,66.2853,0.34046,12.4959,13.75787,,1.14446,59.87263,41.92513,23.2676,17.60234,394.99588,43.45107,20.04359,8.71405,6.10882,8.51995,1.40329,11.19485,200.32349,156.00449,78.25729,28.47078,49.52138,9.19313,54.17776,157.88594,145.36781,49.70619,119.25734,37.92496,309.34297,99.19962,756.32136,28.74963,18.86457,3.07436,3.06627,0.04707
2001,2977.12036,113.84687,73.578,0.16142,11.68451,10.09819,,0.7969,59.78193,36.90319,20.81055,14.27904,421.06991,50.97735,28.70242,5.42113,5.2719,8.73097,1.67168,12.01926,162.20352,164.65806,83.11263,18.22462,57.07373,12.12616,45.95875,166.85195,130.86487,47.28011,114.66019,42.84898,263.25619,91.60425,588.45267,25.13605,18.39042,55.9394,0.35824,1e-05
2000,3169.19439,76.97039,116.4875,0.01511,12.18358,10.96876,,2.30293,61.84865,36.5649,17.4617,11.1675,489.58446,57.70831,21.03984,5.52847,7.77568,12.35203,1.27728,13.92012,153.55076,152.93511,82.91335,24.69687,57.42911,12.40292,53.63015,279.02844,138.8777,66.47459,112.91901,43.34504,252.09473,91.35269,578.54824,33.8073,13.20084,49.91615,0.92833,0.03135
