年份,国有控股工业企业流动负债合计,煤炭采选业国有控股工业企业流动负债合计,石油和天然气开采业国有控股工业企业流动负债合计,黑色金属矿采选业国有控股工业企业流动负债合计,有色金属矿采选业国有控股工业企业流动负债合计,非金属矿采选业国有控股工业企业流动负债合计,其他矿采选业国有控股工业企业流动负债合计,木材及竹材采运业国有控股工业企业流动负债合计,食品加工业国有控股工业企业流动负债合计,食品制造业国有控股工业企业流动负债合计,饮料制造业国有控股工业企业流动负债合计,烟草加工业国有控股工业企业流动负债合计,纺织业国有控股工业企业流动负债合计,服装及其他纤维制品制造业国有控股工业企业流动负债合计,皮革、毛皮、羽绒及其制品业国有控股工业企业流动负债合计,木材加工及竹、藤、棕、草制品业国有控股工业企业流动负债合计,家具制造业国有控股工业企业流动负债合计,造纸及纸制品业国有控股工业企业流动负债合计,印刷业、记录媒介的复制国有控股工业企业流动负债合计,文教体育用品制造业国有控股工业企业流动负债合计,石油加工及炼焦业国有控股工业企业流动负债合计,化学原料及化学制品制造业国有控股工业企业流动负债合计,医药制造业国有控股工业企业流动负债合计,化学纤维制造业国有控股工业企业流动负债合计,橡胶制品业国有控股工业企业流动负债合计,塑料制品业国有控股工业企业流动负债合计,非金属矿物制造业国有控股工业企业流动负债合计,黑色金属冶炼及压延加工业国有控股工业企业流动负债合计,有色金属冶炼及压延加工业国有控股工业企业流动负债合计,金属制品业国有控股工业企业流动负债合计,普通机械制造业国有控股工业企业流动负债合计,专用设备制造业国有控股工业企业流动负债合计,交通运输设备制造业国有控股工业企业流动负债合计,电气机械及器材制造业国有控股工业企业流动负债合计,电子及通信设备制造业国有控股工业企业流动负债合计,仪器仪表及文化办公用机械制造业国有控股工业企业流动负债合计,其它制造业国有控股工业企业流动负债合计,电力、蒸汽、热水的生产和供应业国有控股工业企业流动负债合计,煤气生产和供应业国有控股工业企业流动负债合计,自来水的生产和供应业国有控股工业企业流动负债合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,34009.59146,1599.26402,888.72489,102.43645,173.18438,196.86496,0.50431,214.18377,748.70977,356.39855,750.68293,1079.93546,1245.91739,95.84218,61.7942,105.99291,22.09893,491.16216,209.16474,43.88709,1173.33735,2378.34007,888.56939,331.45588,272.37438,194.27663,1271.13564,3008.02942,988.2672,325.19972,1615.69636,1162.14298,3834.50912,1015.92396,1748.73162,263.49936,48.83841,4187.3483,196.81976,341.86524
2001,33144.47423,1398.98105,837.79305,92.39711,167.6339,191.82322,0.50969,207.47045,840.87574,353.3909,759.80591,1104.54991,1357.65541,121.61001,78.94916,116.36357,28.91994,476.31047,219.31095,40.13258,1245.87102,2336.20014,825.75265,324.8604,290.50017,217.84631,1256.30949,2898.35836,946.15071,369.35419,1578.79578,1094.06021,3420.54909,1007.47978,1823.31793,280.96357,49.02597,3955.21574,165.10514,299.17334
2000,32237.40889,1284.72041,796.71706,74.99916,169.04587,186.32516,0.96795,213.61628,1031.60023,359.22676,778.89767,762.72393,1501.08746,124.54391,82.86343,121.41153,27.50229,481.28413,202.48075,44.09972,1225.12849,2374.99068,792.67482,408.04898,282.49069,207.25959,1326.71551,2909.2313,868.00272,349.14891,1547.99892,1153.94458,3133.63241,977.57661,1855.01879,266.03888,50.64992,3460.88838,160.42274,267.54164
