年份,国有控股工业企业主营业务收入,煤炭采选业国有控股工业企业主营业务收入,石油和天然气开采业国有控股工业企业主营业务收入,黑色金属矿采选业国有控股工业企业主营业务收入,有色金属矿采选业国有控股工业企业主营业务收入,非金属矿采选业国有控股工业企业主营业务收入,其他矿采选业国有控股工业企业主营业务收入,木材及竹材采运业国有控股工业企业主营业务收入,食品加工业国有控股工业企业主营业务收入,食品制造业国有控股工业企业主营业务收入,饮料制造业国有控股工业企业主营业务收入,烟草加工业国有控股工业企业主营业务收入,纺织业国有控股工业企业主营业务收入,服装及其他纤维制品制造业国有控股工业企业主营业务收入,皮革、毛皮、羽绒及其制品业国有控股工业企业主营业务收入,木材加工及竹、藤、棕、草制品业国有控股工业企业主营业务收入,家具制造业国有控股工业企业主营业务收入,造纸及纸制品业国有控股工业企业主营业务收入,印刷业、记录媒介的复制国有控股工业企业主营业务收入,文教体育用品制造业国有控股工业企业主营业务收入,石油加工及炼焦业国有控股工业企业主营业务收入,化学原料及化学制品制造业国有控股工业企业主营业务收入,医药制造业国有控股工业企业主营业务收入,化学纤维制造业国有控股工业企业主营业务收入,橡胶制品业国有控股工业企业主营业务收入,塑料制品业国有控股工业企业主营业务收入,非金属矿物制造业国有控股工业企业主营业务收入,黑色金属冶炼及压延加工业国有控股工业企业主营业务收入,有色金属冶炼及压延加工业国有控股工业企业主营业务收入,金属制品业国有控股工业企业主营业务收入,普通机械制造业国有控股工业企业主营业务收入,专用设备制造业国有控股工业企业主营业务收入,交通运输设备制造业国有控股工业企业主营业务收入,电气机械及器材制造业国有控股工业企业主营业务收入,电子及通信设备制造业国有控股工业企业主营业务收入,仪器仪表及文化办公用机械制造业国有控股工业企业主营业务收入,其它制造业国有控股工业企业主营业务收入,电力、蒸汽、热水的生产和供应业国有控股工业企业主营业务收入,煤气生产和供应业国有控股工业企业主营业务收入,自来水的生产和供应业国有控股工业企业主营业务收入
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,47844.21,1628.03854,2511.00663,83.84854,185.79624,143.0796,0.22604,91.0488,1056.01798,425.28115,832.48604,1968.98065,1344.90845,122.94591,41.75303,100.5104,23.22759,462.53692,249.95048,36.87957,4289.68274,3062.10826,1015.01187,396.43343,278.71136,223.41999,1019.08065,4356.18768,1187.89819,301.75112,1458.99108,948.4777,5225.62734,903.08143,2756.0608,198.82549,74.49256,8041.38753,254.65159,300.0171
2001,44443.52,1271.39737,2537.15225,71.07131,172.51027,127.28157,0.20355,91.46095,1120.74897,400.58785,831.25305,1736.97995,1409.94832,141.73379,70.33624,97.42121,22.92547,427.19023,252.52625,38.534,4195.94567,2907.74967,922.437,414.80781,271.91743,248.13616,991.15688,4122.17137,1139.75365,312.28978,1206.0826,819.85503,4206.33056,904.80641,2915.84436,189.65561,61.73805,7094.46621,200.16783,281.29026
2000,42203.12,1003.31028,2835.63489,60.73818,173.14547,117.03736,0.37888,107.78517,1247.48402,401.03536,827.55465,1406.71846,1606.22696,135.03538,44.4354,93.66712,22.01704,425.05935,228.30103,37.35835,4181.96381,2753.29924,853.83492,662.19644,244.96224,223.07126,1056.00385,3677.84051,1118.72912,299.37708,1119.37561,857.2475,3573.02706,907.31011,2774.97373,200.81171,60.94511,6202.4655,184.22531,269.98166
