年份,国有控股工业企业存货,煤炭采选业国有控股工业企业存货,石油和天然气开采业国有控股工业企业存货,黑色金属矿采选业国有控股工业企业存货,有色金属矿采选业国有控股工业企业存货,非金属矿采选业国有控股工业企业存货,其他矿采选业国有控股工业企业存货,木材及竹材采运业国有控股工业企业存货,食品加工业国有控股工业企业存货,食品制造业国有控股工业企业存货,饮料制造业国有控股工业企业存货,烟草加工业国有控股工业企业存货,纺织业国有控股工业企业存货,服装及其他纤维制品制造业国有控股工业企业存货,皮革、毛皮、羽绒及其制品业国有控股工业企业存货,木材加工及竹、藤、棕、草制品业国有控股工业企业存货,家具制造业国有控股工业企业存货,造纸及纸制品业国有控股工业企业存货,印刷业、记录媒介的复制国有控股工业企业存货,文教体育用品制造业国有控股工业企业存货,石油加工及炼焦业国有控股工业企业存货,化学原料及化学制品制造业国有控股工业企业存货,医药制造业国有控股工业企业存货,化学纤维制造业国有控股工业企业存货,橡胶制品业国有控股工业企业存货,塑料制品业国有控股工业企业存货,非金属矿物制造业国有控股工业企业存货,黑色金属冶炼及压延加工业国有控股工业企业存货,有色金属冶炼及压延加工业国有控股工业企业存货,金属制品业国有控股工业企业存货,普通机械制造业国有控股工业企业存货,专用设备制造业国有控股工业企业存货,交通运输设备制造业国有控股工业企业存货,电气机械及器材制造业国有控股工业企业存货,电子及通信设备制造业国有控股工业企业存货,仪器仪表及文化办公用机械制造业国有控股工业企业存货,其它制造业国有控股工业企业存货,电力、蒸汽、热水的生产和供应业国有控股工业企业存货,煤气生产和供应业国有控股工业企业存货,自来水的生产和供应业国有控股工业企业存货
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,8774.40387,238.01217,106.66767,18.56199,32.82059,37.09679,0.06781,31.2325,166.4899,66.58765,271.82886,729.84037,384.4219,31.07029,21.8387,24.40095,6.29971,117.79329,50.42697,12.42088,396.95036,514.28513,219.76343,78.1233,72.63751,51.49777,285.62935,811.47416,326.09034,101.00151,590.23268,432.6086,1236.86866,316.11666,550.17529,87.91156,16.76077,198.0386,21.50606,15.34145
2001,9013.42107,225.84966,96.85515,17.41851,38.42266,36.05033,0.0663,31.99083,184.48154,73.64777,287.72946,673.06565,447.30994,40.44732,30.41015,30.98564,8.98106,121.17933,55.14228,13.15505,394.90522,532.62993,230.10685,85.81017,80.79584,57.88484,294.10899,913.94611,328.97458,107.41187,574.72783,428.9541,1161.51981,334.31246,634.93104,93.84668,19.19285,190.98949,18.9205,15.68306
2000,8849.74874,228.21535,102.71037,17.29422,41.28145,37.6887,0.22426,36.14432,210.18919,75.672,282.12131,337.07373,494.57376,46.03307,29.74409,29.51307,8.03386,122.032,53.20459,13.41566,452.43422,555.90862,219.83855,121.65704,83.7703,53.92731,312.32801,875.59641,304.12687,106.72516,574.4734,462.03838,1069.87334,325.99055,713.71888,91.78478,20.46812,197.8367,20.10001,14.58374
