省份编码,省份,年份,企业数(个),期末使用计算机数(台),每百人使用计算机数(台),企业拥有网站数(个),每百家企业拥有网站数(个),有电子商务交易活动的企业数(个),有电子商务交易活动的企业数比重(%),电子商务销售额(亿元),电子商务采购额(亿元)
110000,北京市,2019,38309,4859824,71.6439068630862,22124,57.8,8516,22.2,23235.87021,13420.453208
110000,北京市,2018,31534,4581161,69.9391469891805,20286,64.0,6536,20.7268345278113,18261.2305,10623.5923
110000,北京市,2017,31778,4302114,67.4493531806654,20812,65.0,6028,19.0,18385.6627,11055.8269
110000,北京市,2016,31523,4033558,65.5975725262744,20305,64.4,5661,18.0,12026.691,9340.636
110000,北京市,2015,31346,3756167,62.1234799774804,19725,63.0,5350,17.1,10530.5028,9534.1257
110000,北京市,2014,34669,3595998,61.0488870116214,20632,59.5113790417953,4361,12.578961031469,9012.41316,7563.90988
110000,北京市,2013,34519,3162341,57.1019531926427,20525,59.4600075320838,2576,7.46255685274776,7467.63725,4877.71637
110000,北京市,2012,,,,,,,,,
110000,北京市,2011,,,,,,,,,
110000,北京市,2010,,,,,,,,,
110000,北京市,2009,,,,,,,,,
110000,北京市,2008,,,,,,,,,
110000,北京市,2007,,,,,,,,,
110000,北京市,2006,,,,,,,,,
110000,北京市,2005,,,,,,,,,
110000,北京市,2004,,,,,,,,,
110000,北京市,2003,,,,,,,,,
110000,北京市,2002,,,,,,,,,
110000,北京市,2001,,,,,,,,,
110000,北京市,2000,,,,,,,,,
120000,天津市,2019,19519,997752,38.9155692777651,8474,43.4,1420,7.3,3226.27309,2346.381356
120000,天津市,2018,16725,909710,36.8273823981864,7848,47.0,1103,6.5949177877429,3106.0058,1906.3146
120000,天津市,2017,17003,879740,36.6297498989261,8765,52.0,1122,6.6,2629.4065,1766.443
120000,天津市,2016,18640,912195,32.853351946253,9848,52.8,1575,8.4,3034.9802,1434.8075
120000,天津市,2015,18189,882292,30.5352631323934,9888,54.0,1655,9.1,3148.6416,2068.3538
120000,天津市,2014,18049,866109,29.7217998437228,9708,53.7869134024046,1275,7.06410327441963,1946.50258,1400.55261
120000,天津市,2013,17163,795258,27.4414255250136,9147,53.2948785177417,924,5.38367418283517,1053.67639,930.79033
120000,天津市,2012,,,,,,,,,
120000,天津市,2011,,,,,,,,,
120000,天津市,2010,,,,,,,,,
120000,天津市,2009,,,,,,,,,
120000,天津市,2008,,,,,,,,,
120000,天津市,2007,,,,,,,,,
120000,天津市,2006,,,,,,,,,
120000,天津市,2005,,,,,,,,,
120000,天津市,2004,,,,,,,,,
120000,天津市,2003,,,,,,,,,
120000,天津市,2002,,,,,,,,,
120000,天津市,2001,,,,,,,,,
120000,天津市,2000,,,,,,,,,
130000,河北省,2019,28751,1318998,28.0391306963472,15856,55.1,2044,7.1,2726.32473,1925.985491
130000,河北省,2018,29231,1261891,25.2375979091384,16362,56.0,1954,6.68468406828367,2556.1121,1971.4111
130000,河北省,2017,30453,1219415,21.3323734991292,17377,57.0,2106,6.9,2441.1337,2842.5852
130000,河北省,2016,29468,1120877,19.4503974320576,16748,56.8,2473,8.4,2416.0664,1045.5326
130000,河北省,2015,28822,1092988,18.5237478580093,16319,57.0,1888,6.6,1439.9594,863.4919
130000,河北省,2014,28268,1040137,17.1367701541826,15709,55.5716711475874,1250,4.42196122824395,1629.73601,1118.41122
130000,河北省,2013,25366,932566,15.788710034323,12779,50.3784593550422,682,2.68863833477884,1166.04294,809.29886
130000,河北省,2012,,,,,,,,,
130000,河北省,2011,,,,,,,,,
130000,河北省,2010,,,,,,,,,
130000,河北省,2009,,,,,,,,,
130000,河北省,2008,,,,,,,,,
130000,河北省,2007,,,,,,,,,
130000,河北省,2006,,,,,,,,,
130000,河北省,2005,,,,,,,,,
130000,河北省,2004,,,,,,,,,
130000,河北省,2003,,,,,,,,,
130000,河北省,2002,,,,,,,,,
130000,河北省,2001,,,,,,,,,
130000,河北省,2000,,,,,,,,,
140000,山西省,2019,16109,777535,24.4371996952638,5472,34.0,972,6.0,2136.67055,1342.85839
140000,山西省,2018,14635,721306,22.8314858542823,5637,39.0,916,6.25896822685343,2450.2183,922.0649
140000,山西省,2017,13976,685530,21.5732182812043,5839,42.0,904,6.5,864.3,733.0151
140000,山西省,2016,13761,667447,20.7638725348526,6204,45.1,1110,8.1,680.3127,621.3655
140000,山西省,2015,13686,639158,19.0535044564938,6308,46.0,840,6.1,676.7023,380.3778
140000,山西省,2014,14131,649546,18.2672973007937,6619,46.8402802349445,521,3.68692944589909,506.89552,392.95465
140000,山西省,2013,13224,551072,15.7889971658012,5710,43.1790683605566,233,1.76194797338173,315.3049,295.88872
140000,山西省,2012,,,,,,,,,
140000,山西省,2011,,,,,,,,,
140000,山西省,2010,,,,,,,,,
140000,山西省,2009,,,,,,,,,
140000,山西省,2008,,,,,,,,,
140000,山西省,2007,,,,,,,,,
140000,山西省,2006,,,,,,,,,
140000,山西省,2005,,,,,,,,,
140000,山西省,2004,,,,,,,,,
140000,山西省,2003,,,,,,,,,
140000,山西省,2002,,,,,,,,,
140000,山西省,2001,,,,,,,,,
140000,山西省,2000,,,,,,,,,
150000,内蒙古自治区,2019,9753,510975,32.9317949802013,3699,37.9,583,6.0,2568.1387,1631.26148
150000,内蒙古自治区,2018,9317,486112,30.9519216014375,4111,44.0,571,6.12858216164001,1948.5944,1258.3486
150000,内蒙古自治区,2017,9649,473031,28.1216392236083,4940,51.0,630,6.5,1725.5018,1074.8604
150000,内蒙古自治区,2016,11383,491371,24.6907444945033,5706,50.1,861,7.6,1587.5718,1026.9398
150000,内蒙古自治区,2015,11127,458363,22.3122714255742,5493,49.0,611,5.5,1340.1158,910.662
150000,内蒙古自治区,2014,11118,447815,20.2983549727038,5574,50.1349163518618,373,3.35491994963123,391.98339,214.59846
150000,内蒙古自治区,2013,10439,396768,17.2156253077953,4852,46.4795478494109,205,1.96378963502251,212.72909,86.23834
150000,内蒙古自治区,2012,,,,,,,,,
150000,内蒙古自治区,2011,,,,,,,,,
150000,内蒙古自治区,2010,,,,,,,,,
150000,内蒙古自治区,2009,,,,,,,,,
150000,内蒙古自治区,2008,,,,,,,,,
150000,内蒙古自治区,2007,,,,,,,,,
150000,内蒙古自治区,2006,,,,,,,,,
150000,内蒙古自治区,2005,,,,,,,,,
150000,内蒙古自治区,2004,,,,,,,,,
150000,内蒙古自治区,2003,,,,,,,,,
150000,内蒙古自治区,2002,,,,,,,,,
150000,内蒙古自治区,2001,,,,,,,,,
150000,内蒙古自治区,2000,,,,,,,,,
210000,辽宁省,2019,26500,1351250,36.1418456105946,12604,47.6,1455,5.5,4112.03727,2570.275131
210000,辽宁省,2018,24758,1301083,34.5505541146394,12282,50.0,1226,4.95193472816867,3638.4289,2264.1602
210000,辽宁省,2017,24545,1273499,32.4704126359086,13181,54.0,1149,4.7,2601.5111,1135.0072
210000,辽宁省,2016,24964,1199429,28.2037288030377,13540,54.2,1453,5.8,2125.1205,1058.2822
210000,辽宁省,2015,31678,1242265,21.8613060523014,16273,51.0,1599,5.0,2541.0335,1107.6221
210000,辽宁省,2014,37159,1265736,18.244874567181,18095,48.6935227792578,1061,2.85514383358898,1720.20706,976.94755
210000,辽宁省,2013,38190,1172900,15.66009385108,16012,41.9272060748887,766,2.00576067033255,1327.5826,848.53815
210000,辽宁省,2012,,,,,,,,,
210000,辽宁省,2011,,,,,,,,,
210000,辽宁省,2010,,,,,,,,,
210000,辽宁省,2009,,,,,,,,,
210000,辽宁省,2008,,,,,,,,,
210000,辽宁省,2007,,,,,,,,,
210000,辽宁省,2006,,,,,,,,,
210000,辽宁省,2005,,,,,,,,,
210000,辽宁省,2004,,,,,,,,,
210000,辽宁省,2003,,,,,,,,,
210000,辽宁省,2002,,,,,,,,,
210000,辽宁省,2001,,,,,,,,,
210000,辽宁省,2000,,,,,,,,,
220000,吉林省,2019,10605,484692,32.1362008641844,4313,40.7,537,5.1,596.78467,288.915965
220000,吉林省,2018,12855,537090,30.4906814632393,5417,42.0,635,4.93971217425126,553.1256,288.3661
220000,吉林省,2017,16510,567812,27.0186728487586,7038,43.0,717,4.3,538.0447,255.1541
220000,吉林省,2016,15694,547720,23.8871531321251,6474,41.3,807,5.1,504.6613,236.089
220000,吉林省,2015,13104,502812,21.4415288792762,6185,47.0,544,4.2,515.9018,263.0528
220000,吉林省,2014,12012,472971,19.7039887817856,5882,48.967698967699,265,2.20612720612721,545.19583,250.07487
220000,吉林省,2013,11326,421497,17.3270590982301,5089,44.9320148331273,195,1.72170227794455,159.57398,100.40884
220000,吉林省,2012,,,,,,,,,
220000,吉林省,2011,,,,,,,,,
220000,吉林省,2010,,,,,,,,,
220000,吉林省,2009,,,,,,,,,
220000,吉林省,2008,,,,,,,,,
220000,吉林省,2007,,,,,,,,,
220000,吉林省,2006,,,,,,,,,
220000,吉林省,2005,,,,,,,,,
220000,吉林省,2004,,,,,,,,,
220000,吉林省,2003,,,,,,,,,
220000,吉林省,2002,,,,,,,,,
220000,吉林省,2001,,,,,,,,,
220000,吉林省,2000,,,,,,,,,
230000,黑龙江省,2019,10612,667886,40.3066970024321,4088,38.5,505,4.8,599.08741,314.884773
230000,黑龙江省,2018,9867,575864,34.5999339081323,4322,44.0,466,4.72281341846559,593.2648,310.835
230000,黑龙江省,2017,10620,512067,30.8998835975069,4862,46.0,457,4.3,673.7081,417.3104
230000,黑龙江省,2016,11121,484991,26.0310499832271,5114,46.0,618,5.6,299.3098,238.9047
230000,黑龙江省,2015,11190,473316,23.3984030499452,5204,47.0,480,4.3,515.9135,120.655
230000,黑龙江省,2014,11749,480819,21.8530350566461,5412,46.063494765512,344,2.92790875819219,210.78723,643.95688
230000,黑龙江省,2013,11528,447855,19.4487110840131,4374,37.94240111034,173,1.50069396252602,364.43759,612.60063
230000,黑龙江省,2012,,,,,,,,,
230000,黑龙江省,2011,,,,,,,,,
230000,黑龙江省,2010,,,,,,,,,
230000,黑龙江省,2009,,,,,,,,,
230000,黑龙江省,2008,,,,,,,,,
230000,黑龙江省,2007,,,,,,,,,
230000,黑龙江省,2006,,,,,,,,,
230000,黑龙江省,2005,,,,,,,,,
230000,黑龙江省,2004,,,,,,,,,
230000,黑龙江省,2003,,,,,,,,,
230000,黑龙江省,2002,,,,,,,,,
230000,黑龙江省,2001,,,,,,,,,
230000,黑龙江省,2000,,,,,,,,,
310000,上海市,2019,42344,4212421,60.6856942155833,26369,62.3,4660,11.0,20462.3728,11367.514457
310000,上海市,2018,33967,3698775,55.6805185964525,22718,67.0,3645,10.7310036211617,17411.9803,9664.4025
310000,上海市,2017,32923,3461822,53.6311237630473,23731,72.0,3556,10.8,15342.2912,8814.2203
310000,上海市,2016,31740,3182910,49.6427895201623,23501,74.0,3979,12.5,16037.7305,8175.7785
310000,上海市,2015,32303,3147939,47.4383116697193,23617,73.0,4231,13.1,12879.4042,6119.7968
