省份编码,省份,年份,软件业务收入(万元),软件产品收入(万元),信息技术服务收入(万元),信息安全收入(万元),嵌入式系统软件收入(万元),软件业务出口(万美元)
110000,北京市,2019,119830665.0,35843568.0,79482798.0,4150080,354219,547818
110000,北京市,2018,97289177.78,30650173.96,62800499.44,3516787.5,321716.88,382497.36
110000,北京市,2017,78366515.55,28780763.0,49410450.0,,175302.55,249843
110000,北京市,2016,64160228.38,24448314.0,39571159.0,,140755.38,256703
110000,北京市,2015,54228650.36,21712261.4,32373906.63,,142482.33,227364
110000,北京市,2014,47965751.79,18419803.0,29427239.0,,118709.79,204594
110000,北京市,2013,42106310.49,15544967.07,,,74747.48,
110000,北京市,2012,36765626.77,13962546.24,,,72675.22,
110000,北京市,2011,,,,,,
110000,北京市,2010,,,,,,
110000,北京市,2009,,,,,,
110000,北京市,2008,,,,,,
110000,北京市,2007,,,,,,
110000,北京市,2006,,,,,,
110000,北京市,2005,,,,,,
110000,北京市,2004,,,,,,
110000,北京市,2003,,,,,,
110000,北京市,2002,,,,,,
110000,北京市,2001,,,,,,
110000,北京市,2000,,,,,,
120000,天津市,2019,20261151.12,3475942.79,16219880.74,21778.28,543549.31,22353.86
120000,天津市,2018,16405911.34,3740463.04,12355651.98,27754.59,282041.73,26415.17
120000,天津市,2017,13519355.26,3310194.45,9526638.31,,682522.5,55912.73
120000,天津市,2016,11858458.5,2824402.12,7568852.97,,1465203.41,8347.44
120000,天津市,2015,10078452.5,2502559.24,6161888.4,,1414004.86,9024.47
120000,天津市,2014,9068842.1,2461160.04,5467308.94,,1140373.12,50270.34
120000,天津市,2013,7113918.4,2050110.77,,,1126643.18,
120000,天津市,2012,5542195.34,1361203.5,,,1231381.31,
120000,天津市,2011,,,,,,
120000,天津市,2010,,,,,,
120000,天津市,2009,,,,,,
120000,天津市,2008,,,,,,
120000,天津市,2007,,,,,,
120000,天津市,2006,,,,,,
120000,天津市,2005,,,,,,
120000,天津市,2004,,,,,,
120000,天津市,2003,,,,,,
120000,天津市,2002,,,,,,
120000,天津市,2001,,,,,,
120000,天津市,2000,,,,,,
130000,河北省,2019,3266655.89,472024.48,2700489.19,7624.53,86517.69,4895.39
130000,河北省,2018,2641618.57,392005.34,2176540.64,5597.48,67475.11,3800.15
130000,河北省,2017,2378556.75,369809.1,1972130.13,,36617.52,1086.4
130000,河北省,2016,2101821.88,365043.12,1721879.56,,14899.21,3805
130000,河北省,2015,1844660.98,337104.38,1487961.04,,19595.57,4158.1
130000,河北省,2014,1499060.36,370616.07,1112220.04,,16224.25,6620.15
130000,河北省,2013,1342256.21,358602.32,,,12360.44,
130000,河北省,2012,1272830.69,340693.22,,,36184.14,
130000,河北省,2011,,,,,,
130000,河北省,2010,,,,,,
130000,河北省,2009,,,,,,
130000,河北省,2008,,,,,,
130000,河北省,2007,,,,,,
130000,河北省,2006,,,,,,
130000,河北省,2005,,,,,,
130000,河北省,2004,,,,,,
130000,河北省,2003,,,,,,
130000,河北省,2002,,,,,,
130000,河北省,2001,,,,,,
130000,河北省,2000,,,,,,
140000,山西省,2019,489207.1,193969.11,261522.2,4543.15,29172.64,64.7
140000,山西省,2018,286991.67,140867.59,120870.82,2323.37,22929.89,
140000,山西省,2017,298861.57,124380.05,150154.93,,24326.59,
140000,山西省,2016,239171.74,104621.25,125910.76,,8639.73,
140000,山西省,2015,241540.63,116209.55,122467.69,,2863.39,
140000,山西省,2014,227373.63,152741.99,70757.09,,3874.55,
140000,山西省,2013,277591.66,147670.99,,,23403.26,
140000,山西省,2012,299441.47,168882.49,,,19343.33,
140000,山西省,2011,,,,,,
140000,山西省,2010,,,,,,
140000,山西省,2009,,,,,,
140000,山西省,2008,,,,,,
140000,山西省,2007,,,,,,
140000,山西省,2006,,,,,,
140000,山西省,2005,,,,,,
140000,山西省,2004,,,,,,
140000,山西省,2003,,,,,,
140000,山西省,2002,,,,,,
140000,山西省,2001,,,,,,
140000,山西省,2000,,,,,,
150000,内蒙古自治区,2019,62636.9,18559.2,41470.09,1910.94,696.67,253
150000,内蒙古自治区,2018,116699.39,36650.54,70501.25,311,9236.6,
150000,内蒙古自治区,2017,157280.45,50385.34,91259.9,,15635.21,218
150000,内蒙古自治区,2016,279597.53,163399.24,115022.6,,1175.69,
150000,内蒙古自治区,2015,300979.58,134459.97,164821.77,,1697.84,73.4
150000,内蒙古自治区,2014,294602.16,144080.94,150028.96,,492.26,169.2
150000,内蒙古自治区,2013,278410.73,135935.47,,,1777.86,
150000,内蒙古自治区,2012,253581.95,102731.76,,,2254.22,
150000,内蒙古自治区,2011,,,,,,
150000,内蒙古自治区,2010,,,,,,
150000,内蒙古自治区,2009,,,,,,
150000,内蒙古自治区,2008,,,,,,
150000,内蒙古自治区,2007,,,,,,
150000,内蒙古自治区,2006,,,,,,
150000,内蒙古自治区,2005,,,,,,
150000,内蒙古自治区,2004,,,,,,
150000,内蒙古自治区,2003,,,,,,
150000,内蒙古自治区,2002,,,,,,
150000,内蒙古自治区,2001,,,,,,
150000,内蒙古自治区,2000,,,,,,
210000,辽宁省,2019,17599753.06,7515634.05,8320639.7,1334118.84,429360.47,244313.48
210000,辽宁省,2018,15095709.57,6997948.8,6439154.89,1497153.12,161452.76,259862.7
210000,辽宁省,2017,19901516.62,8770756.65,10522326.0,,608433.97,306794.97
210000,辽宁省,2016,18903340.55,7906035.16,10340257.27,,657048.12,292433.77
210000,辽宁省,2015,30342198.46,10852226.81,17012133.94,,2477837.71,445697.63
210000,辽宁省,2014,30613714.19,10747252.97,16736209.74,,3130251.48,605407.8
210000,辽宁省,2013,27795022.5,9700131.92,,,3199471.36,
210000,辽宁省,2012,21356991.78,7302751.37,,,2040297.03,
210000,辽宁省,2011,,,,,,
210000,辽宁省,2010,,,,,,
210000,辽宁省,2009,,,,,,
210000,辽宁省,2008,,,,,,
210000,辽宁省,2007,,,,,,
210000,辽宁省,2006,,,,,,
210000,辽宁省,2005,,,,,,
210000,辽宁省,2004,,,,,,
210000,辽宁省,2003,,,,,,
210000,辽宁省,2002,,,,,,
210000,辽宁省,2001,,,,,,
210000,辽宁省,2000,,,,,,
220000,吉林省,2019,3966438.41,518614.67,2498470.93,74521.54,874831.27,7254.46
220000,吉林省,2018,6671132.04,2022633.03,3411101.22,129852.75,1107545.04,4608.77
220000,吉林省,2017,5837083.34,1961383.9,3072615.4,,803084.04,9421.43
220000,吉林省,2016,5110866.6,1668621.46,2708275.04,,733970.1,8261.24
220000,吉林省,2015,4405089.19,1275661.33,2555652.13,,573775.73,11018.75
220000,吉林省,2014,3812815.84,1025110.02,2203139.28,,584566.54,12810.56
220000,吉林省,2013,3195737.23,825655.95,,,499138.16,
220000,吉林省,2012,2619432.97,618028.39,,,436643.82,
220000,吉林省,2011,,,,,,
220000,吉林省,2010,,,,,,
220000,吉林省,2009,,,,,,
220000,吉林省,2008,,,,,,
220000,吉林省,2007,,,,,,
220000,吉林省,2006,,,,,,
220000,吉林省,2005,,,,,,
220000,吉林省,2004,,,,,,
220000,吉林省,2003,,,,,,
220000,吉林省,2002,,,,,,
220000,吉林省,2001,,,,,,
220000,吉林省,2000,,,,,,
230000,黑龙江省,2019,558999.22,181840.53,295669.52,4999.04,76490.13,1075.63
230000,黑龙江省,2018,482541.11,190838.4,161818.28,73603.94,56280.49,70
230000,黑龙江省,2017,1895875.66,677191.56,1061277.75,,157406.35,5164.5
230000,黑龙江省,2016,1679760.82,608601.0,940402.0,,130757.82,4200
230000,黑龙江省,2015,1506690.53,653839.33,729242.37,,123608.83,4159.3
230000,黑龙江省,2014,1333084.86,576392.93,681694.44,,74997.49,4164.76
230000,黑龙江省,2013,1182164.41,504758.09,,,55010.87,
230000,黑龙江省,2012,1069933.46,396032.73,,,143133.83,
230000,黑龙江省,2011,,,,,,
230000,黑龙江省,2010,,,,,,
230000,黑龙江省,2009,,,,,,
230000,黑龙江省,2008,,,,,,
230000,黑龙江省,2007,,,,,,
230000,黑龙江省,2006,,,,,,
230000,黑龙江省,2005,,,,,,
230000,黑龙江省,2004,,,,,,
230000,黑龙江省,2003,,,,,,
230000,黑龙江省,2002,,,,,,
230000,黑龙江省,2001,,,,,,
230000,黑龙江省,2000,,,,,,
310000,上海市,2019,59119032.48,16971047.2,41443919.58,685353.8,18711.9,497567.7
310000,上海市,2018,48368600.15,12126226.1,36106660.8,133609.5,2103.75,390858.78
310000,上海市,2017,43414756.22,13750868.76,28147609.54,,1516277.92,344604.18
310000,上海市,2016,38158599.72,11922807.19,24385984.23,,1849808.3,361876.8
310000,上海市,2015,33813496.91,11852434.85,20158202.42,,1802859.64,351541.47
310000,上海市,2014,28993538.35,9954801.45,17202126.83,,1836610.07,305720.19
310000,上海市,2013,25389882.12,8693380.38,,,1632298.78,
310000,上海市,2012,20862403.66,6527646.96,,,1430002.57,
310000,上海市,2011,,,,,,
310000,上海市,2010,,,,,,
310000,上海市,2009,,,,,,
310000,上海市,2008,,,,,,
310000,上海市,2007,,,,,,
310000,上海市,2006,,,,,,
310000,上海市,2005,,,,,,
310000,上海市,2004,,,,,,
310000,上海市,2003,,,,,,
310000,上海市,2002,,,,,,
310000,上海市,2001,,,,,,
310000,上海市,2000,,,,,,
