省份编码,省份,年份,民用机动运输船数(艘),民用机动船净载重量(吨),民用机动船载客量(客位),民用机动船拖船功率(千瓦),民用驳船运输船数(艘),民用驳船净载重量(吨),民用驳船载客量(客位)
110000,北京市,2019,,,,,,,
110000,北京市,2018,,,,,,,
110000,北京市,2017,,,,,,,
110000,北京市,2016,,,,,,,
110000,北京市,2015,,,,,,,
110000,北京市,2014,,,,,,,
110000,北京市,2013,,,,,,,
110000,北京市,2012,,,,,,,
110000,北京市,2011,,,,,,,
110000,北京市,2010,,,,,,,
110000,北京市,2009,,,,,,,
110000,北京市,2008,,,,,,,
110000,北京市,2007,,,,,,,
110000,北京市,2006,,,,,,,
110000,北京市,2005,,,,,,,
110000,北京市,2004,,,,,,,
110000,北京市,2003,,,,,,,
110000,北京市,2002,,,,,,,
110000,北京市,2001,,,,,,,
110000,北京市,2000,,,,,,,
120000,天津市,2019,244,2315755,3222,191495,11,184615,
120000,天津市,2018,283,4683149,2982,183021,10,32462,
120000,天津市,2017,251,4820258,1761,183685,10,34569,
120000,天津市,2016,353,3304183,2834,117593,14,240891,
120000,天津市,2015,405,7697074,2834,108070,14,240891,
120000,天津市,2014,418,8308908,3137,87649,17,245039,
120000,天津市,2013,403,8297475,3137,77648,19,254381,
120000,天津市,2012,441,8438914,2719,427735,19,144459,
120000,天津市,2011,432,8084138,3118,427735,19,144459,
120000,天津市,2010,419,9493702,3118,385488,17,145499,
120000,天津市,2009,236,7428904,399,,,,
120000,天津市,2008,362,5109886,2855,336603,25,83534,
120000,天津市,2007,320,4420171,399,316795,25,83534,
120000,天津市,2006,333,4734911,6716,330625,40,84198,
120000,天津市,2005,341,4997442,3716,331906,40,84198,
120000,天津市,2004,209,4256769,3894,28145,33,37741,
120000,天津市,2003,210,3027590,3894,28145,33,37741,
120000,天津市,2002,202,2820973,3694,263245,33,37741,
120000,天津市,2001,197,3440893,3694,154545,33,37741,
120000,天津市,2000,190,3406655,3768,152582,31,34601,
130000,河北省,2019,1899,1853967,24142,1940,,,
130000,河北省,2018,1641,1739268,21194,16382,,,
130000,河北省,2017,1589,1876311,17733,21530,,,
130000,河北省,2016,1594,3695180,17753,13850,1,1300,
130000,河北省,2015,1596,3696790,17753,13850,1,1300,
130000,河北省,2014,1547,3631085,17631,5762,3,3983,
130000,河北省,2013,1532,3473938,16820,,3,3983,
130000,河北省,2012,142,3612364,,,3,3980,
130000,河北省,2011,144,3451286,,,3,3980,
130000,河北省,2010,128,3111485,,,3,3980,
130000,河北省,2009,110,2129795,,,3,3980,
130000,河北省,2008,90,2623515,,,1,1380,
130000,河北省,2007,75,2787356,,465,1,1500,
130000,河北省,2006,79,2719105,,465,1,1500,
130000,河北省,2005,88,3012379,,465,1,2052,
130000,河北省,2004,52,3228535,,465,1,2052,
130000,河北省,2003,41,1502274,,465,1,1308,
130000,河北省,2002,33,841361,,,,,
130000,河北省,2001,45,901678,,2125,5,4500,
130000,河北省,2000,41,614816,,4065,7,6910,
140000,山西省,2019,263,7241,4317,,,,
140000,山西省,2018,263,7241,4317,,,,
140000,山西省,2017,258,6900,4071,,,,
140000,山西省,2016,248,4803,3718,,,,
140000,山西省,2015,255,5060,3775,,,,
140000,山西省,2014,263,4657,3682,,,,
140000,山西省,2013,249,4073,3314,,,,
