年份,实现产品创新的内资企业占规模以上工业企业的比重,实现产品创新的国有企业占规模以上工业企业的比重,实现产品创新的集体企业占规模以上工业企业的比重,实现产品创新的股份合作企业占规模以上工业企业的比重,实现产品创新的联营企业占规模以上工业企业的比重,实现产品创新的有限责任公司企业占规模以上工业企业的比重,实现产品创新的国有独资公司企业占规模以上工业企业的比重,实现产品创新的股份有限公司企业占规模以上工业企业的比重,实现产品创新的私营企业占规模以上工业企业的比重,实现产品创新的其他内资企业占规模以上工业企业的比重,实现产品创新的港、澳、台商投资企业占规模以上工业企业的比重,实现产品创新的外商投资企业占规模以上工业企业的比重
2019,31.334,13.831,8.813,34.973,13.793,30.267,24.359,54.665,30.756,14.706,35.823,34.081
2018,28.066,13.781,8.699,27.985,11.765,28.456,25.355,52.694,26.861,8.955,34.596,33.705
2017,,,,,,,,,,,,
2016,,,,,,,,,,,,
2015,,,,,,,,,,,,
2014,,,,,,,,,,,,
2013,,,,,,,,,,,,
2012,,,,,,,,,,,,
2011,,,,,,,,,,,,
2010,,,,,,,,,,,,
2009,,,,,,,,,,,,
2008,,,,,,,,,,,,
2007,,,,,,,,,,,,
2006,,,,,,,,,,,,
2005,,,,,,,,,,,,
2004,,,,,,,,,,,,
2003,,,,,,,,,,,,
2002,,,,,,,,,,,,
2001,,,,,,,,,,,,
2000,,,,,,,,,,,,
