省份编码,省份,年份,平均预期寿命(岁),男性平均预期寿命(岁),女性平均预期寿命(岁)
110000,北京市,2019,,,
110000,北京市,2018,,,
110000,北京市,2017,,,
110000,北京市,2016,,,
110000,北京市,2015,,,
110000,北京市,2014,,,
110000,北京市,2013,,,
110000,北京市,2012,,,
110000,北京市,2011,,,
110000,北京市,2010,80.18,78.28,82.21
110000,北京市,2009,,,
110000,北京市,2008,,,
110000,北京市,2007,,,
110000,北京市,2006,,,
110000,北京市,2005,,,
110000,北京市,2004,,,
110000,北京市,2003,,,
110000,北京市,2002,,,
110000,北京市,2001,,,
110000,北京市,2000,76.1,74.33,78.01
120000,天津市,2019,,,
120000,天津市,2018,,,
120000,天津市,2017,,,
120000,天津市,2016,,,
120000,天津市,2015,,,
120000,天津市,2014,,,
120000,天津市,2013,,,
120000,天津市,2012,,,
120000,天津市,2011,,,
120000,天津市,2010,78.8871893648495,77.4164749641475,80.4805115280026
120000,天津市,2009,,,
120000,天津市,2008,,,
120000,天津市,2007,,,
120000,天津市,2006,,,
120000,天津市,2005,,,
120000,天津市,2004,,,
120000,天津市,2003,,,
120000,天津市,2002,,,
120000,天津市,2001,,,
120000,天津市,2000,74.91,73.31,76.63
130000,河北省,2019,,,
130000,河北省,2018,,,
130000,河北省,2017,,,
130000,河北省,2016,,,
130000,河北省,2015,,,
130000,河北省,2014,,,
130000,河北省,2013,,,
130000,河北省,2012,,,
130000,河北省,2011,,,
130000,河北省,2010,74.9659592621771,72.7027036154255,77.4745364194274
130000,河北省,2009,,,
130000,河北省,2008,,,
130000,河北省,2007,,,
130000,河北省,2006,,,
130000,河北省,2005,,,
130000,河北省,2004,,,
130000,河北省,2003,,,
130000,河北省,2002,,,
130000,河北省,2001,,,
130000,河北省,2000,72.54,70.68,74.57
140000,山西省,2019,,,
140000,山西省,2018,,,
140000,山西省,2017,,,
140000,山西省,2016,,,
140000,山西省,2015,,,
140000,山西省,2014,,,
140000,山西省,2013,,,
140000,山西省,2012,,,
140000,山西省,2011,,,
140000,山西省,2010,74.9187109183673,72.8742925481686,77.2827866452204
140000,山西省,2009,,,
140000,山西省,2008,,,
140000,山西省,2007,,,
140000,山西省,2006,,,
140000,山西省,2005,,,
140000,山西省,2004,,,
140000,山西省,2003,,,
140000,山西省,2002,,,
140000,山西省,2001,,,
140000,山西省,2000,71.65,69.96,73.57
150000,内蒙古自治区,2019,,,
150000,内蒙古自治区,2018,,,
150000,内蒙古自治区,2017,,,
150000,内蒙古自治区,2016,,,
150000,内蒙古自治区,2015,,,
150000,内蒙古自治区,2014,,,
150000,内蒙古自治区,2013,,,
150000,内蒙古自治区,2012,,,
150000,内蒙古自治区,2011,,,
150000,内蒙古自治区,2010,74.4359461370031,72.0430274024776,77.2725149693034
150000,内蒙古自治区,2009,,,
150000,内蒙古自治区,2008,,,
150000,内蒙古自治区,2007,,,
150000,内蒙古自治区,2006,,,
150000,内蒙古自治区,2005,,,
150000,内蒙古自治区,2004,,,
150000,内蒙古自治区,2003,,,
150000,内蒙古自治区,2002,,,
150000,内蒙古自治区,2001,,,
150000,内蒙古自治区,2000,69.87,68.29,71.79
210000,辽宁省,2019,,,
210000,辽宁省,2018,,,
210000,辽宁省,2017,,,
210000,辽宁省,2016,,,
210000,辽宁省,2015,,,
210000,辽宁省,2014,,,
