省份编码,省份,年份,人口出生率(‰),人口死亡率(‰),人口自然增长率(‰)
110000,北京市,2019,8.12,5.49,2.63
110000,北京市,2018,8.24,5.58,2.66
110000,北京市,2017,9.06,5.3,3.76
110000,北京市,2016,9.32,5.2,4.12
110000,北京市,2015,7.96,4.95,3.01
110000,北京市,2014,9.75,4.92,4.83
110000,北京市,2013,8.93,4.52,4.41
110000,北京市,2012,9.05,4.31,4.74
110000,北京市,2011,8.29,4.27,4.02
110000,北京市,2010,7.48,4.41,3.07
110000,北京市,2009,8.06,4.56,3.5
110000,北京市,2008,8.17,4.75,3.42
110000,北京市,2007,8.32,4.92,3.4
110000,北京市,2006,6.26,4.97,1.29
110000,北京市,2005,6.29,5.2,1.09
110000,北京市,2004,6.1,5.4,0.7
110000,北京市,2003,5.1,5.2,-0.1
110000,北京市,2002,6.6,5.7,0.9
110000,北京市,2001,6.1,5.3,0.8
110000,北京市,2000,6.2,5.3,0.9
120000,天津市,2019,6.73,5.3,1.43
120000,天津市,2018,6.67,5.42,1.25
120000,天津市,2017,7.65,5.05,2.6
120000,天津市,2016,7.37,5.54,1.83
120000,天津市,2015,5.84,5.61,0.23
120000,天津市,2014,8.19,6.05,2.14
120000,天津市,2013,8.28,6,2.28
120000,天津市,2012,8.75,6.12,2.63
120000,天津市,2011,8.58,6.08,2.5
120000,天津市,2010,8.18,5.58,2.6
120000,天津市,2009,8.3,5.7,2.6
120000,天津市,2008,8.13,5.94,2.19
120000,天津市,2007,7.91,5.86,2.05
120000,天津市,2006,7.67,6.07,1.6
120000,天津市,2005,7.44,6.01,1.43
120000,天津市,2004,7.31,5.97,1.34
120000,天津市,2003,7.14,6.04,1.1
120000,天津市,2002,7.49,6.04,1.45
120000,天津市,2001,7.58,5.94,1.64
120000,天津市,2000,7.72,6.17,1.55
130000,河北省,2019,10.83,6.12,4.71
130000,河北省,2018,11.26,6.38,4.88
130000,河北省,2017,13.2,6.6,6.6
130000,河北省,2016,12.42,6.36,6.06
130000,河北省,2015,11.35,5.79,5.56
130000,河北省,2014,13.18,6.23,6.95
130000,河北省,2013,13.04,6.87,6.17
130000,河北省,2012,12.88,6.41,6.47
130000,河北省,2011,13.02,6.52,6.5
130000,河北省,2010,13.22,6.41,6.81
130000,河北省,2009,12.93,6.43,6.5
130000,河北省,2008,13.04,6.49,6.55
130000,河北省,2007,13.33,6.78,6.55
130000,河北省,2006,12.82,6.59,6.23
130000,河北省,2005,12.84,6.75,6.09
130000,河北省,2004,11.98,6.19,5.79
130000,河北省,2003,11.43,6.27,5.16
130000,河北省,2002,11.53,6.25,5.28
130000,河北省,2001,11.16,6.18,4.98
130000,河北省,2000,11.3,6.21,5.1
140000,山西省,2019,9.12,5.85,3.27
140000,山西省,2018,9.63,5.32,4.31
140000,山西省,2017,11.06,5.45,5.61
140000,山西省,2016,10.29,5.52,4.77
140000,山西省,2015,9.98,5.56,4.42
140000,山西省,2014,10.92,5.93,4.99
140000,山西省,2013,10.81,5.57,5.24
140000,山西省,2012,10.7,5.83,4.87
140000,山西省,2011,10.47,5.61,4.86
140000,山西省,2010,10.68,5.38,5.3
140000,山西省,2009,10.87,5.98,4.89
140000,山西省,2008,11.32,6.01,5.31
140000,山西省,2007,11.3,5.97,5.33
140000,山西省,2006,11.48,5.73,5.75
140000,山西省,2005,12.02,6,6.02
140000,山西省,2004,12.36,6.11,6.25
140000,山西省,2003,12.26,6.04,6.22
140000,山西省,2002,12.86,6.14,6.72
140000,山西省,2001,13.06,5.9,7.16
140000,山西省,2000,12.1,5.9,6.1
150000,内蒙古自治区,2019,8.23,5.66,2.57
150000,内蒙古自治区,2018,8.35,5.95,2.4
